locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Country,Region
KL15,CHRFDSH,82,9,0.341666666666667,0.134328358208955,240,67,Bangladesh,Southern Asia
KL112,BAPP,15,8,0.652173913043478,0.615384615384615,23,13,Pakistan,Southern Asia
KL51,CHRFDSH,8,6,0.0333333333333333,0.0895522388059701,240,67,Bangladesh,Southern Asia
KL48,CHRFDSH,6,6,0.025,0.0895522388059701,240,67,Bangladesh,Southern Asia
KL81,CHRFDSH,35,6,0.145833333333333,0.0895522388059701,240,67,Bangladesh,Southern Asia
KL28,BANN,9,5,0.428571428571429,0.416666666666667,21,12,Nigeria,Western Africa
KL25,BGHOSPITAL 4,8,4,0.615384615384615,0.666666666666667,13,6,South Africa,Southern Africa
KL53,BANN,8,4,0.380952380952381,0.333333333333333,21,12,Nigeria,Western Africa
KL15,AIIMSJP,14,4,0.518518518518518,0.266666666666667,27,15,India,Southern Asia
KL2,BGHOSPITAL 1,3,3,0.09375,0.25,32,12,South Africa,Southern Africa
KL102,BGHOSPITAL 1,6,3,0.1875,0.25,32,12,South Africa,Southern Africa
KL25,CHRFDSH,3,3,0.0125,0.0447761194029851,240,67,Bangladesh,Southern Asia
KL15,CHRFCMOSH,3,3,0.25,0.375,12,8,Bangladesh,Southern Asia
KL19,CHRFDSH,3,3,0.0125,0.0447761194029851,240,67,Bangladesh,Southern Asia
KL102,CHRFDSH,28,3,0.116666666666667,0.0447761194029851,240,67,Bangladesh,Southern Asia
KL8,CHRFDSH,7,3,0.0291666666666667,0.0447761194029851,240,67,Bangladesh,Southern Asia
KL102,HOSPITAL 1,3,3,0.375,0.375,8,8,South Africa,Southern Africa
KL25,HOSPITAL 1,3,3,0.375,0.375,8,8,South Africa,Southern Africa
KL51,AKU_Karachi,3,3,0.0967741935483871,0.111111111111111,31,27,Pakistan,Southern Asia
KL25,AKU_Karachi,3,3,0.0967741935483871,0.111111111111111,31,27,Pakistan,Southern Asia
KL102,BGHOSPITAL 5,6,2,1,1,6,2,South Africa,Southern Africa
KL62,BGHOSPITAL 1,3,2,0.09375,0.166666666666667,32,12,South Africa,Southern Africa
KL149,BGHOSPITAL 3,3,2,0.75,0.666666666666667,4,3,South Africa,Southern Africa
KL149,BGHOSPITAL 1,17,2,0.53125,0.166666666666667,32,12,South Africa,Southern Africa
KL149,BGHOSPITAL 4,5,2,0.384615384615385,0.333333333333333,13,6,South Africa,Southern Africa
KL64,CHRFDSH,4,2,0.0166666666666667,0.0298507462686567,240,67,Bangladesh,Southern Asia
KL112,CHRFDSH,2,2,0.00833333333333333,0.0298507462686567,240,67,Bangladesh,Southern Asia
KL54,CHRFDSH,7,2,0.0291666666666667,0.0298507462686567,240,67,Bangladesh,Southern Asia
KL122,CHRFDSH,5,2,0.0208333333333333,0.0298507462686567,240,67,Bangladesh,Southern Asia
KL10,CHRFDSH,6,2,0.025,0.0298507462686567,240,67,Bangladesh,Southern Asia
KL36,CHRFDSH,6,2,0.025,0.0298507462686567,240,67,Bangladesh,Southern Asia
KL17,CHRFDSH,3,2,0.0125,0.0298507462686567,240,67,Bangladesh,Southern Asia
KL128,BABC,2,2,0.333333333333333,0.666666666666667,6,3,Bangladesh,Southern Asia
KL136,BAPP,3,2,0.130434782608696,0.153846153846154,23,13,Pakistan,Southern Asia
KL48,AIIMSJP,2,2,0.0740740740740741,0.133333333333333,27,15,India,Southern Asia
KL51,AIIMSJP,2,2,0.0740740740740741,0.133333333333333,27,15,India,Southern Asia
KL51,AIIMSKM,2,2,0.105263157894737,0.133333333333333,19,15,India,Southern Asia
KL24,AIIMSKM,4,2,0.210526315789474,0.133333333333333,19,15,India,Southern Asia
KL19,AIIMSKM,2,2,0.105263157894737,0.133333333333333,19,15,India,Southern Asia
KL39,AIIMSKM,2,2,0.105263157894737,0.133333333333333,19,15,India,Southern Asia
KL17,AKU_Karachi,2,2,0.0645161290322581,0.0740740740740741,31,27,Pakistan,Southern Asia
KL51,AKU_Quetta,2,2,0.2,0.222222222222222,10,9,Pakistan,Southern Asia
KL81,AKU_Hyderabaad,8,2,0.666666666666667,0.333333333333333,12,6,Pakistan,Southern Asia
KL15,AKU_Karachi,2,2,0.0645161290322581,0.0740740740740741,31,27,Pakistan,Southern Asia
KL10,AKU_Karachi,2,2,0.0645161290322581,0.0740740740740741,31,27,Pakistan,Southern Asia
KL64,AKU_Hyderabaad,2,2,0.166666666666667,0.333333333333333,12,6,Pakistan,Southern Asia
KL30,AKU_Karachi,2,2,0.0645161290322581,0.0740740740740741,31,27,Pakistan,Southern Asia
KL51,AIDH2,8,2,0.173913043478261,0.25,46,8,India,Southern Asia
