locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Country,Region
O4,CHRFDSH,92,13,0.383333333333333,0.194029850746269,240,67,Bangladesh,Southern Asia
O1.v1,CHRFDSH,36,11,0.15,0.164179104477612,240,67,Bangladesh,Southern Asia
O1.v2,CHRFDSH,15,10,0.0625,0.149253731343284,240,67,Bangladesh,Southern Asia
O1.v1,BAPP,18,10,0.782608695652174,0.714285714285714,23,14,Pakistan,Southern Asia
OL13,CHRFDSH,38,9,0.158333333333333,0.134328358208955,240,67,Bangladesh,Southern Asia
O1.v2,AKU_Karachi,9,8,0.290322580645161,0.296296296296296,31,27,Pakistan,Southern Asia
O3b,CHRFDSH,10,7,0.0416666666666667,0.104477611940299,240,67,Bangladesh,Southern Asia
O1.v2,BGHOSPITAL 1,7,6,0.21875,0.5,32,12,South Africa,Southern Africa
O2a.v1,CHRFDSH,6,6,0.025,0.0895522388059701,240,67,Bangladesh,Southern Asia
O2afg.v2,CHRFDSH,34,6,0.141666666666667,0.0895522388059701,240,67,Bangladesh,Southern Asia
O1.v1,BANN,10,5,0.476190476190476,0.416666666666667,21,12,Nigeria,Western Africa
O1.v1,AKU_Karachi,5,5,0.161290322580645,0.185185185185185,31,27,Pakistan,Southern Asia
O5,BGHOSPITAL 4,8,4,0.615384615384615,0.666666666666667,13,6,South Africa,Southern Africa
O4,AIIMSJP,14,4,0.518518518518518,0.266666666666667,27,15,India,Southern Asia
O1.v2,AIIMSJP,4,4,0.148148148148148,0.266666666666667,27,15,India,Southern Asia
O1.v2,AIIMSKM,4,4,0.210526315789474,0.266666666666667,19,15,India,Southern Asia
O1.v1,AIIMSKM,5,4,0.263157894736842,0.266666666666667,19,15,India,Southern Asia
O4,AKU_Karachi,5,4,0.161290322580645,0.148148148148148,31,27,Pakistan,Southern Asia
O2afg.v2,BGHOSPITAL 1,6,3,0.1875,0.25,32,12,South Africa,Southern Africa
O5,CHRFDSH,3,3,0.0125,0.0447761194029851,240,67,Bangladesh,Southern Asia
O4,CHRFCMOSH,3,3,0.25,0.375,12,8,Bangladesh,Southern Asia
O1.v2,BANN,4,3,0.19047619047619,0.25,21,12,Nigeria,Western Africa
O2a.v1,BANN,6,3,0.285714285714286,0.25,21,12,Nigeria,Western Africa
O2afg.v2,HOSPITAL 1,3,3,0.375,0.375,8,8,South Africa,Southern Africa
O5,HOSPITAL 1,3,3,0.375,0.375,8,8,South Africa,Southern Africa
O1.v1,AIIMSJP,5,3,0.185185185185185,0.2,27,15,India,Southern Asia
O2a.v1,AIIMSKM,5,3,0.263157894736842,0.2,19,15,India,Southern Asia
O5,AKU_Karachi,3,3,0.0967741935483871,0.111111111111111,31,27,Pakistan,Southern Asia
O2a.v1,AKU_Quetta,3,3,0.3,0.333333333333333,10,9,Pakistan,Southern Asia
O1.v2,AIDH2,12,3,0.260869565217391,0.375,46,8,India,Southern Asia
O2afg.v2,BGHOSPITAL 5,6,2,1,1,6,2,South Africa,Southern Africa
O1.v2,BGHOSPITAL 4,5,2,0.384615384615385,0.333333333333333,13,6,South Africa,Southern Africa
O2a.v1,CHRFCMOSH,4,2,0.333333333333333,0.25,12,8,Bangladesh,Southern Asia
O3/O3a,CHRFDSH,6,2,0.025,0.0298507462686567,240,67,Bangladesh,Southern Asia
O3b,BABC,2,2,0.333333333333333,0.666666666666667,6,3,Bangladesh,Southern Asia
O1.v2,BAPP,3,2,0.130434782608696,0.142857142857143,23,14,Pakistan,Southern Asia
O1.v2,HOSPITAL 1,2,2,0.25,0.25,8,8,South Africa,Southern Africa
O2a.v1,AIIMSJP,2,2,0.0740740740740741,0.133333333333333,27,15,India,Southern Asia
O5,AIIMSKM,3,2,0.157894736842105,0.133333333333333,19,15,India,Southern Asia
O1.v2,AKU_Quetta,2,2,0.2,0.222222222222222,10,9,Pakistan,Southern Asia
OL13,AKU_Hyderabaad,8,2,0.666666666666667,0.333333333333333,12,6,Pakistan,Southern Asia
O2afg.v2,AKU_Karachi,3,2,0.0967741935483871,0.0740740740740741,31,27,Pakistan,Southern Asia
OL13,AKU_Karachi,3,2,0.0967741935483871,0.0740740740740741,31,27,Pakistan,Southern Asia
O3/O3a,AKU_Karachi,2,2,0.0645161290322581,0.0740740740740741,31,27,Pakistan,Southern Asia
O2a.v1,AKU_Hyderabaad,2,2,0.166666666666667,0.333333333333333,12,6,Pakistan,Southern Asia
O2a.v1,AIDH2,10,2,0.217391304347826,0.25,46,8,India,Southern Asia
O2afg.v2,MBKorle Bu Hospital,6,2,0.857142857142857,0.666666666666667,7,3,Ghana,Western Africa
O4,MBUniversity Teaching Hospital,5,2,0.714285714285714,0.666666666666667,7,3,Zambia,Eastern Africa
O5,BGHOSPITAL 1,2,1,0.0625,0.0833333333333333,32,12,South Africa,Southern Africa
O4,BGHOSPITAL 3,2,1,0.5,0.333333333333333,4,3,South Africa,Southern Africa
O4,BGHOSPITAL 1,16,1,0.5,0.0833333333333333,32,12,South Africa,Southern Africa
O1.v1,BGHOSPITAL 1,1,1,0.03125,0.0833333333333333,32,12,South Africa,Southern Africa
O2a.v1,BGHOSPITAL 3,1,1,0.25,0.333333333333333,4,3,South Africa,Southern Africa
O1.v2,BGHOSPITAL 3,1,1,0.25,0.333333333333333,4,3,South Africa,Southern Africa
O4,BGHOSPITAL 2,1,1,1,1,1,1,South Africa,Southern Africa
O1.v1,BGHOSPITAL 6,1,1,1,1,1,1,South Africa,Southern Africa
O2afg.v2,CHRFCMOSH,1,1,0.0833333333333333,0.125,12,8,Bangladesh,Southern Asia
O5,CHRFCMOSH,1,1,0.0833333333333333,0.125,12,8,Bangladesh,Southern Asia
O4,CHRFKWMCH,7,1,0.777777777777778,0.333333333333333,9,3,Bangladesh,Southern Asia
O5,CHRFKWMCH,1,1,0.111111111111111,0.333333333333333,9,3,Bangladesh,Southern Asia
O2a.v1,CHRFKWMCH,1,1,0.111111111111111,0.333333333333333,9,3,Bangladesh,Southern Asia
