locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Start,End,cases,numClusters,Country,Study,Region
KL15,CHRFDSH,82,9,0.341666666666667,0.134328358208955,240,67,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL112,BAPP,15,8,0.652173913043478,0.615384615384615,23,13,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
KL51,CHRFDSH,8,6,0.0333333333333333,0.0895522388059701,240,67,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL48,CHRFDSH,6,6,0.025,0.0895522388059701,240,67,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL81,CHRFDSH,35,6,0.145833333333333,0.0895522388059701,240,67,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL28,BANN,9,5,0.428571428571429,0.416666666666667,21,12,2016,2017,34,25,Nigeria,BARNARDS,Western Africa
KL25,BGHOSPITAL 4,8,4,0.615384615384615,0.666666666666667,13,6,2019,2020,22,11,South Africa,BabyGERMS,Southern Africa
KL53,BANN,8,4,0.380952380952381,0.333333333333333,21,12,2016,2017,34,25,Nigeria,BARNARDS,Western Africa
KL15,JIPMER,18,4,0.529411764705882,0.235294117647059,34,17,2019,2020,42,24,India,NeoOBS,Southern Asia
KL2,BGHOSPITAL 1,3,3,0.09375,0.25,32,12,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
KL102,BGHOSPITAL 1,6,3,0.1875,0.25,32,12,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
KL25,CHRFDSH,3,3,0.0125,0.0447761194029851,240,67,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL15,CHRFCMOSH,3,3,0.25,0.375,12,8,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
KL19,CHRFDSH,3,3,0.0125,0.0447761194029851,240,67,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL102,CHRFDSH,28,3,0.116666666666667,0.0447761194029851,240,67,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL8,CHRFDSH,7,3,0.0291666666666667,0.0447761194029851,240,67,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL51,AKU_Karachi,3,3,0.0967741935483871,0.111111111111111,31,27,2023,2023,34,30,Pakistan,AKU,Southern Asia
KL25,AKU_Karachi,3,3,0.0967741935483871,0.111111111111111,31,27,2023,2023,34,30,Pakistan,AKU,Southern Asia
KL62,BGHOSPITAL 1,3,2,0.09375,0.166666666666667,32,12,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
