locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Country,Region
KL2,Blantyre,141,21,0.47,0.207920792079208,300,101,Malawi,Eastern Africa
KL25,Blantyre,24,11,0.08,0.108910891089109,300,101,Malawi,Eastern Africa
KL102,Kilifi,21,11,0.144827586206897,0.122222222222222,145,90,Kenya,Eastern Africa
KL30,Blantyre,28,10,0.0933333333333333,0.099009900990099,300,101,Malawi,Eastern Africa
KL102,SPINZ_Lusaka,224,10,0.785964912280702,0.333333333333333,285,30,Zambia,Eastern Africa
KL25,Kilifi,20,10,0.137931034482759,0.111111111111111,145,90,Kenya,Eastern Africa
KL2,Kilifi,18,10,0.124137931034483,0.111111111111111,145,90,Kenya,Eastern Africa
KL102,Blantyre,13,9,0.0433333333333333,0.0891089108910891,300,101,Malawi,Eastern Africa
KL15,CHRFDSH,82,9,0.322834645669291,0.116883116883117,254,77,Bangladesh,Southern Asia
KL112,BAPP,16,9,0.533333333333333,0.45,30,20,Pakistan,Southern Asia
KL25,HOSPITAL 1,10,8,0.222222222222222,0.296296296296296,45,27,South Africa,Southern Africa
KL51,CHRFDSH,9,7,0.0354330708661417,0.0909090909090909,254,77,Bangladesh,Southern Asia
KL48,CHRFDSH,6,6,0.0236220472440945,0.0779220779220779,254,77,Bangladesh,Southern Asia
KL81,CHRFDSH,35,6,0.137795275590551,0.0779220779220779,254,77,Bangladesh,Southern Asia
KL102,HOSPITAL 1,8,6,0.177777777777778,0.222222222222222,45,27,South Africa,Southern Africa
KL15,Kilifi,7,6,0.0482758620689655,0.0666666666666667,145,90,Kenya,Eastern Africa
KL25,BGHOSPITAL 2,7,5,0.318181818181818,0.416666666666667,22,12,South Africa,Southern Africa
KL15,Blantyre,6,5,0.02,0.0495049504950495,300,101,Malawi,Eastern Africa
KL108,BAES,38,5,0.417582417582418,0.25,91,20,Ethiopia,Eastern Africa
KL28,BANN,9,5,0.272727272727273,0.208333333333333,33,24,Nigeria,Western Africa
KL17,SPINZ_Lusaka,7,5,0.0245614035087719,0.166666666666667,285,30,Zambia,Eastern Africa
KL149,HOSPITAL 1,15,5,0.333333333333333,0.185185185185185,45,27,South Africa,Southern Africa
KL62,Kilifi,9,5,0.0620689655172414,0.0555555555555556,145,90,Kenya,Eastern Africa
KL2,Mbagathi,15,5,0.75,0.555555555555556,20,9,Kenya,Eastern Africa
KL102,BGHOSPITAL 5,9,4,0.428571428571429,0.285714285714286,21,14,South Africa,Southern Africa
KL25,BGHOSPITAL 4,8,4,0.421052631578947,0.444444444444444,19,9,South Africa,Southern Africa
KL25,PMH_Botswana,8,4,0.571428571428571,0.5,14,8,Botswana,Southern Africa
KL23,Blantyre,5,4,0.0166666666666667,0.0396039603960396,300,101,Malawi,Eastern Africa
KL9,Blantyre,14,4,0.0466666666666667,0.0396039603960396,300,101,Malawi,Eastern Africa
KL102,CHRFDSH,29,4,0.114173228346457,0.051948051948052,254,77,Bangladesh,Southern Asia
KL53,BANN,8,4,0.242424242424242,0.166666666666667,33,24,Nigeria,Western Africa
KL62,BAZAT,4,4,0.571428571428571,0.571428571428571,7,7,South Africa,Southern Africa
KL15,AIIMSJP,14,4,0.482758620689655,0.235294117647059,29,17,India,Southern Asia
KL62,MBQueen Elizabeth Central Hospital,6,4,0.3,0.25,20,16,Malawi,Eastern Africa
KL25,BGHOSPITAL 5,5,3,0.238095238095238,0.214285714285714,21,14,South Africa,Southern Africa
KL9,BGHOSPITAL 3,3,3,0.15,0.1875,20,16,South Africa,Southern Africa
KL2,BGHOSPITAL 1,3,3,0.0909090909090909,0.230769230769231,33,13,South Africa,Southern Africa
KL25,BGHOSPITAL 3,6,3,0.3,0.1875,20,16,South Africa,Southern Africa
KL2,BGHOSPITAL 3,3,3,0.15,0.1875,20,16,South Africa,Southern Africa
KL102,BGHOSPITAL 1,6,3,0.181818181818182,0.230769230769231,33,13,South Africa,Southern Africa
KL151,BGHOSPITAL 2,9,3,0.409090909090909,0.25,22,12,South Africa,Southern Africa
KL25,BGHOSPITAL 6,3,3,0.272727272727273,0.333333333333333,11,9,South Africa,Southern Africa
KL16,Blantyre,5,3,0.0166666666666667,0.0297029702970297,300,101,Malawi,Eastern Africa
KL17,Blantyre,10,3,0.0333333333333333,0.0297029702970297,300,101,Malawi,Eastern Africa
KL62,Blantyre,5,3,0.0166666666666667,0.0297029702970297,300,101,Malawi,Eastern Africa
KL19,Blantyre,9,3,0.03,0.0297029702970297,300,101,Malawi,Eastern Africa
KL52,Blantyre,4,3,0.0133333333333333,0.0297029702970297,300,101,Malawi,Eastern Africa
KL142,Blantyre,3,3,0.01,0.0297029702970297,300,101,Malawi,Eastern Africa
KL25,CHRFDSH,3,3,0.0118110236220472,0.038961038961039,254,77,Bangladesh,Southern Asia
KL10,CHRFDSH,7,3,0.0275590551181102,0.038961038961039,254,77,Bangladesh,Southern Asia
KL15,CHRFCMOSH,3,3,0.1875,0.25,16,12,Bangladesh,Southern Asia
KL19,CHRFDSH,3,3,0.0118110236220472,0.038961038961039,254,77,Bangladesh,Southern Asia
