locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Country,Region
O1.v1,Blantyre,208,45,0.693333333333333,0.445544554455446,300,101,Malawi,Eastern Africa
O1.v2,Blantyre,37,23,0.123333333333333,0.227722772277228,300,101,Malawi,Eastern Africa
O2afg.v2,Kilifi,44,23,0.303448275862069,0.255555555555556,145,90,Kenya,Eastern Africa
O1.v1,Kilifi,36,23,0.248275862068966,0.255555555555556,145,90,Kenya,Eastern Africa
O2afg.v2,Blantyre,31,15,0.103333333333333,0.148514851485149,300,101,Malawi,Eastern Africa
O4,CHRFDSH,93,14,0.366141732283465,0.181818181818182,254,77,Bangladesh,Southern Asia
O1.v1,CHRFDSH,40,13,0.15748031496063,0.168831168831169,254,77,Bangladesh,Southern Asia
O1.v2,CHRFDSH,20,13,0.078740157480315,0.168831168831169,254,77,Bangladesh,Southern Asia
O1.v1,BAPP,21,13,0.7,0.619047619047619,30,21,Pakistan,Southern Asia
O1.v2,Kilifi,23,13,0.158620689655172,0.144444444444444,145,90,Kenya,Eastern Africa
O1.v2,BAES,52,12,0.571428571428571,0.571428571428571,91,21,Ethiopia,Eastern Africa
O1.v1,BANN,16,11,0.484848484848485,0.458333333333333,33,24,Nigeria,Western Africa
O2afg.v2,SPINZ_Lusaka,250,11,0.87719298245614,0.392857142857143,285,28,Zambia,Eastern Africa
O1.v2,MBQueen Elizabeth Central Hospital,13,10,0.65,0.625,20,16,Malawi,Eastern Africa
OL13,CHRFDSH,38,9,0.149606299212598,0.116883116883117,254,77,Bangladesh,Southern Asia
O3b,CHRFDSH,11,8,0.0433070866141732,0.103896103896104,254,77,Bangladesh,Southern Asia
O2afg.v2,CHRFDSH,36,8,0.141732283464567,0.103896103896104,254,77,Bangladesh,Southern Asia
O3b,Kilifi,8,8,0.0551724137931034,0.0888888888888889,145,90,Kenya,Eastern Africa
O5,Kilifi,18,8,0.124137931034483,0.0888888888888889,145,90,Kenya,Eastern Africa
O1.v2,AKU_Karachi,9,8,0.28125,0.285714285714286,32,28,Pakistan,Southern Asia
O2afg.v2,HOSPITAL 1,10,7,0.222222222222222,0.259259259259259,45,27,South Africa,Southern Africa
O5,HOSPITAL 1,9,7,0.2,0.259259259259259,45,27,South Africa,Southern Africa
O1.v2,HOSPITAL 1,18,7,0.4,0.259259259259259,45,27,South Africa,Southern Africa
O4,Kilifi,8,7,0.0551724137931034,0.0777777777777778,145,90,Kenya,Eastern Africa
O1.v2,MBKorle Bu Hospital,8,7,0.363636363636364,0.538461538461538,22,13,Ghana,Western Africa
O1.v2,BGHOSPITAL 1,7,6,0.212121212121212,0.461538461538462,33,13,South Africa,Southern Africa
O2a.v1,CHRFDSH,6,6,0.0236220472440945,0.0779220779220779,254,77,Bangladesh,Southern Asia
O1.v2,BANN,7,6,0.212121212121212,0.25,33,24,Nigeria,Western Africa
O1.v1,BAZAT,6,6,0.857142857142857,0.857142857142857,7,7,South Africa,Southern Africa
O1.v1,SPINZ_Lusaka,8,6,0.0280701754385965,0.214285714285714,285,28,Zambia,Eastern Africa
O1.v1,Mbagathi,16,6,0.8,0.666666666666667,20,9,Kenya,Eastern Africa
O2afg.v2,BGHOSPITAL 5,10,5,0.476190476190476,0.357142857142857,21,14,South Africa,Southern Africa
O1.v2,BGHOSPITAL 3,5,5,0.25,0.3125,20,16,South Africa,Southern Africa
O1.v1,BGHOSPITAL 3,5,5,0.25,0.3125,20,16,South Africa,Southern Africa
O4,Blantyre,6,5,0.02,0.0495049504950495,300,101,Malawi,Eastern Africa
OL13,Blantyre,6,5,0.02,0.0495049504950495,300,101,Malawi,Eastern Africa
O4,CHRFCMOSH,5,5,0.3125,0.416666666666667,16,12,Bangladesh,Southern Asia
O1.v1,HOSPITAL 1,7,5,0.155555555555556,0.185185185185185,45,27,South Africa,Southern Africa
O1.v2,AIIMSJP,5,5,0.172413793103448,0.294117647058824,29,17,India,Southern Asia
O1.v2,AIIMSKM,5,5,0.25,0.3125,20,16,India,Southern Asia
O1.v1,AKU_Karachi,5,5,0.15625,0.178571428571429,32,28,Pakistan,Southern Asia
O1.v1,BGHOSPITAL 5,5,4,0.238095238095238,0.285714285714286,21,14,South Africa,Southern Africa
O1.v1,BGHOSPITAL 2,8,4,0.363636363636364,0.333333333333333,22,12,South Africa,Southern Africa
O5,BGHOSPITAL 4,8,4,0.421052631578947,0.444444444444444,19,9,South Africa,Southern Africa
O4,BGHOSPITAL 2,10,4,0.454545454545455,0.333333333333333,22,12,South Africa,Southern Africa
O5,PMH_Botswana,8,4,0.571428571428571,0.5,14,8,Botswana,Southern Africa
O2afg.v2,BAES,10,4,0.10989010989011,0.19047619047619,91,21,Ethiopia,Eastern Africa
O2afg.v2,BANN,4,4,0.121212121212121,0.166666666666667,33,24,Nigeria,Western Africa
O1.v1,BARK,6,4,0.428571428571429,0.363636363636364,14,11,Rwanda,Eastern Africa
O4,AIIMSJP,14,4,0.482758620689655,0.235294117647059,29,17,India,Southern Asia
O1.v1,AIIMSKM,5,4,0.25,0.25,20,16,India,Southern Asia
O1.v1,Kiambu sub-County Hospital,15,4,0.348837209302326,0.666666666666667,43,6,Kenya,Eastern Africa
O4,AKU_Karachi,5,4,0.15625,0.142857142857143,32,28,Pakistan,Southern Asia
O1.v2,AIDH2,18,4,0.272727272727273,0.363636363636364,66,11,India,Southern Asia
O1.v2,MBKilimanjaro Christian Medical Centre,54,4,0.947368421052632,0.571428571428571,57,7,Tanzania,Eastern Africa
O2afg.v2,BGHOSPITAL 3,3,3,0.15,0.1875,20,16,South Africa,Southern Africa
O1.v2,BGHOSPITAL 5,3,3,0.142857142857143,0.214285714285714,21,14,South Africa,Southern Africa
O2afg.v2,BGHOSPITAL 1,6,3,0.181818181818182,0.230769230769231,33,13,South Africa,Southern Africa
O5,BGHOSPITAL 2,3,3,0.136363636363636,0.25,22,12,South Africa,Southern Africa
O1.v2,BGHOSPITAL 4,7,3,0.368421052631579,0.333333333333333,19,9,South Africa,Southern Africa
O5,BGHOSPITAL 6,3,3,0.272727272727273,0.333333333333333,11,9,South Africa,Southern Africa
O5,CHRFDSH,3,3,0.0118110236220472,0.038961038961039,254,77,Bangladesh,Southern Asia
O3/O3a,CHRFDSH,7,3,0.0275590551181102,0.038961038961039,254,77,Bangladesh,Southern Asia
O4,CHRFKWMCH,9,3,0.5625,0.3,16,10,Bangladesh,Southern Asia
O3b,BABC,3,3,0.230769230769231,0.3,13,10,Bangladesh,Southern Asia
O1.v1,BABC,6,3,0.461538461538462,0.3,13,10,Bangladesh,Southern Asia
O1.v1,BANK,3,3,0.428571428571429,0.5,7,6,Nigeria,Western Africa
O2a.v1,BANN,6,3,0.181818181818182,0.125,33,24,Nigeria,Western Africa
O2afg.v2,BARK,4,3,0.285714285714286,0.272727272727273,14,11,Rwanda,Eastern Africa
O2a.v1,SPINZ_Lusaka,5,3,0.0175438596491228,0.107142857142857,285,28,Zambia,Eastern Africa
O3b,SPINZ_Lusaka,3,3,0.0105263157894737,0.107142857142857,285,28,Zambia,Eastern Africa
O1.v1,AIIMSJP,5,3,0.172413793103448,0.176470588235294,29,17,India,Southern Asia
O2a.v1,AIIMSKM,5,3,0.25,0.1875,20,16,India,Southern Asia
OL13,Kilifi,3,3,0.0206896551724138,0.0333333333333333,145,90,Kenya,Eastern Africa
O2a.v1,Kilifi,3,3,0.0206896551724138,0.0333333333333333,145,90,Kenya,Eastern Africa
O1.v2,Mbagathi,4,3,0.2,0.333333333333333,20,9,Kenya,Eastern Africa
O2afg.v2,AKU_Karachi,4,3,0.125,0.107142857142857,32,28,Pakistan,Southern Asia
O5,AKU_Karachi,3,3,0.09375,0.107142857142857,32,28,Pakistan,Southern Asia
O2a.v1,AKU_Quetta,3,3,0.3,0.333333333333333,10,9,Pakistan,Southern Asia
O1.v2,MBTygerberg Hospital,4,3,0.666666666666667,0.6,6,5,South Africa,Southern Africa
O2afg.v2,MBKorle Bu Hospital,7,3,0.318181818181818,0.230769230769231,22,13,Ghana,Western Africa
O4,MBUniversity Teaching Hospital,6,3,0.375,0.272727272727273,16,11,Zambia,Eastern Africa
O1.v2,MBHiwot Fana Hospital,10,3,0.384615384615385,0.375,26,8,Ethiopia,Eastern Africa
O2a.v1,MBQueen Elizabeth Central Hospital,4,3,0.2,0.1875,20,16,Malawi,Eastern Africa
O1.v1,BGHOSPITAL 4,4,2,0.210526315789474,0.222222222222222,19,9,South Africa,Southern Africa
O2afg.v2,BGHOSPITAL 6,2,2,0.181818181818182,0.222222222222222,11,9,South Africa,Southern Africa
O4,BGHOSPITAL 1,17,2,0.515151515151515,0.153846153846154,33,13,South Africa,Southern Africa
O1.v1,BGHOSPITAL 6,2,2,0.181818181818182,0.222222222222222,11,9,South Africa,Southern Africa
O2a.v1,PMH_Botswana,2,2,0.142857142857143,0.25,14,8,Botswana,Southern Africa
O3b,Blantyre,2,2,0.00666666666666667,0.0198019801980198,300,101,Malawi,Eastern Africa
