locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Start,End,cases,numClusters,Country,Study,Region
KL2,Blantyre,141,21,0.47,0.207920792079208,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL25,Blantyre,24,11,0.08,0.108910891089109,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL102,Kilifi,21,11,0.144827586206897,0.123595505617978,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
KL30,Blantyre,28,10,0.0933333333333333,0.099009900990099,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL102,SPINZ_Lusaka,224,10,0.785964912280702,0.333333333333333,285,30,2015,2017,286,26,Zambia,SPINZ,Eastern Africa
KL25,Kilifi,20,10,0.137931034482759,0.112359550561798,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
KL2,Kilifi,18,10,0.124137931034483,0.112359550561798,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
KL102,Blantyre,13,9,0.0433333333333333,0.0891089108910891,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL15,CHRFDSH,82,9,0.322834645669291,0.116883116883117,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL112,BAPP,16,9,0.533333333333333,0.45,30,20,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
KL25,HOSPITAL 1,10,8,0.222222222222222,0.307692307692308,45,26,2019,2020,50,31,South Africa,GBS,Southern Africa
KL51,CHRFDSH,9,7,0.0354330708661417,0.0909090909090909,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL48,CHRFDSH,6,6,0.0236220472440945,0.0779220779220779,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL81,CHRFDSH,35,6,0.137795275590551,0.0779220779220779,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL102,HOSPITAL 1,9,6,0.2,0.230769230769231,45,26,2019,2020,50,31,South Africa,GBS,Southern Africa
KL15,Kilifi,8,6,0.0551724137931034,0.0674157303370786,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
KL25,BGHOSPITAL 2,7,5,0.318181818181818,0.416666666666667,22,12,2019,2020,28,16,South Africa,BabyGERMS,Southern Africa
KL15,Blantyre,6,5,0.02,0.0495049504950495,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL108,BAES,38,5,0.417582417582418,0.25,91,20,2017,2017,94,20,Ethiopia,BARNARDS,Eastern Africa
KL28,BANN,9,5,0.272727272727273,0.208333333333333,33,24,2016,2017,34,25,Nigeria,BARNARDS,Western Africa
KL17,SPINZ_Lusaka,7,5,0.0245614035087719,0.166666666666667,285,30,2015,2017,286,26,Zambia,SPINZ,Eastern Africa
KL62,Kilifi,9,5,0.0620689655172414,0.0561797752808989,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
KL2,Mbagathi,15,5,0.75,0.555555555555556,20,9,2021,2022,20,9,Kenya,NeoBAC,Eastern Africa
KL102,BGHOSPITAL 5,9,4,0.428571428571429,0.285714285714286,21,14,2019,2020,21,14,South Africa,BabyGERMS,Southern Africa
KL25,BGHOSPITAL 4,8,4,0.421052631578947,0.444444444444444,19,9,2019,2020,22,11,South Africa,BabyGERMS,Southern Africa
KL23,Blantyre,5,4,0.0166666666666667,0.0396039603960396,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL9,Blantyre,14,4,0.0466666666666667,0.0396039603960396,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL102,CHRFDSH,29,4,0.114173228346457,0.051948051948052,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL53,BANN,8,4,0.242424242424242,0.166666666666667,33,24,2016,2017,34,25,Nigeria,BARNARDS,Western Africa
KL149,HOSPITAL 1,14,4,0.311111111111111,0.153846153846154,45,26,2019,2020,50,31,South Africa,GBS,Southern Africa
KL15,JIPMER,18,4,0.486486486486487,0.2,37,20,2019,2020,42,24,India,NeoOBS,Southern Asia
KL62,MBQueen Elizabeth Central Hospital,6,4,0.285714285714286,0.235294117647059,21,17,2020,2021,22,18,Malawi,MBIRA,Eastern Africa
KL25,BGHOSPITAL 5,5,3,0.238095238095238,0.214285714285714,21,14,2019,2020,21,14,South Africa,BabyGERMS,Southern Africa
KL9,BGHOSPITAL 3,3,3,0.15,0.1875,20,16,2019,2020,24,20,South Africa,BabyGERMS,Southern Africa
KL2,BGHOSPITAL 1,3,3,0.0909090909090909,0.230769230769231,33,13,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
KL25,BGHOSPITAL 3,6,3,0.3,0.1875,20,16,2019,2020,24,20,South Africa,BabyGERMS,Southern Africa
KL2,BGHOSPITAL 3,3,3,0.15,0.1875,20,16,2019,2020,24,20,South Africa,BabyGERMS,Southern Africa
KL102,BGHOSPITAL 1,6,3,0.181818181818182,0.230769230769231,33,13,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
KL151,BGHOSPITAL 2,9,3,0.409090909090909,0.25,22,12,2019,2020,28,16,South Africa,BabyGERMS,Southern Africa
KL25,BGHOSPITAL 6,3,3,0.272727272727273,0.333333333333333,11,9,2019,2020,14,12,South Africa,BabyGERMS,Southern Africa
KL16,Blantyre,5,3,0.0166666666666667,0.0297029702970297,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL17,Blantyre,10,3,0.0333333333333333,0.0297029702970297,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL62,Blantyre,5,3,0.0166666666666667,0.0297029702970297,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL19,Blantyre,9,3,0.03,0.0297029702970297,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL52,Blantyre,4,3,0.0133333333333333,0.0297029702970297,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL142,Blantyre,3,3,0.01,0.0297029702970297,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
KL25,CHRFDSH,3,3,0.0118110236220472,0.038961038961039,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL10,CHRFDSH,7,3,0.0275590551181102,0.038961038961039,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL15,CHRFCMOSH,3,3,0.1875,0.25,16,12,2013,2021,18,14,Bangladesh,CHRF,Southern Asia
KL19,CHRFDSH,3,3,0.0118110236220472,0.038961038961039,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
KL8,CHRFDSH,7,3,0.0275590551181102,0.038961038961039,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
