locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Start,End,cases,numClusters,Country,Study,Region
O1.v1,Blantyre,208,45,0.693333333333333,0.445544554455446,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
O1.v2,Blantyre,37,23,0.123333333333333,0.227722772277228,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
O2afg.v2,Kilifi,44,23,0.303448275862069,0.258426966292135,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
O1.v1,Kilifi,36,23,0.248275862068966,0.258426966292135,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
O2afg.v2,Blantyre,31,15,0.103333333333333,0.148514851485149,300,101,2013,2020,362,132,Malawi,MLW,Eastern Africa
O4,CHRFDSH,93,14,0.366141732283465,0.181818181818182,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O1.v1,CHRFDSH,40,13,0.15748031496063,0.168831168831169,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O1.v2,CHRFDSH,20,13,0.078740157480315,0.168831168831169,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O1.v1,BAPP,21,13,0.7,0.619047619047619,30,21,2016,2017,30,20,Pakistan,BARNARDS,Southern Asia
O1.v2,Kilifi,23,13,0.158620689655172,0.146067415730337,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
O1.v2,BAES,52,12,0.571428571428571,0.571428571428571,91,21,2017,2017,94,20,Ethiopia,BARNARDS,Eastern Africa
O1.v1,BANN,16,11,0.484848484848485,0.458333333333333,33,24,2016,2017,34,25,Nigeria,BARNARDS,Western Africa
O2afg.v2,SPINZ_Lusaka,250,11,0.87719298245614,0.392857142857143,285,28,2015,2017,286,26,Zambia,SPINZ,Eastern Africa
O1.v2,MBQueen Elizabeth Central Hospital,13,10,0.619047619047619,0.588235294117647,21,17,2020,2021,22,18,Malawi,MBIRA,Eastern Africa
OL13,CHRFDSH,38,9,0.149606299212598,0.116883116883117,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O3b,CHRFDSH,11,8,0.0433070866141732,0.103896103896104,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O2afg.v2,CHRFDSH,36,8,0.141732283464567,0.103896103896104,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O3b,Kilifi,8,8,0.0551724137931034,0.0898876404494382,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
O5,Kilifi,18,8,0.124137931034483,0.0898876404494382,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
O1.v2,AKU_Karachi,9,8,0.28125,0.285714285714286,32,28,2023,2023,34,30,Pakistan,AKU,Southern Asia
O2afg.v2,HOSPITAL 1,11,7,0.244444444444444,0.269230769230769,45,26,2019,2020,50,31,South Africa,GBS,Southern Africa
O5,HOSPITAL 1,9,7,0.2,0.269230769230769,45,26,2019,2020,50,31,South Africa,GBS,Southern Africa
O4,Kilifi,9,7,0.0620689655172414,0.0786516853932584,145,89,2013,2023,168,112,Kenya,Kilifi,Eastern Africa
O1.v2,MBKorle Bu Hospital,8,7,0.363636363636364,0.538461538461538,22,13,2020,2021,26,17,Ghana,MBIRA,Western Africa
O1.v2,BGHOSPITAL 1,7,6,0.212121212121212,0.461538461538462,33,13,2019,2020,34,14,South Africa,BabyGERMS,Southern Africa
O2a.v1,CHRFDSH,6,6,0.0236220472440945,0.0779220779220779,254,77,2013,2021,254,77,Bangladesh,CHRF,Southern Asia
O1.v2,BANN,7,6,0.212121212121212,0.25,33,24,2016,2017,34,25,Nigeria,BARNARDS,Western Africa
O1.v1,SPINZ_Lusaka,8,6,0.0280701754385965,0.214285714285714,285,28,2015,2017,286,26,Zambia,SPINZ,Eastern Africa
O1.v2,HOSPITAL 1,17,6,0.377777777777778,0.230769230769231,45,26,2019,2020,50,31,South Africa,GBS,Southern Africa
O1.v2,KEM-MUMBAI,6,6,0.285714285714286,0.352941176470588,21,17,2019,2020,22,18,India,NeoOBS,Southern Asia
O1.v1,Mbagathi,16,6,0.8,0.666666666666667,20,9,2021,2022,20,9,Kenya,NeoBAC,Eastern Africa
O2afg.v2,BGHOSPITAL 5,10,5,0.476190476190476,0.357142857142857,21,14,2019,2020,21,14,South Africa,BabyGERMS,Southern Africa
