locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Country,Region
O1.v1,Blantyre,219,30,0.604972375690608,0.309278350515464,362,97,Malawi,Eastern Africa
O2afg.v2,Kilifi,49,26,0.291666666666667,0.25,168,104,Kenya,Eastern Africa
O1.v2,Blantyre,43,23,0.11878453038674,0.237113402061856,362,97,Malawi,Eastern Africa
O1.v1,Kilifi,39,21,0.232142857142857,0.201923076923077,168,104,Kenya,Eastern Africa
O2afg.v2,Blantyre,37,17,0.102209944751381,0.175257731958763,362,97,Malawi,Eastern Africa
O1.v2,Kilifi,26,15,0.154761904761905,0.144230769230769,168,104,Kenya,Eastern Africa
O4,CHRFDSH,93,14,0.366141732283465,0.181818181818182,254,77,Bangladesh,Southern Asia
O1.v1,CHRFDSH,40,13,0.15748031496063,0.168831168831169,254,77,Bangladesh,Southern Asia
O1.v2,CHRFDSH,20,13,0.078740157480315,0.168831168831169,254,77,Bangladesh,Southern Asia
O3b,Kilifi,11,11,0.0654761904761905,0.105769230769231,168,104,Kenya,Eastern Africa
O1.v1,BANN,16,10,0.470588235294118,0.476190476190476,34,21,Nigeria,Western Africa
O4,Kilifi,12,10,0.0714285714285714,0.0961538461538462,168,104,Kenya,Eastern Africa
OL13,CHRFDSH,38,9,0.149606299212598,0.116883116883117,254,77,Bangladesh,Southern Asia
O1.v1,BAPP,21,9,0.7,0.5625,30,16,Pakistan,Southern Asia
O2afg.v2,SPINZ_Lusaka,251,9,0.877622377622378,0.391304347826087,286,23,Zambia,Eastern Africa
OL13,Blantyre,12,8,0.0331491712707182,0.0824742268041237,362,97,Malawi,Eastern Africa
O3b,CHRFDSH,11,8,0.0433070866141732,0.103896103896104,254,77,Bangladesh,Southern Asia
O2afg.v2,CHRFDSH,36,8,0.141732283464567,0.103896103896104,254,77,Bangladesh,Southern Asia
O5,Kilifi,18,8,0.107142857142857,0.0769230769230769,168,104,Kenya,Eastern Africa
O1.v2,MBKorle Bu Hospital,9,8,0.346153846153846,0.5,26,16,Ghana,Western Africa
O1.v2,BAES,52,7,0.553191489361702,0.583333333333333,94,12,Ethiopia,Eastern Africa
O1.v1,JIPMER,11,7,0.261904761904762,0.388888888888889,42,18,India,Southern Asia
O1.v2,AKU_Karachi,10,7,0.294117647058824,0.28,34,25,Pakistan,Southern Asia
O1.v2,MBQueen Elizabeth Central Hospital,13,7,0.590909090909091,0.538461538461538,22,13,Malawi,Eastern Africa
O1.v2,BGHOSPITAL 3,6,6,0.25,0.352941176470588,24,17,South Africa,Southern Africa
O3b,Blantyre,6,6,0.0165745856353591,0.0618556701030928,362,97,Malawi,Eastern Africa
