locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Country,Region
KL2,Blantyre,142,21,0.436923076923077,0.182608695652174,325,115,Malawi,Eastern Africa
KL102,Kilifi,22,12,0.130952380952381,0.106194690265487,168,113,Kenya,Eastern Africa
KL2,Kilifi,20,12,0.119047619047619,0.106194690265487,168,113,Kenya,Eastern Africa
KL25,Blantyre,24,11,0.0738461538461539,0.0956521739130435,325,115,Malawi,Eastern Africa
KL102,Blantyre,16,11,0.0492307692307692,0.0956521739130435,325,115,Malawi,Eastern Africa
KL30,Blantyre,28,10,0.0861538461538462,0.0869565217391304,325,115,Malawi,Eastern Africa
KL102,SPINZ_Lusaka,225,10,0.786713286713287,0.333333333333333,286,30,Zambia,Eastern Africa
KL25,Kilifi,20,10,0.119047619047619,0.0884955752212389,168,113,Kenya,Eastern Africa
KL15,CHRFDSH,82,9,0.322834645669291,0.116883116883117,254,77,Bangladesh,Southern Asia
KL112,BAPP,16,9,0.533333333333333,0.45,30,20,Pakistan,Southern Asia
KL25,HOSPITAL 1,10,8,0.2,0.25,50,32,South Africa,Southern Africa
KL51,CHRFDSH,9,7,0.0354330708661417,0.0909090909090909,254,77,Bangladesh,Southern Asia
KL15,Kilifi,8,7,0.0476190476190476,0.0619469026548673,168,113,Kenya,Eastern Africa
KL15,Blantyre,13,6,0.04,0.0521739130434783,325,115,Malawi,Eastern Africa
KL48,CHRFDSH,6,6,0.0236220472440945,0.0779220779220779,254,77,Bangladesh,Southern Asia
KL81,CHRFDSH,35,6,0.137795275590551,0.0779220779220779,254,77,Bangladesh,Southern Asia
KL102,HOSPITAL 1,8,6,0.16,0.1875,50,32,South Africa,Southern Africa
KL149,HOSPITAL 1,16,6,0.32,0.1875,50,32,South Africa,Southern Africa
KL25,BGHOSPITAL 2,7,5,0.25,0.3125,28,16,South Africa,Southern Africa
KL108,BAES,38,5,0.404255319148936,0.25,94,20,Ethiopia,Eastern Africa
KL28,BANN,9,5,0.264705882352941,0.2,34,25,Nigeria,Western Africa
KL17,SPINZ_Lusaka,7,5,0.0244755244755245,0.166666666666667,286,30,Zambia,Eastern Africa
KL23,Kilifi,5,5,0.0297619047619048,0.0442477876106195,168,113,Kenya,Eastern Africa
KL62,Kilifi,9,5,0.0535714285714286,0.0442477876106195,168,113,Kenya,Eastern Africa
KL2,Mbagathi,15,5,0.75,0.555555555555556,20,9,Kenya,Eastern Africa
KL102,BGHOSPITAL 6,4,4,0.285714285714286,0.333333333333333,14,12,South Africa,Southern Africa
KL102,BGHOSPITAL 5,9,4,0.428571428571429,0.285714285714286,21,14,South Africa,Southern Africa
KL25,BGHOSPITAL 4,8,4,0.363636363636364,0.363636363636364,22,11,South Africa,Southern Africa
KL25,PMH_Botswana,8,4,0.347826086956522,0.363636363636364,23,11,Botswana,Southern Africa
KL16,Blantyre,6,4,0.0184615384615385,0.0347826086956522,325,115,Malawi,Eastern Africa
KL23,Blantyre,5,4,0.0153846153846154,0.0347826086956522,325,115,Malawi,Eastern Africa
KL9,Blantyre,14,4,0.0430769230769231,0.0347826086956522,325,115,Malawi,Eastern Africa
KL10,Blantyre,4,4,0.0123076923076923,0.0347826086956522,325,115,Malawi,Eastern Africa
KL52,Blantyre,6,4,0.0184615384615385,0.0347826086956522,325,115,Malawi,Eastern Africa
KL102,CHRFDSH,29,4,0.114173228346457,0.051948051948052,254,77,Bangladesh,Southern Asia
KL53,BANN,8,4,0.235294117647059,0.16,34,25,Nigeria,Western Africa
KL62,BAZAT,4,4,0.333333333333333,0.333333333333333,12,12,South Africa,Southern Africa
KL15,AIIMSJP,14,4,0.411764705882353,0.19047619047619,34,21,India,Southern Asia
KL3,Kilifi,7,4,0.0416666666666667,0.0353982300884956,168,113,Kenya,Eastern Africa
KL122,Kilifi,11,4,0.0654761904761905,0.0353982300884956,168,113,Kenya,Eastern Africa
KL39,Kilifi,5,4,0.0297619047619048,0.0353982300884956,168,113,Kenya,Eastern Africa
KL16,Kilifi,7,4,0.0416666666666667,0.0353982300884956,168,113,Kenya,Eastern Africa
KL62,MBQueen Elizabeth Central Hospital,6,4,0.285714285714286,0.235294117647059,21,17,Malawi,Eastern Africa
KL25,BGHOSPITAL 5,5,3,0.238095238095238,0.214285714285714,21,14,South Africa,Southern Africa
KL9,BGHOSPITAL 3,3,3,0.125,0.15,24,20,South Africa,Southern Africa
KL2,BGHOSPITAL 1,3,3,0.0882352941176471,0.214285714285714,34,14,South Africa,Southern Africa
KL25,BGHOSPITAL 3,6,3,0.25,0.15,24,20,South Africa,Southern Africa
KL2,BGHOSPITAL 3,3,3,0.125,0.15,24,20,South Africa,Southern Africa
KL102,BGHOSPITAL 1,6,3,0.176470588235294,0.214285714285714,34,14,South Africa,Southern Africa
KL151,BGHOSPITAL 2,9,3,0.321428571428571,0.1875,28,16,South Africa,Southern Africa
KL25,BGHOSPITAL 6,3,3,0.214285714285714,0.25,14,12,South Africa,Southern Africa
KL48,PMH_Botswana,7,3,0.304347826086957,0.272727272727273,23,11,Botswana,Southern Africa
KL17,Blantyre,10,3,0.0307692307692308,0.0260869565217391,325,115,Malawi,Eastern Africa
KL62,Blantyre,5,3,0.0153846153846154,0.0260869565217391,325,115,Malawi,Eastern Africa
KL19,Blantyre,9,3,0.0276923076923077,0.0260869565217391,325,115,Malawi,Eastern Africa
KL142,Blantyre,3,3,0.00923076923076923,0.0260869565217391,325,115,Malawi,Eastern Africa
KL25,CHRFDSH,3,3,0.0118110236220472,0.038961038961039,254,77,Bangladesh,Southern Asia
KL10,CHRFDSH,7,3,0.0275590551181102,0.038961038961039,254,77,Bangladesh,Southern Asia
KL15,CHRFCMOSH,3,3,0.166666666666667,0.214285714285714,18,14,Bangladesh,Southern Asia
KL19,CHRFDSH,3,3,0.0118110236220472,0.038961038961039,254,77,Bangladesh,Southern Asia
KL8,CHRFDSH,7,3,0.0275590551181102,0.038961038961039,254,77,Bangladesh,Southern Asia
KL57,BAES,9,3,0.0957446808510638,0.15,94,20,Ethiopia,Eastern Africa
KL116,BANK,3,3,0.1875,0.230769230769231,16,13,Nigeria,Western Africa
KL102,BANN,3,3,0.0882352941176471,0.12,34,25,Nigeria,Western Africa
KL102,BARK,4,3,0.266666666666667,0.272727272727273,15,11,Rwanda,Eastern Africa
KL23,SPINZ_Lusaka,26,3,0.0909090909090909,0.1,286,30,Zambia,Eastern Africa
KL2,HOSPITAL 1,5,3,0.1,0.09375,50,32,South Africa,Southern Africa
KL18,Kilifi,3,3,0.0178571428571429,0.0265486725663717,168,113,Kenya,Eastern Africa
KL23,Mbagathi,4,3,0.2,0.333333333333333,20,9,Kenya,Eastern Africa
KL51,AKU_Karachi,3,3,0.0882352941176471,0.1,34,30,Pakistan,Southern Asia
KL25,AKU_Karachi,3,3,0.0882352941176471,0.1,34,30,Pakistan,Southern Asia
KL30,MBTygerberg Hospital,4,3,0.4,0.333333333333333,10,9,South Africa,Southern Africa
KL15,MBUniversity Teaching Hospital,6,3,0.352941176470588,0.25,17,12,Zambia,Eastern Africa
KL2,MBQueen Elizabeth Central Hospital,4,3,0.19047619047619,0.176470588235294,21,17,Malawi,Eastern Africa
KL104,MBKilimanjaro Christian Medical Centre,53,3,0.913793103448276,0.375,58,8,Tanzania,Eastern Africa
KL62,BGHOSPITAL 4,4,2,0.181818181818182,0.181818181818182,22,11,South Africa,Southern Africa
KL62,BGHOSPITAL 1,3,2,0.0882352941176471,0.142857142857143,34,14,South Africa,Southern Africa
KL149,BGHOSPITAL 3,3,2,0.125,0.1,24,20,South Africa,Southern Africa
KL102,BGHOSPITAL 3,2,2,0.0833333333333333,0.1,24,20,South Africa,Southern Africa
KL8,BGHOSPITAL 2,4,2,0.142857142857143,0.125,28,16,South Africa,Southern Africa
KL149,BGHOSPITAL 1,17,2,0.5,0.142857142857143,34,14,South Africa,Southern Africa
KL149,BGHOSPITAL 4,6,2,0.272727272727273,0.181818181818182,22,11,South Africa,Southern Africa
KL17,BGHOSPITAL 3,2,2,0.0833333333333333,0.1,24,20,South Africa,Southern Africa
KL39,BGHOSPITAL 3,2,2,0.0833333333333333,0.1,24,20,South Africa,Southern Africa
KL24,PMH_Botswana,4,2,0.173913043478261,0.181818181818182,23,11,Botswana,Southern Africa
KL28,Blantyre,2,2,0.00615384615384615,0.0173913043478261,325,115,Malawi,Eastern Africa
KL13,Blantyre,2,2,0.00615384615384615,0.0173913043478261,325,115,Malawi,Eastern Africa
KL49,Blantyre,4,2,0.0123076923076923,0.0173913043478261,325,115,Malawi,Eastern Africa
KL43,Blantyre,2,2,0.00615384615384615,0.0173913043478261,325,115,Malawi,Eastern Africa
KL64,CHRFDSH,4,2,0.015748031496063,0.025974025974026,254,77,Bangladesh,Southern Asia
KL3,CHRFDSH,2,2,0.0078740157480315,0.025974025974026,254,77,Bangladesh,Southern Asia
KL112,CHRFDSH,2,2,0.0078740157480315,0.025974025974026,254,77,Bangladesh,Southern Asia
KL15,CHRFKWMCH,8,2,0.470588235294118,0.181818181818182,17,11,Bangladesh,Southern Asia
KL54,CHRFDSH,9,2,0.0354330708661417,0.025974025974026,254,77,Bangladesh,Southern Asia
KL122,CHRFDSH,5,2,0.0196850393700787,0.025974025974026,254,77,Bangladesh,Southern Asia
KL36,CHRFDSH,6,2,0.0236220472440945,0.025974025974026,254,77,Bangladesh,Southern Asia
KL17,CHRFDSH,3,2,0.0118110236220472,0.025974025974026,254,77,Bangladesh,Southern Asia
KL128,BABC,2,2,0.117647058823529,0.142857142857143,17,14,Bangladesh,Southern Asia
KL38,BABC,2,2,0.117647058823529,0.142857142857143,17,14,Bangladesh,Southern Asia
KL24,BAES,3,2,0.0319148936170213,0.1,94,20,Ethiopia,Eastern Africa
KL15,BAES,29,2,0.308510638297872,0.1,94,20,Ethiopia,Eastern Africa
KL39,BAES,8,2,0.0851063829787234,0.1,94,20,Ethiopia,Eastern Africa
KL15,BANK,2,2,0.125,0.153846153846154,16,13,Nigeria,Western Africa
KL57,BANK,3,2,0.1875,0.153846153846154,16,13,Nigeria,Western Africa
KL62,BANN,2,2,0.0588235294117647,0.08,34,25,Nigeria,Western Africa
KL2,BANN,2,2,0.0588235294117647,0.08,34,25,Nigeria,Western Africa
KL116,BANN,3,2,0.0882352941176471,0.08,34,25,Nigeria,Western Africa
KL34,BAPP,2,2,0.0666666666666667,0.1,30,20,Pakistan,Southern Asia
KL136,BAPP,3,2,0.1,0.1,30,20,Pakistan,Southern Asia
KL117,BAPP,4,2,0.133333333333333,0.1,30,20,Pakistan,Southern Asia
KL2,BARK,2,2,0.133333333333333,0.181818181818182,15,11,Rwanda,Eastern Africa
KL62,BARK,3,2,0.2,0.181818181818182,15,11,Rwanda,Eastern Africa
KL64,BARK,3,2,0.2,0.181818181818182,15,11,Rwanda,Eastern Africa
KL2,BAZAT,2,2,0.166666666666667,0.166666666666667,12,12,South Africa,Southern Africa
KL64,SPINZ_Lusaka,4,2,0.013986013986014,0.0666666666666667,286,30,Zambia,Eastern Africa
KL38,SPINZ_Lusaka,2,2,0.00699300699300699,0.0666666666666667,286,30,Zambia,Eastern Africa
KL3,HOSPITAL 1,3,2,0.06,0.0625,50,32,South Africa,Southern Africa
KL48,AIIMSJP,2,2,0.0588235294117647,0.0952380952380952,34,21,India,Southern Asia
KL16,AIIMSJP,3,2,0.0882352941176471,0.0952380952380952,34,21,India,Southern Asia
KL51,AIIMSJP,2,2,0.0588235294117647,0.0952380952380952,34,21,India,Southern Asia
KL51,AIIMSKM,2,2,0.0952380952380952,0.117647058823529,21,17,India,Southern Asia
KL24,AIIMSKM,4,2,0.19047619047619,0.117647058823529,21,17,India,Southern Asia
KL19,AIIMSKM,2,2,0.0952380952380952,0.117647058823529,21,17,India,Southern Asia
KL39,AIIMSKM,2,2,0.0952380952380952,0.117647058823529,21,17,India,Southern Asia
KL67,Kilifi,2,2,0.0119047619047619,0.0176991150442478,168,113,Kenya,Eastern Africa
KL27,Kilifi,2,2,0.0119047619047619,0.0176991150442478,168,113,Kenya,Eastern Africa
KL112,Kilifi,2,2,0.0119047619047619,0.0176991150442478,168,113,Kenya,Eastern Africa
KL111,Kilifi,2,2,0.0119047619047619,0.0176991150442478,168,113,Kenya,Eastern Africa
KL118,Kilifi,2,2,0.0119047619047619,0.0176991150442478,168,113,Kenya,Eastern Africa
KL2,Kiambu sub-County Hospital,13,2,0.282608695652174,0.333333333333333,46,6,Kenya,Eastern Africa
KL62,Kiambu sub-County Hospital,2,2,0.0434782608695652,0.333333333333333,46,6,Kenya,Eastern Africa
KL55,Kilifi,2,2,0.0119047619047619,0.0176991150442478,168,113,Kenya,Eastern Africa
KL10,Kilifi,2,2,0.0119047619047619,0.0176991150442478,168,113,Kenya,Eastern Africa
KL9,Kilifi,2,2,0.0119047619047619,0.0176991150442478,168,113,Kenya,Eastern Africa
