locus,Site,raw_count,adj_count,raw_prop,adj_prop,raw_sum,adj_sum,Country,Region
O1.v1,Blantyre,210,46,0.646153846153846,0.4,325,115,Malawi,Eastern Africa
O2afg.v2,Kilifi,49,28,0.291666666666667,0.247787610619469,168,113,Kenya,Eastern Africa
O1.v2,Blantyre,40,26,0.123076923076923,0.226086956521739,325,115,Malawi,Eastern Africa
O1.v1,Kilifi,39,26,0.232142857142857,0.230088495575221,168,113,Kenya,Eastern Africa
O2afg.v2,Blantyre,35,18,0.107692307692308,0.156521739130435,325,115,Malawi,Eastern Africa
O1.v2,Kilifi,26,16,0.154761904761905,0.141592920353982,168,113,Kenya,Eastern Africa
O4,CHRFDSH,93,14,0.366141732283465,0.181818181818182,254,77,Bangladesh,Southern Asia
O1.v1,CHRFDSH,40,13,0.15748031496063,0.168831168831169,254,77,Bangladesh,Southern Asia
O1.v2,CHRFDSH,20,13,0.078740157480315,0.168831168831169,254,77,Bangladesh,Southern Asia
O1.v1,BAPP,21,13,0.7,0.619047619047619,30,21,Pakistan,Southern Asia
O1.v2,BAES,52,12,0.553191489361702,0.571428571428571,94,21,Ethiopia,Eastern Africa
O1.v1,BANN,16,11,0.470588235294118,0.44,34,25,Nigeria,Western Africa
O2afg.v2,SPINZ_Lusaka,251,11,0.877622377622378,0.392857142857143,286,28,Zambia,Eastern Africa
O3b,Kilifi,11,11,0.0654761904761905,0.0973451327433628,168,113,Kenya,Eastern Africa
O4,Kilifi,11,10,0.0654761904761905,0.0884955752212389,168,113,Kenya,Eastern Africa
O1.v2,MBQueen Elizabeth Central Hospital,13,10,0.619047619047619,0.588235294117647,21,17,Malawi,Eastern Africa
OL13,CHRFDSH,38,9,0.149606299212598,0.116883116883117,254,77,Bangladesh,Southern Asia
O1.v2,AKU_Karachi,10,9,0.294117647058824,0.3,34,30,Pakistan,Southern Asia
OL13,Blantyre,12,8,0.0369230769230769,0.0695652173913043,325,115,Malawi,Eastern Africa
O3b,CHRFDSH,11,8,0.0433070866141732,0.103896103896104,254,77,Bangladesh,Southern Asia
O2afg.v2,CHRFDSH,36,8,0.141732283464567,0.103896103896104,254,77,Bangladesh,Southern Asia
O1.v1,BAZAT,8,8,0.666666666666667,0.666666666666667,12,12,South Africa,Southern Africa
O2afg.v2,HOSPITAL 1,11,8,0.22,0.25,50,32,South Africa,Southern Africa
O1.v2,HOSPITAL 1,19,8,0.38,0.25,50,32,South Africa,Southern Africa
O5,Kilifi,18,8,0.107142857142857,0.0707964601769911,168,113,Kenya,Eastern Africa
O1.v2,MBKorle Bu Hospital,9,8,0.346153846153846,0.470588235294118,26,17,Ghana,Western Africa
O1.v1,BGHOSPITAL 3,7,7,0.291666666666667,0.35,24,20,South Africa,Southern Africa
O5,HOSPITAL 1,9,7,0.18,0.21875,50,32,South Africa,Southern Africa
O1.v1,AIIMSJP,10,7,0.294117647058824,0.333333333333333,34,21,India,Southern Asia
O1.v2,BGHOSPITAL 1,7,6,0.205882352941176,0.428571428571429,34,14,South Africa,Southern Africa
O1.v2,BGHOSPITAL 3,6,6,0.25,0.3,24,20,South Africa,Southern Africa
O4,Blantyre,13,6,0.04,0.0521739130434783,325,115,Malawi,Eastern Africa
O2a.v1,CHRFDSH,6,6,0.0236220472440945,0.0779220779220779,254,77,Bangladesh,Southern Asia
O1.v2,BANN,7,6,0.205882352941176,0.24,34,25,Nigeria,Western Africa
O1.v1,SPINZ_Lusaka,8,6,0.027972027972028,0.214285714285714,286,28,Zambia,Eastern Africa
O1.v1,HOSPITAL 1,8,6,0.16,0.1875,50,32,South Africa,Southern Africa
O1.v1,Mbagathi,16,6,0.8,0.666666666666667,20,9,Kenya,Eastern Africa
O1.v1,AKU_Karachi,6,6,0.176470588235294,0.2,34,30,Pakistan,Southern Asia
O2afg.v2,BGHOSPITAL 5,10,5,0.476190476190476,0.357142857142857,21,14,South Africa,Southern Africa
O1.v1,BGHOSPITAL 2,11,5,0.392857142857143,0.3125,28,16,South Africa,Southern Africa
O4,CHRFCMOSH,5,5,0.277777777777778,0.357142857142857,18,14,Bangladesh,Southern Asia
O1.v2,AIIMSJP,5,5,0.147058823529412,0.238095238095238,34,21,India,Southern Asia
O1.v2,AIIMSKM,5,5,0.238095238095238,0.294117647058824,21,17,India,Southern Asia
OL13,Kilifi,5,5,0.0297619047619048,0.0442477876106195,168,113,Kenya,Eastern Africa
O2a.v1,Kilifi,5,5,0.0297619047619048,0.0442477876106195,168,113,Kenya,Eastern Africa
O1.v2,MBTygerberg Hospital,6,5,0.6,0.555555555555556,10,9,South Africa,Southern Africa
O1.v2,MBKilimanjaro Christian Medical Centre,55,5,0.948275862068966,0.625,58,8,Tanzania,Eastern Africa
O2afg.v2,BGHOSPITAL 6,4,4,0.285714285714286,0.333333333333333,14,12,South Africa,Southern Africa
O1.v1,BGHOSPITAL 5,5,4,0.238095238095238,0.285714285714286,21,14,South Africa,Southern Africa
O5,BGHOSPITAL 4,8,4,0.363636363636364,0.363636363636364,22,11,South Africa,Southern Africa
O4,BGHOSPITAL 2,10,4,0.357142857142857,0.25,28,16,South Africa,Southern Africa
O5,PMH_Botswana,8,4,0.347826086956522,0.363636363636364,23,11,Botswana,Southern Africa
O3b,Blantyre,4,4,0.0123076923076923,0.0347826086956522,325,115,Malawi,Eastern Africa
O3b,BABC,4,4,0.235294117647059,0.285714285714286,17,14,Bangladesh,Southern Asia
O2afg.v2,BAES,10,4,0.106382978723404,0.19047619047619,94,21,Ethiopia,Eastern Africa
O1.v1,BANK,4,4,0.25,0.307692307692308,16,13,Nigeria,Western Africa
O2afg.v2,BANN,4,4,0.117647058823529,0.16,34,25,Nigeria,Western Africa
O2afg.v2,BARK,5,4,0.333333333333333,0.333333333333333,15,12,Rwanda,Eastern Africa
O1.v1,BARK,6,4,0.4,0.333333333333333,15,12,Rwanda,Eastern Africa
O4,AIIMSJP,14,4,0.411764705882353,0.19047619047619,34,21,India,Southern Asia
O1.v1,AIIMSKM,5,4,0.238095238095238,0.235294117647059,21,17,India,Southern Asia
O1.v1,Kiambu sub-County Hospital,15,4,0.326086956521739,0.666666666666667,46,6,Kenya,Eastern Africa
O4,AKU_Karachi,5,4,0.147058823529412,0.133333333333333,34,30,Pakistan,Southern Asia
O1.v2,AIDH2,9,4,0.264705882352941,0.333333333333333,34,12,India,Southern Asia
O2afg.v2,BGHOSPITAL 3,3,3,0.125,0.15,24,20,South Africa,Southern Africa
O1.v1,BGHOSPITAL 4,5,3,0.227272727272727,0.272727272727273,22,11,South Africa,Southern Africa
O1.v2,BGHOSPITAL 5,3,3,0.142857142857143,0.214285714285714,21,14,South Africa,Southern Africa
O2afg.v2,BGHOSPITAL 1,6,3,0.176470588235294,0.214285714285714,34,14,South Africa,Southern Africa
O5,BGHOSPITAL 2,3,3,0.107142857142857,0.1875,28,16,South Africa,Southern Africa
O1.v2,BGHOSPITAL 4,7,3,0.318181818181818,0.272727272727273,22,11,South Africa,Southern Africa
O5,BGHOSPITAL 6,3,3,0.214285714285714,0.25,14,12,South Africa,Southern Africa
O1.v1,BGHOSPITAL 6,3,3,0.214285714285714,0.25,14,12,South Africa,Southern Africa
O3/O3a,PMH_Botswana,7,3,0.304347826086957,0.272727272727273,23,11,Botswana,Southern Africa
O5,CHRFDSH,3,3,0.0118110236220472,0.038961038961039,254,77,Bangladesh,Southern Asia
O3/O3a,CHRFDSH,7,3,0.0275590551181102,0.038961038961039,254,77,Bangladesh,Southern Asia
O4,CHRFKWMCH,9,3,0.529411764705882,0.272727272727273,17,11,Bangladesh,Southern Asia
O1.v1,BABC,6,3,0.352941176470588,0.214285714285714,17,14,Bangladesh,Southern Asia
O2a.v1,BANN,6,3,0.176470588235294,0.12,34,25,Nigeria,Western Africa
