"locus","mean","median","lower","upper","subgroup"
"KL10",0.024145828571252,0.023720608968729,0.0143586637229398,0.0362780221500034,"Global"
"KL102",0.095184430793098,0.0948205460792794,0.0752463707836182,0.117346883150142,"Global"
"KL104",0.00672451926610291,0.00627419213884955,0.00219258119522285,0.0135284770934908,"Global"
"KL105",0.00399777039354831,0.00358239964781997,0.000837600244646379,0.00962578757454003,"Global"
"KL106",0.00403026000059825,0.00361826983265905,0.000820106392105849,0.00956409931251571,"Global"
"KL108",0.0107121780196357,0.0103264185374507,0.00467735832502737,0.0189833224064704,"Global"
"KL109",0.00401907922134341,0.00359479352072711,0.000836259616100055,0.00962552028614872,"Global"
"KL11",0.00134386664316063,0.00094069633366546,3.78502589264583e-05,0.00496066917785373,"Global"
"KL110",0.00671175414943371,0.00628389896628182,0.00218037262108035,0.0136780947080064,"Global"
"KL111",0.00536739108002471,0.00491115212560747,0.00144618977284803,0.0117548037075596,"Global"
"KL112",0.0228195274284867,0.0223640564615553,0.0135193048313251,0.0344815020280903,"Global"
"KL114",0.00135554710828544,0.000931219998303106,3.4401447622388e-05,0.004868553797495,"Global"
"KL116",0.00670160811654888,0.00624096099643385,0.00224809538882938,0.0136029753325575,"Global"
"KL117",0.00401528981892811,0.00358306221946041,0.000843292485123414,0.00958133442229957,"Global"
"KL118",0.00270267681386249,0.00228980043474129,0.00034539671783631,0.00746890965729521,"Global"
"KL12",0.00132224599737302,0.000913354770322275,3.14797347733268e-05,0.00486600733173099,"Global"
"KL122",0.0200172424044774,0.0195711971295546,0.0111850298335368,0.0310877424463232,"Global"
"KL123",0.00135512271235831,0.000943364629830297,3.42933584396117e-05,0.00498988722064623,"Global"
"KL124",0.00270000588529574,0.00229571348807968,0.000345561805664078,0.00743707688120588,"Global"
"KL125",0.00135073461323295,0.000947889641155838,3.2426161400011e-05,0.00484659941191652,"Global"
"KL127",0.00267923906624367,0.00224184986665074,0.000314469249691757,0.00736664964033972,"Global"
"KL128",0.00401176731468687,0.00358321127876704,0.000863431890643988,0.00947063112499598,"Global"
"KL13",0.00534464086790063,0.00493226670239654,0.00139655576427425,0.0118123717541825,"Global"
"KL131",0.00268152358595774,0.00224848720090766,0.000313985345615532,0.00745639186577614,"Global"
"KL134",0.00134248568609461,0.000938147465650543,3.42550649079371e-05,0.00490421052797846,"Global"
"KL136",0.0093767850881495,0.00897667068052333,0.00382298888172111,0.0173096584307667,"Global"
"KL137",0.00133154613646413,0.000938401342266645,3.37645883910509e-05,0.00481999182271163,"Global"
"KL139",0.00135646681627006,0.000939434987615637,3.21879574955232e-05,0.00506255259501707,"Global"
"KL14",0.00807740801752419,0.0076494302798493,0.00292998283824225,0.0156214052309749,"Global"
"KL140",0.00136142364456152,0.000928466024965659,3.55533429371233e-05,0.00508011710448672,"Global"
"KL141",0.00269603143514132,0.00227084098082999,0.000314528006702429,0.00745064073576318,"Global"
"KL142",0.00405039640608936,0.00361063566435674,0.000897319883729327,0.0096648286930418,"Global"
"KL143",0.00133809534660202,0.000947910379594526,3.57626372272896e-05,0.00484655623282759,"Global"
"KL144",0.00133382177348495,0.000921450489401965,3.5204972086669e-05,0.0049379895619868,"Global"
"KL146",0.00263986497482054,0.00222646106697283,0.000318597901642754,0.0073085950342083,"Global"
"KL149",0.0201699789057693,0.0198112359658705,0.0113519302604916,0.0310894288296903,"Global"
"KL15",0.0564057672966804,0.0560615962632789,0.041342108574582,0.0737834843704397,"Global"
"KL151",0.00672545406648329,0.00628947852518812,0.00219224392920087,0.0137042552242819,"Global"
"KL155",0.00401836998737602,0.00358407016867884,0.000841726692203618,0.00958364215532083,"Global"
"KL157",0.00135049396055711,0.000940064726527016,3.20693448688062e-05,0.00495121992339135,"Global"
"KL158",0.00134670469171441,0.00092047936538982,3.51258796969113e-05,0.0049773858240475,"Global"
"KL16",0.0161300633427185,0.0157406837511509,0.00834133628065886,0.0260603755094703,"Global"
"KL163",0.00134834496699279,0.00093011219229097,3.5492990016027e-05,0.00491499919369219,"Global"
"KL169",0.00268798684802392,0.00225479474645664,0.000325093589237278,0.00751356893838251,"Global"
"KL17",0.0280965721029766,0.0276829023926129,0.0174984492433397,0.0408874273624472,"Global"
"KL171",0.00133612849483089,0.000927508615531878,3.44090046484193e-05,0.00498997832014061,"Global"
"KL179",0.00132903652383021,0.000915841013710829,3.23716061377705e-05,0.00497135128799095,"Global"
"KL18",0.00666912713318539,0.00628876122490847,0.00218130355644149,0.0135147223176225,"Global"
"KL180",0.00269269424395638,0.00228026425060197,0.000329041062078717,0.00737321328972473,"Global"
"KL183",0.00134578588396653,0.000951142276753653,3.59483099261241e-05,0.004957854207635,"Global"
"KL186",0.00134077940773551,0.000966698414493378,3.60137466764932e-05,0.00481277947656792,"Global"
"KL19",0.0147325185493308,0.0143058673818956,0.00750588390889138,0.0243511782701392,"Global"
"KL2",0.0950358285681817,0.0947107426790373,0.0756017000776882,0.116927397204223,"Global"
"KL20",0.00399107183750255,0.0035638052050752,0.000843024904329365,0.00959742923935313,"Global"
"KL21",0.0026790710136548,0.00225139018323703,0.000336097958655401,0.00737998305901944,"Global"
"KL22",0.00133770761427631,0.000912732156118785,3.16311063859094e-05,0.00482639468375963,"Global"
"KL23",0.0254927778678793,0.0250300630594197,0.0155494964132615,0.0378901126086049,"Global"
"KL24",0.0148198685302233,0.0144104707916644,0.00751875697177436,0.0245508151761635,"Global"
"KL25",0.0872083524449655,0.0869100238476688,0.0685115243866093,0.108036247166323,"Global"
"KL27",0.0053699035077113,0.00497077735210358,0.00150087635610978,0.0115325472447014,"Global"
"KL28",0.0120154949834794,0.0116252412968252,0.0056003433845114,0.0206347098964033,"Global"
"KL3",0.0201437683138243,0.0197252886752749,0.0113213590199698,0.0311994129083229,"Global"
"KL30",0.0336000573695957,0.0332882782505638,0.0221080853908102,0.0474507670897034,"Global"
"KL31",0.00270260363046945,0.00227499125679475,0.000316777767670674,0.00760221679095557,"Global"
"KL34",0.00266946158441852,0.00225494849917834,0.000317881018201085,0.00743173439643058,"Global"
"KL35",0.00538045447107871,0.00497245218360762,0.00143827220570866,0.0118506254825401,"Global"
"KL36",0.0053913574304729,0.00496492033351025,0.00144884395867548,0.0116362484053504,"Global"
"KL38",0.0120898900659489,0.0116527652500149,0.00548061448896605,0.0211349996832351,"Global"
