"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0217882915036971,0.0209464152605031,0.00999782543716309,0.0383136227663808
"KL10","Southern Africa",0.0136800299592643,0.0118734599989588,0.00271127005617261,0.0347651489404964
"KL10","Southern Asia",0.0391550487226476,0.0378246598075233,0.018652561430199,0.0674573767591056
"KL10","Western Africa",0.0205806867151421,0.0163401644181476,0.00240587162383121,0.0616525371768164
"KL102","Eastern Africa",0.104594831734139,0.103878721084312,0.0751527317114399,0.138006766200608
"KL102","Southern Africa",0.13413126097429,0.132658242766373,0.0852073816539995,0.191852362599567
"KL102","Southern Asia",0.0270572304824272,0.0256772520745393,0.0104883052614026,0.051114313651785
"KL102","Western Africa",0.105694869166068,0.101435627444979,0.0432226265419746,0.193002314663117
"KL104","Eastern Africa",0.0108508040073192,0.00998680423951464,0.00313363978322808,0.0232855251424626
"KL104","Southern Africa",0.00183096997314504,0.000983828082237044,5.1240963337658e-05,0.00863659155105803
"KL104","Southern Asia",0.00234947914028143,0.0014906464009481,0.000106322211998649,0.00962229927672337
"KL104","Western Africa",0.00344646601205555,0.00166722924384528,7.54920863885178e-05,0.0175740084170538
"KL105","Eastern Africa",0.00447270328415181,0.00373394104758766,0.000630189330904686,0.0126477631269922
"KL105","Southern Africa",0.00164927281133332,0.000897659555279673,5.04671197216271e-05,0.00774784368294003
"KL105","Southern Asia",0.00413038039634259,0.00305302358591427,0.000296820531969964,0.0139393952935515
"KL105","Western Africa",0.00316734733101089,0.00151327178281525,6.39636124290836e-05,0.0162753864034001
"KL106","Eastern Africa",0.00596146697113438,0.00517053543429173,0.00109204854480068,0.0151629795339508
"KL106","Southern Africa",0.00142915790013571,0.000694057646823027,3.24747799635289e-05,0.00731708505823034
"KL106","Southern Asia",0.00189166155810793,0.00112641621686021,6.07844845923145e-05,0.00820021888506666
"KL106","Western Africa",0.00258051561705432,0.00114919118028652,4.53029458450525e-05,0.0139456551210666
"KL108","Eastern Africa",0.0149643658023319,0.0140541741046185,0.00552502904975574,0.0291827775248466
"KL108","Southern Africa",0.00613804796088312,0.00462965451989956,0.00058700139540906,0.0204396949887306
"KL108","Southern Asia",0.00375048854931095,0.00273591452021676,0.000284239622046138,0.0128591516033794
"KL108","Western Africa",0.0130088286198419,0.00941058512658717,0.000991283664271044,0.0446639766045782
"KL109","Eastern Africa",0.00450902956786321,0.00371977943912424,0.000599373735514458,0.012852278431184
"KL109","Southern Africa",0.00167226306319453,0.000900069451775222,4.51624436821042e-05,0.00789145543884546
"KL109","Southern Asia",0.00411814253878208,0.00302136612992287,0.000293196490810931,0.0141869875184979
"KL109","Western Africa",0.003086291783947,0.00147787055640815,6.49111881966391e-05,0.0159191541707714
"KL11","Eastern Africa",0.000781044961007827,0.000377918482000952,7.41691149592784e-06,0.0038914310649715
"KL11","Southern Africa",0.000732012315705643,0.000252208631307185,4.18422055279801e-06,0.00432878365134381
"KL11","Southern Asia",0.00228344333617111,0.00135975635148864,3.41432911322821e-05,0.00971800765277618
"KL11","Western Africa",0.00127702586043245,0.000400497410337084,5.64017256148804e-06,0.00815437088338434
"KL110","Eastern Africa",0.00743431528882942,0.00667547203380222,0.00176742215187403,0.0170874200286003
"KL110","Southern Africa",0.00510901945595754,0.00369949996441184,0.000411161670007294,0.0178356017131661
"KL110","Southern Asia",0.00533325566500829,0.00424958558648437,0.000612487361733728,0.0162729578086234
"KL110","Western Africa",0.00483824506156081,0.0027503201712192,0.00017091887258675,0.0217181693762293
"KL111","Eastern Africa",0.00671352015752564,0.0059311318887113,0.00139255002145856,0.0164858740246611
"KL111","Southern Africa",0.00192233557190034,0.00107185331089521,6.62186216197787e-05,0.00892980727075303
