"locus","mean","median","lower","upper","subgroup"
"KL10",0.0224150592007191,0.0219616708427691,0.0128597281887463,0.0345282618543995,"Global"
"KL102",0.0998741146876334,0.099574810194825,0.0793448721842822,0.122389526873442,"Global"
"KL104",0.00988351995888916,0.0093945074297929,0.00405152501176496,0.0184721070640137,"Global"
"KL105",0.00281189538579578,0.00236156828763526,0.000321499015405954,0.00780301480253505,"Global"
"KL106",0.00420691359416504,0.0037440888178718,0.000889628560770883,0.0101742151146433,"Global"
"KL108",0.0112701090521679,0.0107905656659823,0.00478012944364766,0.0203686601091436,"Global"
"KL109",0.00279373454764475,0.00233664328831932,0.000338372890747413,0.00774366266899412,"Global"
"KL11",0.00140574894196347,0.000984178809410903,3.8926273611459e-05,0.00499950150330605,"Global"
"KL110",0.00702649482835283,0.00655980876704122,0.00224023009576162,0.0144179835852068,"Global"
"KL111",0.00560107795590228,0.00515778254981811,0.00152283201211907,0.0121518957180656,"Global"
"KL112",0.0238864087552924,0.0234101040110692,0.0142370026415547,0.0361153198022354,"Global"
"KL116",0.00703151353006809,0.00661538484848642,0.00235248955749816,0.0140007423265716,"Global"
"KL117",0.00426095742022241,0.00379961981116577,0.000839055755239344,0.0102513488211872,"Global"
"KL118",0.00278762074574325,0.00232325387806306,0.00033111901390653,0.00781531880235038,"Global"
"KL12",0.00140691211702531,0.000963012145802279,3.85390638819754e-05,0.00510401028394159,"Global"
"KL122",0.0210393998701147,0.0205678637199693,0.0118584490692782,0.0329330035001131,"Global"
"KL123",0.00139130637431351,0.00097263040412489,3.7960029620271e-05,0.00512081326734971,"Global"
"KL124",0.00280619805952905,0.00236941107508714,0.000339730153447421,0.00780112913996483,"Global"
"KL125",0.00139764368272574,0.000981232485080677,3.60710208735762e-05,0.00510069524122607,"Global"
"KL127",0.00279179881966301,0.00231849831111855,0.000347788838747522,0.00785491549066103,"Global"
"KL128",0.0042016281433558,0.00376615010752691,0.000905854011357191,0.010147780162178,"Global"
"KL13",0.00560501705951388,0.00514594246670206,0.00157647305055384,0.012208667448551,"Global"
"KL131",0.00282184126747372,0.00238756844583014,0.000348829072920257,0.00775379373126612,"Global"
"KL134",0.00139666746943416,0.000971642171133558,3.35294628841516e-05,0.00499928416391778,"Global"
"KL136",0.00704128354199339,0.00658874895613372,0.00234288876548858,0.0143518410977276,"Global"
"KL137",0.00141743655239592,0.000986334283046157,3.46445604902991e-05,0.00522086409468915,"Global"
"KL139",0.00140155809771475,0.000972557479292168,3.52535404999452e-05,0.00518738264599951,"Global"
"KL14",0.00700197338589958,0.00656076449909541,0.00221689701051265,0.0143665471728043,"Global"
"KL140",0.00139769239990469,0.00098699944513312,3.627250678493e-05,0.00492239827877627,"Global"
"KL141",0.0027965529700825,0.00235774656529963,0.000340897735787791,0.00781595949185357,"Global"
"KL142",0.00421350330450064,0.00378448923439852,0.000883551567251363,0.0100120726788899,"Global"
"KL143",0.00142263045859588,0.000989545859172037,3.08918846153842e-05,0.00521539648514221,"Global"
"KL145",0.00140046252736121,0.000990330315102847,3.83603251069304e-05,0.00508490369624849,"Global"
"KL146",0.00140278001142892,0.000992442695889207,3.57055526397915e-05,0.0050751855862463,"Global"
"KL149",0.0210965864209558,0.0207460017196682,0.0120280125283447,0.0320926864922737,"Global"
"KL15",0.0577286860692772,0.0572480473603395,0.0420071791884331,0.0758301976593479,"Global"
"KL151",0.00696696359450997,0.00649207575473394,0.00228492591832515,0.0142139130883162,"Global"
"KL155",0.00279675045368801,0.0023254639441228,0.000329652129941133,0.0078479085678739,"Global"
"KL157",0.00138771821965862,0.000964435030466295,3.90591059000867e-05,0.00507842158654034,"Global"
"KL158",0.00139927803726992,0.000975079925000741,3.65310734008017e-05,0.00508934882110332,"Global"
"KL16",0.0168119540528836,0.0164501534182696,0.00882290346072416,0.027236518615737,"Global"
"KL163",0.00141011984253804,0.00098773332445355,3.94717035762602e-05,0.00511244641316812,"Global"
"KL169",0.00281833629071475,0.00236948229289321,0.000323067700783308,0.00786548077622668,"Global"
"KL17",0.0252803293005262,0.0248417797768746,0.015138392513602,0.0376823441102803,"Global"
"KL171",0.00138719958116053,0.000943626541114388,3.02481803501138e-05,0.00511169502716936,"Global"
"KL179",0.00139913055856981,0.000955884415102235,3.57030523851323e-05,0.00515628159591493,"Global"
"KL18",0.00700604535960773,0.00654106854616378,0.00230789414560971,0.0141189614062579,"Global"
"KL180",0.0027894758260496,0.00235475640369014,0.000330365706375234,0.00763494879404477,"Global"
"KL183",0.00138569889062238,0.000969098692460807,3.53301856617841e-05,0.00508441314375459,"Global"
"KL186",0.00140141193194513,0.000977523627893635,3.68351166629099e-05,0.0051717607112581,"Global"
"KL19",0.0140295000425411,0.0135958301834477,0.00670825053885224,0.0239725455439027,"Global"
"KL2",0.0984870138318936,0.098145771680978,0.0782285069294945,0.121048456260874,"Global"
