"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0223236247053404,0.0213679726019339,0.0100983805950097,0.0394858746089726
"KL10","Southern Africa",0.0136060850976878,0.0119482780741815,0.00252751803864293,0.0342103362328577
"KL10","Southern Asia",0.0325378224717878,0.0304996627365128,0.0113988598443081,0.0655692575168878
"KL10","Western Africa",0.019955416924085,0.0155585375267592,0.0021195392166446,0.0616908469661113
"KL102","Eastern Africa",0.109146001491913,0.108391283529818,0.0799243251682273,0.142377347231076
"KL102","Southern Africa",0.135222091693892,0.133790857588518,0.0865404828528914,0.1933077404109
"KL102","Southern Asia",0.0388258788516064,0.0368966676122264,0.0151716702740792,0.0733274432850021
"KL102","Western Africa",0.106751549230451,0.102539287845691,0.0433863184003768,0.196655226989695
"KL104","Eastern Africa",0.0127846596908752,0.0119146606665927,0.00417150862650383,0.026556679963705
"KL104","Southern Africa",0.00279375783742737,0.00168825177568486,0.000101065820606727,0.0116349709068232
"KL104","Southern Asia",0.011773503293944,0.00997093554713725,0.00185298684561579,0.031878673290169
"KL104","Western Africa",0.0053785840080091,0.00293355293777337,0.000171893619651628,0.0249198478275934
"KL105","Eastern Africa",0.00400144941500488,0.00321753818575253,0.000383941097191225,0.0120889980867872
"KL105","Southern Africa",0.0011859659817564,0.000506879908935137,1.44616913107783e-05,0.00667488849592205
"KL105","Southern Asia",0.00185053221632816,0.00091173641505286,2.89102631347438e-05,0.00915249075092165
"KL105","Western Africa",0.00211983623369203,0.000822798886595641,2.39877533402325e-05,0.0124094123077785
"KL106","Eastern Africa",0.00641729550931066,0.00559303590405398,0.00112311987093017,0.0164519141750794
"KL106","Southern Africa",0.0014483158113235,0.000712999716675832,2.66037251986251e-05,0.00733181166430098
"KL106","Southern Asia",0.00223118602640111,0.0012148752675401,4.84460301084499e-05,0.0102167203024384
"KL106","Western Africa",0.00270944485991055,0.00116445306699181,4.2431576834235e-05,0.0149349814158146
"KL108","Eastern Africa",0.0156707122265043,0.0147851184691376,0.00565833744122952,0.0304849374044993
"KL108","Southern Africa",0.00648268088291513,0.00484788103179319,0.000590402091647098,0.0215905847566725
"KL108","Southern Asia",0.00454260607352692,0.00317167356983378,0.000259491072606986,0.0166063515281927
"KL108","Western Africa",0.0138729482882328,0.00991784533170597,0.00101548084437768,0.0485673337243633
"KL109","Eastern Africa",0.00397563738706351,0.00318258996402115,0.000397129177207975,0.0121867724663962
"KL109","Southern Africa",0.00117493761182278,0.000510941792600845,1.72863780817656e-05,0.00652308891362355
"KL109","Southern Asia",0.00182395896960655,0.000900272357715925,3.5577205699398e-05,0.00908254247955459
"KL109","Western Africa",0.00215453284486024,0.000831193810575974,2.40852896349303e-05,0.0128120431145058
"KL11","Eastern Africa",0.000886516805459677,0.000436339317541623,9.11733410446014e-06,0.00445422122791636
"KL11","Southern Africa",0.000845110439900123,0.000295786567988152,5.13981853679845e-06,0.00504303634490944
"KL11","Southern Asia",0.00319193318517222,0.00179910021764803,5.27133031188915e-05,0.0143002314770023
"KL11","Western Africa",0.00151822622714579,0.00045852489825329,6.91845655124467e-06,0.00967985702340557
"KL110","Eastern Africa",0.00789694427179278,0.00708123360671345,0.00178978575316429,0.0188015405119678
"KL110","Southern Africa",0.00554477341354102,0.0039634754388822,0.000405399328459002,0.0192720603355845
"KL110","Southern Asia",0.00712751272818098,0.00546939178752917,0.000649013280856434,0.0230517590704974
"KL110","Western Africa",0.00515682907763495,0.00282891234159462,0.000147192199236832,0.0234838573054933
"KL111","Eastern Africa",0.00721775984346602,0.00641191176452049,0.0014675029426921,0.017633918990868
"KL111","Southern Africa",0.0020322620882884,0.00112823196461951,6.15175074165273e-05,0.00932607644320615
"KL111","Southern Asia",0.0059651136045738,0.00442289033882516,0.000444069573538561,0.0202952512005487
"KL111","Western Africa",0.00389638348787483,0.001937181576337,8.39573831272439e-05,0.0194792501381021
"KL112","Eastern Africa",0.0118550382597321,0.0109452509262473,0.00365606910193401,0.0249099290449838
"KL112","Southern Africa",0.00809523855434196,0.00646200152337726,0.000881552123569193,0.0244294374611814
"KL112","Southern Asia",0.0745538735919241,0.0725179589051357,0.0388188490250595,0.12093404624488
"KL112","Western Africa",0.00921209133588558,0.00593175459434688,0.000456922357510324,0.0365519184782731
"KL116","Eastern Africa",0.0021537529018583,0.00149734005433266,0.000131889982734834,0.00767938747845448
"KL116","Southern Africa",0.00248843374414758,0.00150056951781659,8.76970365282184e-05,0.0106053337382245
"KL116","Southern Asia",0.0036103514443883,0.00235023508405851,0.000163150098928138,0.0145873496811179
"KL116","Western Africa",0.0604601560983174,0.0553298120261352,0.0156959138144829,0.132370949593033
"KL117","Eastern Africa",0.00314606097591279,0.00243457885351722,0.000277073492366484,0.00997719361972362
"KL117","Southern Africa",0.00185991656762356,0.000989864145206622,4.50840732250094e-05,0.00881088969288701
"KL117","Southern Asia",0.00967966941409693,0.00777769835572986,0.00109518358950366,0.0290640951200571
"KL117","Western Africa",0.00352860688771044,0.00165248409820253,7.50367368608137e-05,0.018560404810029
"KL118","Eastern Africa",0.00395112233599522,0.00321791906489571,0.000395129000244111,0.0118643812199398
