"locus","mean","median","lower","upper","subgroup"
"KL10",0.0310758674988804,0.0306129389317004,0.0191892383105795,0.0455908915044901,"Global"
"KL102",0.0979742209851339,0.097481332769232,0.0768376729117058,0.121583009141026,"Global"
"KL104",0.0109039890014942,0.0103846398845602,0.00443490907828217,0.020146818140244,"Global"
"KL105",0.00461173326667976,0.004145043131961,0.000973779660177975,0.0107735677190709,"Global"
"KL106",0.00308209687542711,0.00259358619650054,0.000353168944311074,0.00851677857185575,"Global"
"KL108",0.00311966528554097,0.00262557890152655,0.000380295460372456,0.00863025020888517,"Global"
"KL109",0.0046499811985228,0.00411228907839561,0.000962147911991647,0.0111087716879694,"Global"
"KL11",0.00156062620119311,0.00108650597542944,4.02412912687433e-05,0.00577645027706235,"Global"
"KL110",0.00777453541205962,0.00724922581762974,0.00259101253371375,0.0159456329857527,"Global"
"KL111",0.006178246664283,0.00568487621640638,0.00169711583784076,0.013698312602999,"Global"
"KL112",0.0124075447271942,0.0118387280265926,0.00545117737648473,0.0224103973929175,"Global"
"KL114",0.00155796172618075,0.00106905275279546,3.86959038488958e-05,0.00571361549774217,"Global"
"KL117",0.00155630555171535,0.00107889208091281,3.75755745976958e-05,0.00570454462101585,"Global"
"KL118",0.00309818521126427,0.00259959406633446,0.000349869588570851,0.00857520657068256,"Global"
"KL122",0.0171406161277154,0.0166621747850261,0.00882328643915445,0.0284318109544679,"Global"
"KL123",0.00155130763166609,0.00109018785442374,3.94492353969303e-05,0.0056555548857026,"Global"
"KL124",0.00313632733499829,0.00262424855189923,0.00038840702300136,0.00874179422476522,"Global"
"KL125",0.00158198983635455,0.00110445370634289,3.98830301698735e-05,0.00582693840738435,"Global"
"KL127",0.00309106088834496,0.00260169626830027,0.000371407544477659,0.00861635558318745,"Global"
"KL128",0.00155575420696835,0.00106494548266545,4.2676011314022e-05,0.00580882463254151,"Global"
"KL13",0.00464795961669365,0.00414207819376095,0.000971779070811668,0.0111504221224607,"Global"
"KL131",0.00308335767489473,0.00257657268383531,0.000365605573198045,0.00862933893885568,"Global"
"KL134",0.00155542584265851,0.00108087563049806,3.86313383766925e-05,0.00575567095082205,"Global"
"KL136",0.00779639485212102,0.00728991958217541,0.00255480093064014,0.0159397604599424,"Global"
"KL139",0.00156138221791229,0.0011017834624634,3.95029275884012e-05,0.00566996040926205,"Global"
"KL14",0.00622871213644079,0.00572136108377144,0.00166478435816148,0.0135270849750854,"Global"
"KL140",0.00156873874354976,0.00108151374842463,3.97332628385824e-05,0.00578746294767667,"Global"
"KL141",0.00313172761251445,0.00264372275634178,0.00039465348710087,0.00866643203615112,"Global"
"KL142",0.0046796834803975,0.00415977119633198,0.000958289529150785,0.0113709504226451,"Global"
"KL143",0.001549656299834,0.00107827438854589,3.96421078540634e-05,0.00577778945228778,"Global"
