"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0253688469841505,0.0244853781376876,0.0116401145143233,0.044151173766059
"KL10","Southern Africa",0.0162055163618722,0.0141217713537971,0.00332202336190653,0.0410142684592623
"KL10","Southern Asia",0.0542133173610256,0.052284819297884,0.0254196617955605,0.094283443799273
"KL10","Western Africa",0.0446748403469727,0.0338178593751875,0.00415712834823322,0.149610739076492
"KL102","Eastern Africa",0.109875643017855,0.108960701536288,0.0793415298757034,0.145641513920261
"KL102","Southern Africa",0.145585366485739,0.144193611911197,0.0928864776471904,0.207320835672756
"KL102","Southern Asia",0.0314616452283356,0.029858099265309,0.0112212903718423,0.0616524564002632
"KL102","Western Africa",0.105756449914772,0.0939582080049453,0.0209111676433237,0.2585966998412
"KL104","Eastern Africa",0.0139573857105626,0.0130587512290991,0.00465402135849522,0.0283070869856078
"KL104","Southern Africa",0.00342030525745609,0.00221879772755075,0.00016158613430718,0.0136962467195308
"KL104","Southern Asia",0.0114342774891282,0.00974345235493127,0.00185884372862361,0.0306170087544742
"KL104","Western Africa",0.00837017479764128,0.0040404522622744,0.00020545839888775,0.0428181030907037
"KL105","Eastern Africa",0.00529158216944142,0.00452514848934417,0.000787871694053184,0.014246406874025
"KL105","Southern Africa",0.00209470108281139,0.00117780416401885,5.92081389998099e-05,0.00957619769841125
"KL105","Southern Asia",0.00540829050696665,0.00395149787138198,0.00040326954256351,0.0185934933543954
"KL105","Western Africa",0.00461806996719359,0.00185331774843173,7.29420903239446e-05,0.0262216003014494
"KL106","Eastern Africa",0.00435182695428252,0.0035036569404336,0.000414775449952084,0.013092595011953
"KL106","Southern Africa",0.00140137128865931,0.000670164005308549,2.27590070958586e-05,0.00734690645876602
"KL106","Southern Asia",0.00197897004882676,0.00105346740494352,4.446935462943e-05,0.0091889005011216
"KL106","Western Africa",0.00278323881843069,0.000939614243666731,2.90285197703723e-05,0.0169783798755862
"KL108","Eastern Africa",0.00311458235910844,0.00237281058471171,0.000232459299694896,0.0102955763361635
"KL108","Southern Africa",0.00378817403064678,0.00237801847577775,0.000154820011812372,0.0154350422727958
"KL108","Southern Asia",0.00248740047174193,0.00144037153213238,7.61394665845417e-05,0.0108244198622204
"KL108","Western Africa",0.00370212243739849,0.00134373657250999,4.58644385569094e-05,0.0226178443204368
"KL109","Eastern Africa",0.00534183595006178,0.00445840048691513,0.000782756295463835,0.0147338224625731
"KL109","Southern Africa",0.00213376065362419,0.00119182697467595,6.36228646491354e-05,0.00962779996181321
"KL109","Southern Asia",0.00543086766200141,0.00396437138082213,0.000411656277069272,0.0185260361872997
"KL109","Western Africa",0.00456623518858672,0.00187456055975751,8.32130075495285e-05,0.0264432479046837
"KL11","Eastern Africa",0.00104207098233384,0.000538058565723956,1.2180987557436e-05,0.00500878464809303
"KL11","Southern Africa",0.000983879939113353,0.000376428727206334,5.80760451161086e-06,0.00562710290654044
"KL11","Southern Asia",0.00309648849855318,0.00180943590496096,5.14774510925035e-05,0.0134492752805736
"KL11","Western Africa",0.00179576263757296,0.000499837599618158,7.19546455546363e-06,0.0119105612717862
"KL110","Eastern Africa",0.00878455443541829,0.00786724492821076,0.00205734271399773,0.020494460634102
"KL110","Southern Africa",0.00610796991451583,0.00455695542239884,0.000507833164237791,0.0204545870086446
"KL110","Southern Asia",0.00716174953288568,0.00567598301675875,0.000801413920579002,0.0221458319807928
"KL110","Western Africa",0.00774054271724366,0.00369105120711072,0.000200505767731099,0.0404171082669376
"KL111","Eastern Africa",0.00789031748172222,0.0069845734520076,0.00170058035800852,0.0191875800502644
"KL111","Southern Africa",0.00246445637163252,0.00142386658470182,8.56468715984765e-05,0.0107448841751556
"KL111","Southern Asia",0.00599114211069517,0.0045739740293227,0.000534400166342485,0.019316912255295
"KL111","Western Africa",0.0053727420730973,0.00233950138018846,0.000100475509942516,0.0296669425230886
"KL112","Eastern Africa",0.00975534475117771,0.00887027841852043,0.00267736426152212,0.0219237139435696
"KL112","Southern Africa",0.00755158464584139,0.0059149701560934,0.000772055297303888,0.0240347051273725
"KL112","Southern Asia",0.0222045176228923,0.0203904616936308,0.00628640946034063,0.0487342824758918
"KL112","Western Africa",0.0109212023832964,0.00578587804318863,0.000343944573675989,0.052820150050297
"KL114","Eastern Africa",0.00106136849059771,0.000539281404435161,1.24609923765212e-05,0.00524099761316642
"KL114","Southern Africa",0.000982444171595309,0.000369625366514895,6.03978930877136e-06,0.00576213049250276
"KL114","Southern Asia",0.00304439398722064,0.00177182435442871,4.65638699985852e-05,0.0131467170275284
"KL114","Western Africa",0.00182583033539526,0.000500191994330841,7.3291560095154e-06,0.0120353369133794
"KL117","Eastern Africa",0.00194268690223362,0.00121605823348625,3.71332693919799e-05,0.00790031952800356
"KL117","Southern Africa",0.00089436698687193,0.000319005273358693,4.99227492862395e-06,0.0053544233251687
"KL117","Southern Asia",0.0013265612230621,0.000550829407974267,9.73039334267729e-06,0.00733839037584408
"KL117","Western Africa",0.0016987674033787,0.000428467036628079,5.27005504948745e-06,0.0117433647344067
"KL118","Eastern Africa",0.00436612802155814,0.00346322781355533,0.000421650052359381,0.0132169416768035
"KL118","Southern Africa",0.00141778381852818,0.000668471787029279,2.24459780670691e-05,0.00743161226303028
"KL118","Southern Asia",0.00199243993094349,0.00106109209326588,4.40362510239957e-05,0.00925951904277893
"KL118","Western Africa",0.00285569929806111,0.000944780622376507,2.4593090237846e-05,0.018566903036641
"KL122","Eastern Africa",0.0212062878988317,0.02034091927581,0.0091531078972871,0.0389829502593495
"KL122","Southern Africa",0.00888700295157694,0.00720981021684734,0.00116443578710581,0.0259640542623511
"KL122","Southern Asia",0.0143865108418664,0.0126588961567444,0.00311273331731193,0.0356209227671986
"KL122","Western Africa",0.0323426401314812,0.0225013343159688,0.00217602457132486,0.119239407033825
"KL123","Eastern Africa",0.00194238322994028,0.00124791085867684,3.86601117486137e-05,0.00775381715598296
"KL123","Southern Africa",0.000892406267356453,0.000325893169488386,5.08248872207367e-06,0.00533813506436318
"KL123","Southern Asia",0.0013182361849946,0.000572069629245851,9.558824685436e-06,0.00732538427231987
"KL123","Western Africa",0.00160995471818472,0.000428713275438549,6.359122370657e-06,0.0107722947479143
"KL124","Eastern Africa",0.00159219332403609,0.00101280017079952,5.89540024744152e-05,0.00653030782946432
"KL124","Southern Africa",0.00156827126012274,0.000774937139364332,3.13868853059487e-05,0.00799967399536829
"KL124","Southern Asia",0.00764522386858869,0.00595576202669897,0.000660233205203914,0.0239419177656314
"KL124","Western Africa",0.00322269031252049,0.00116386745358218,3.6549962950489e-05,0.0199401702307962
"KL125","Eastern Africa",0.00115036931779358,0.000607262116421848,1.42106577218516e-05,0.00551239457099403
"KL125","Southern Africa",0.00255285050427364,0.00134141557868135,3.28266855272092e-05,0.0123390362995504
"KL125","Southern Asia",0.00156537402460699,0.000728485404277237,1.45117071964947e-05,0.00792185943582126
"KL125","Western Africa",0.0021025078721364,0.000583414687829319,9.03403104235152e-06,0.0141752896753532
"KL127","Eastern Africa",0.00331729040952013,0.00251244323587692,0.00026040053682923,0.0109387217244951
"KL127","Southern Africa",0.00197000659363021,0.00104547910510826,4.84205429194642e-05,0.00931407598977907
"KL127","Southern Asia",0.00268447977529203,0.00164289098332323,9.34147989292945e-05,0.0112392922161783
"KL127","Western Africa",0.0117323827489061,0.00562116749719537,0.000245460954364326,0.0600137048727362
"KL128","Eastern Africa",0.00104880057027079,0.000542766808074242,1.16088562941277e-05,0.00507639566073532
"KL128","Southern Africa",0.000979902323608866,0.000365729176597386,5.73126447019254e-06,0.00581052214751122
"KL128","Southern Asia",0.00306201146646708,0.00174320762214379,4.99249091764437e-05,0.0133415198839369
"KL128","Western Africa",0.00183905358739617,0.00049419456164325,6.97764781378768e-06,0.0124348598892926
"KL13","Eastern Africa",0.00548132039246167,0.0045464098082843,0.00084079767639453,0.015061255100466
"KL13","Southern Africa",0.00460830430848486,0.00315712200839073,0.000266916285479707,0.0173472224360256
"KL13","Southern Asia",0.00296806415771415,0.00188631242031226,0.000124257386805963,0.0118030640861393
"KL13","Western Africa",0.00475304124031696,0.00198255005930299,8.35782645139885e-05,0.0264002171806024
"KL131","Eastern Africa",0.00156829212528597,0.000985006745513832,5.74320312737451e-05,0.00632789553605812
"KL131","Southern Africa",0.00156272554458487,0.000772406092286491,3.03615300416672e-05,0.00785402998106026
"KL131","Southern Asia",0.00749775519111903,0.00591072128533974,0.000675265592725385,0.0233355112086369
"KL131","Western Africa",0.00311222227720341,0.00109676129323563,3.72531788935596e-05,0.0189862364334715
"KL134","Eastern Africa",0.00194872939797779,0.00124536503238947,4.02371284508352e-05,0.00778024349888302
"KL134","Southern Africa",0.000902940025584743,0.000318368965559075,5.23395957574742e-06,0.00542631652895782
"KL134","Southern Asia",0.00131435880943555,0.00056848392742195,9.33292548780195e-06,0.00692303793827923
"KL134","Western Africa",0.00159401356615966,0.000429769396849651,5.79854383408289e-06,0.0107446835614074
"KL136","Eastern Africa",0.0026589483054091,0.00193965359175341,0.000198237191787041,0.0092485307291674
"KL136","Southern Africa",0.00594966968488601,0.00433751296367399,0.000453676641033127,0.0206264799729077
"KL136","Southern Asia",0.0199719115413459,0.0181426047818323,0.0052465914979744,0.0452527938180395
"KL136","Western Africa",0.0071232859547377,0.003413023313133,0.000179458687117194,0.0373228042762386
"KL139","Eastern Africa",0.00197184711229729,0.00124507422772027,3.75145739351919e-05,0.00794336083559067
"KL139","Southern Africa",0.000882282121331903,0.000320774195517669,5.60838327285682e-06,0.00514549646762386
"KL139","Southern Asia",0.00130614545918103,0.000554198163133995,9.38152117146655e-06,0.00708158065850004
"KL139","Western Africa",0.00162083953307587,0.000432696951080387,5.56525628980513e-06,0.0108053655531146
"KL14","Eastern Africa",0.00797979866274949,0.00705503555304757,0.00173116594911078,0.0195000093004858
