"locus","mean","median","lower","upper","subgroup"
"KL10",0.0267744043423389,0.0263326799084514,0.0162423173154002,0.0400064313823668,"Global"
"KL102",0.0849670070448609,0.0845823651496881,0.0655408748678544,0.106594772902163,"Global"
"KL104",0.0104454498716623,0.00994025677457867,0.00434723882161125,0.0193979611932641,"Global"
"KL105",0.0044686591506561,0.00396960249342085,0.000927468964790387,0.0107573383641113,"Global"
"KL106",0.00446073852988232,0.00401537183485233,0.000963556532955219,0.0105846965894937,"Global"
"KL108",0.0118725015050715,0.0113956610354825,0.00523797214648956,0.0212762039085078,"Global"
"KL109",0.00446306932885549,0.00400172040079233,0.000980890709163853,0.010463688742272,"Global"
"KL11",0.00148781118868313,0.0010404088567192,3.55370860389423e-05,0.005482269545929,"Global"
"KL110",0.0059486870535371,0.00549335525952575,0.00167033205298925,0.0128389985206786,"Global"
"KL111",0.00596143794367313,0.00547687780982976,0.00166284851410691,0.0130800587351176,"Global"
"KL112",0.0267764722020259,0.0263439703565414,0.0162193907468206,0.0397362354803312,"Global"
"KL114",0.00147206732521788,0.0010031035852288,3.53443372915516e-05,0.00545627498061577,"Global"
"KL116",0.00742742544637198,0.00697567951344268,0.00248990839582873,0.0150208191216354,"Global"
"KL117",0.00448088052472045,0.00401986150180862,0.000932383147779483,0.0104890351967897,"Global"
"KL118",0.0029870779427779,0.00250170367580879,0.000349580630860787,0.00836079136876411,"Global"
"KL12",0.00150893089638507,0.00103771141838335,3.22897697320949e-05,0.00555614098130806,"Global"
"KL122",0.0208698774554954,0.0204009259155903,0.0114683758447248,0.0332518200775675,"Global"
"KL123",0.00145797785699852,0.00102003776029801,3.66256368655215e-05,0.00542152021284906,"Global"
"KL124",0.00294433754952639,0.00247715456687102,0.000368954036030514,0.0080380531290591,"Global"
"KL127",0.00298999323149714,0.00252755426741595,0.00035968339728631,0.00837933338897448,"Global"
"KL128",0.00450605683633863,0.00403510736191072,0.000943780077825109,0.0107416148164385,"Global"
"KL13",0.00597242715697086,0.00550097049686629,0.00165239778995166,0.012871407882823,"Global"
"KL131",0.00299224067737842,0.00250704990783916,0.000351013440319192,0.00850277917737821,"Global"
"KL134",0.00148182874179468,0.0010165633688702,3.80921661322631e-05,0.00552497429798102,"Global"
"KL136",0.00897824061286219,0.0085728501391121,0.0033053369329823,0.0174374349112002,"Global"
"KL137",0.00150296824044789,0.00103153184090019,3.54438002329453e-05,0.00556656113513968,"Global"
"KL139",0.00150187201019518,0.0010489489108877,3.78235110633609e-05,0.00552352201246033,"Global"
"KL14",0.00896523320840766,0.00846653745671427,0.00346051588609152,0.0172660675905124,"Global"
"KL140",0.0014924612219606,0.00104138527663433,3.76955629782361e-05,0.00551054017634732,"Global"
"KL141",0.00297779233373369,0.00250203751746176,0.000376412366437395,0.00825373291467975,"Global"
"KL142",0.00445778817260944,0.00393703467877783,0.000916961077099009,0.0106317672892017,"Global"
"KL143",0.00148612122650186,0.0010226307273737,3.48930864507212e-05,0.00550178726307234,"Global"
"KL144",0.001498280513957,0.00102208021277353,3.42549650959826e-05,0.00560575424697426,"Global"
"KL145",0.00149304912830888,0.00103038953087023,3.60435570984616e-05,0.00549138731118393,"Global"
"KL146",0.00148662956457086,0.00102739420285761,4.05923114601556e-05,0.00541396140830685,"Global"
"KL149",0.00902894085357885,0.00860480560973673,0.00337521395986167,0.0171141443103369,"Global"
"KL15",0.0625874469474182,0.0622568791093783,0.0460171575021648,0.0816395296837017,"Global"
"KL151",0.00298322402362081,0.00252200050374534,0.000369794191979529,0.00827157341961732,"Global"
"KL155",0.00447102564233582,0.00402381308179978,0.000944267816645209,0.010706007906582,"Global"
"KL157",0.00147593630604165,0.00101739598658128,3.80288961049314e-05,0.00547682506264054,"Global"
"KL16",0.0163943173616318,0.0159981879899155,0.0082455565469825,0.0269515840874253,"Global"
"KL163",0.00151832344144321,0.00105128642482206,3.82935678329472e-05,0.0056363009540917,"Global"
"KL169",0.00299627389531475,0.00250484374948535,0.000339457150336859,0.0084191344172286,"Global"
"KL17",0.0268758372191787,0.0263495631793437,0.0160793046437557,0.040227255851464,"Global"
"KL171",0.00147196739865609,0.00102553912750812,3.95268753339434e-05,0.00552523280377843,"Global"
"KL179",0.00150500391283152,0.00105487286460394,3.99413618902581e-05,0.00548545190563932,"Global"
"KL18",0.00746323029288681,0.00698193898648643,0.00241360422767886,0.0153776578261688,"Global"
"KL180",0.00296203117351077,0.0025074383423992,0.000356225309149901,0.00819973787278023,"Global"
"KL183",0.00149312957606311,0.00102873322613837,3.73822458633904e-05,0.00545711690706133,"Global"
"KL186",0.0014926069605015,0.00103240243168739,3.54081733598995e-05,0.00545113604585188,"Global"
"KL19",0.016397027028832,0.0159182789460091,0.00822928072470252,0.0274711991513012,"Global"
"KL2",0.093915588973325,0.093663913020547,0.0733913934401156,0.116437407227237,"Global"
"KL20",0.00450834313631988,0.00402953371608472,0.000935298198866363,0.0107916271071593,"Global"
"KL21",0.00298356825467507,0.00251209951590457,0.000366400614327555,0.00833328118062243,"Global"
"KL22",0.0014924510130077,0.0010245443919803,3.9252936579557e-05,0.00555064962125333,"Global"
"KL23",0.028334358433852,0.0278286106605728,0.0172877354207885,0.0424627797143904,"Global"
"KL24",0.0179925580920117,0.017550494547193,0.00937895107291017,0.0291702168564147,"Global"
"KL25",0.0685429213037152,0.0680855192197895,0.0506392020688225,0.0891222915680827,"Global"
"KL27",0.00596134028366114,0.00551027383359309,0.00162214696338773,0.0131220933121177,"Global"
"KL28",0.0134478413669106,0.0129926808440256,0.00615161614793335,0.0233899080457287,"Global"
"KL3",0.0208900085370449,0.0203348591391493,0.0115549564558639,0.0330454199094094,"Global"
"KL30",0.0342832559633677,0.033859392970171,0.0221243387911812,0.0489709188534438,"Global"
"KL31",0.00299487822723716,0.0025054528823202,0.000333006191702588,0.00829754602373439,"Global"
"KL34",0.00299169321886309,0.0025180470146059,0.000372710215813715,0.00825403033497381,"Global"
"KL35",0.00593336939501464,0.0054725510308251,0.00164529418247828,0.0128766671982988,"Global"
"KL36",0.00598840685691332,0.0055139469655846,0.00161110489438653,0.013188357151602,"Global"
"KL38",0.0133620124998714,0.0128903340090763,0.00609993665032002,0.0234790035390079,"Global"
"KL39",0.0178877302578905,0.0174487298763131,0.00920805139983037,0.0291299921407644,"Global"
"KL43",0.0059829194847193,0.00549292313243085,0.00164141722179674,0.0129242011063116,"Global"
"KL45",0.00149371078310427,0.00103321559469588,3.45762547963353e-05,0.0055498808648201,"Global"
"KL46",0.00298991496278,0.0025136660445173,0.000366869414462288,0.0083304929348782,"Global"
"KL47",0.0044884520575821,0.00402404911008228,0.000959381493153702,0.0107142178981349,"Global"
"KL48",0.0178715165275025,0.0173578532578147,0.00931669544255801,0.0290380489354779,"Global"
"KL49",0.00443812774687373,0.00395827028639394,0.000926720466064692,0.0105930596921836,"Global"
"KL51",0.022335632313727,0.0219451206281867,0.0126007100459491,0.0344903145990704,"Global"
"KL52",0.0104290250596929,0.00989755167555989,0.00404010738419117,0.0196998253413378,"Global"
"KL53",0.00594120096074283,0.00548689637241945,0.00167503052098469,0.0126534876958432,"Global"
"KL54",0.0118286508690012,0.0113532498911181,0.00509805568398229,0.0211930224219527,"Global"
