"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0221295458659737,0.0211398729507129,0.00989038773684075,0.0392756436816834
"KL10","Southern Africa",0.00781279567368412,0.00509855740639413,0.00040157337576738,0.030321956806175
"KL10","Southern Asia",0.0439254058263055,0.0424850990843738,0.0204165412950806,0.0756857546114786
"KL10","Western Africa",0.0185763680049417,0.0145522835329383,0.0018170875333155,0.0578188816561088
"KL102","Eastern Africa",0.108431222013549,0.107784656614656,0.0786492297912245,0.140860019840764
"KL102","Southern Africa",0.102570179052569,0.0991586121866578,0.0428126927799225,0.182481999959415
"KL102","Southern Asia",0.0302229394605979,0.02871493806196,0.0116254897094144,0.0569343285220198
"KL102","Western Africa",0.104849864209652,0.100719456637509,0.0421614356720715,0.193281511344039
"KL104","Eastern Africa",0.0127175888775696,0.0118632454222704,0.00424524046185572,0.0261420989992043
"KL104","Southern Africa",0.00422649238399779,0.00226393129076485,0.00011990712009394,0.0195463646083071
"KL104","Southern Asia",0.00972513236567349,0.00838426822506568,0.00159964374404999,0.0257694925715498
"KL104","Western Africa",0.00543325189452601,0.00303980343954031,0.0001671523896625,0.0245524366985715
"KL105","Eastern Africa",0.00480665016717973,0.00407147784397704,0.000691578146632508,0.0134502057116259
"KL105","Southern Africa",0.00251937919789565,0.00115845330184516,4.29738607029616e-05,0.0132823792008017
"KL105","Southern Asia",0.00479053279053955,0.0035618939393261,0.000353645689221034,0.016187615973012
"KL105","Western Africa",0.00340156182199833,0.00157465538495209,6.61088842123572e-05,0.018306839307501
"KL106","Eastern Africa",0.00644644156238077,0.00565463662194639,0.00121770753543378,0.0162667998163868
"KL106","Southern Africa",0.00213634345079496,0.00086724629214259,2.61415746049661e-05,0.0124429392849708
"KL106","Southern Asia",0.0020417086916891,0.00118428251870642,5.46159119858858e-05,0.008873612455801
"KL106","Western Africa",0.00277294558509385,0.00120715743720035,3.79565150552736e-05,0.0149902440017399
"KL108","Eastern Africa",0.0157663879517899,0.0148702061711407,0.00601785970332364,0.0303458717106949
"KL108","Southern Africa",0.0113731526239008,0.00807538567171669,0.000872307686353865,0.041224969468981
"KL108","Southern Asia",0.00414089143835167,0.0029897216284489,0.000299148195377709,0.0146403778052761
"KL108","Western Africa",0.0143793984762236,0.0105192090279383,0.00111633650093077,0.0503998354974295
"KL109","Eastern Africa",0.00482044745779562,0.00399852280281282,0.000700515151466451,0.0133048632860183
"KL109","Southern Africa",0.00253805087845043,0.00117067350048252,4.7470959459784e-05,0.0135878227316548
"KL109","Southern Asia",0.00475159303612283,0.00351125427056989,0.000335373111942059,0.0163173075406258
"KL109","Western Africa",0.00335918226440989,0.00157536087272004,6.5163457616201e-05,0.0169187850713544
"KL11","Eastern Africa",0.000871486355352782,0.000420979892033837,8.31436773857905e-06,0.00428500983362806
"KL11","Southern Africa",0.00109520203137251,0.000328714633291645,4.23818711161514e-06,0.00715364804194477
"KL11","Southern Asia",0.00276319603796916,0.0016666480819078,4.37943327148855e-05,0.0115691969291083
"KL11","Western Africa",0.00145774965484054,0.000442489572214247,6.11227390026427e-06,0.00936841760980083
"KL110","Eastern Africa",0.00721686430272265,0.00641138398248278,0.00153916658580905,0.0174734926765898
"KL110","Southern Africa",0.00299313423546082,0.00146070102259405,6.6500375686692e-05,0.0153964975932017
"KL110","Southern Asia",0.00515332410272421,0.00393936353898093,0.000442557349690699,0.0166059896340737
"KL110","Western Africa",0.00393865682819446,0.00201096438844801,9.15309768765841e-05,0.0196564825861979
"KL111","Eastern Africa",0.00721653721185724,0.00636398456270821,0.00149969879982871,0.0175108516836285
"KL111","Southern Africa",0.00298740081015578,0.00144376835657635,6.52503946090251e-05,0.0151106718101119
"KL111","Southern Asia",0.00520388825205915,0.004010003021782,0.000452408741685475,0.0166290853960019
"KL111","Western Africa",0.00392466482927877,0.00200098861085317,9.13188144646674e-05,0.0194511052952148
"KL112","Eastern Africa",0.011968614582012,0.0110924946796103,0.00387826054891107,0.024614984919384
"KL112","Southern Africa",0.014877449965248,0.0113140381240622,0.00139375777826101,0.0481017662428655
"KL112","Southern Asia",0.0629114197578422,0.0612687596279583,0.0343157168491194,0.0999704047776052
"KL112","Western Africa",0.00955048357094187,0.00631058893122423,0.000506343674953112,0.0360973840652685
"KL114","Eastern Africa",0.000863634337729401,0.000408323452818773,7.90117760799762e-06,0.00433871281627647
"KL114","Southern Africa",0.00106124393076943,0.000317536130573716,4.36743649315629e-06,0.00699976887347535
"KL114","Southern Asia",0.00273149661506537,0.00161414366816495,4.20781107581848e-05,0.0115559639854643
"KL114","Western Africa",0.00146811140767533,0.000443334280214599,5.9530884838436e-06,0.00941026389715107
"KL116","Eastern Africa",0.00219630214354589,0.00158669871326513,0.000137899272947946,0.00779790177666983
"KL116","Southern Africa",0.00392807917058182,0.00205293072487059,9.54326948036522e-05,0.0193031919583407
"KL116","Southern Asia",0.00331520496807207,0.00224860732617882,0.000166713427263523,0.0124594112832099
"KL116","Western Africa",0.0600541722982355,0.0548567150613413,0.0157680686504511,0.132074192981135
"KL117","Eastern Africa",0.00308165257048195,0.00234989494267338,0.000280260362253712,0.00994429477734645
"KL117","Southern Africa",0.00259790775127163,0.00120609450968,4.7209842328925e-05,0.0137380241217339
"KL117","Southern Asia",0.00798459503541543,0.00659917541798671,0.00102399555301127,0.0226511904047374
"KL117","Western Africa",0.00342112143459832,0.00163743881077287,7.49342881084576e-05,0.0177067022640362
"KL118","Eastern Africa",0.0040401451629497,0.00324196825387616,0.000392692782803815,0.0126425385122556
"KL118","Southern Africa",0.00160053861419693,0.000616342910662703,1.6580397021827e-05,0.00941570386894699
"KL118","Southern Asia",0.00171976150465879,0.000891176358966261,3.2612894018911e-05,0.0083461361415927
"KL118","Western Africa",0.00221616596464675,0.000860689528362923,2.22581908104176e-05,0.0124901811283484
"KL12","Eastern Africa",0.00102953360964049,0.000533738869669199,9.02188882892791e-06,0.00493775230189491
"KL12","Southern Africa",0.00402590327603561,0.00176370270106275,3.14368843866369e-05,0.0215898381763502
"KL12","Southern Asia",0.00147550015781453,0.000681164302792149,1.30881365918106e-05,0.00743489556532211
"KL12","Western Africa",0.00181845016255978,0.000608318042767384,9.16300653929548e-06,0.0110148153017441
"KL122","Eastern Africa",0.0223123726348397,0.0214172219474625,0.00979458843374835,0.0400051908495982
"KL122","Southern Africa",0.0159905303051207,0.0123513689510698,0.00153094971905203,0.0513203309053421
"KL122","Southern Asia",0.0169101736761113,0.0152990756523617,0.00445682669460714,0.0385752975666967
"KL122","Western Africa",0.0311252861213001,0.0267740398059001,0.00493937636337684,0.0834177686612659
"KL123","Eastern Africa",0.00173940251035297,0.00108887887093118,3.12731227504399e-05,0.00701160558249483
"KL123","Southern Africa",0.00101078824785178,0.000283456174879693,3.11721647683816e-06,0.00662073569849565
"KL123","Southern Asia",0.00111468710898043,0.000478970137564819,6.82286736082622e-06,0.00613815003405002
"KL123","Western Africa",0.00135740538790771,0.000396229842053655,4.68304666592266e-06,0.00888262952637507
"KL124","Eastern Africa",0.00126570189157875,0.000747742566457837,3.48098263330744e-05,0.0053710268852901
"KL124","Southern Africa",0.00177090947743042,0.000698295765777965,2.09519372147298e-05,0.00997363155744732
"KL124","Southern Asia",0.0066093452317827,0.00522742396632258,0.000606477068526108,0.0201539846166361
"KL124","Western Africa",0.0023086915822841,0.000958177084973861,2.93996692062645e-05,0.0128617489584265
"KL127","Eastern Africa",0.00284988487070186,0.00211669614693069,0.000204611306198645,0.00957282151175517
"KL127","Southern Africa",0.00227932918044555,0.00096848324340966,3.3760472521174e-05,0.0124986444092773
"KL127","Southern Asia",0.00218375753957819,0.00130334876554657,6.86441422599701e-05,0.0093525465680841
"KL127","Western Africa",0.00757273898902956,0.00446023095323974,0.000240206498941412,0.0330930274235018
"KL128","Eastern Africa",0.00153602886146445,0.000969141846160839,5.85197048687665e-05,0.00624846643488528
"KL128","Southern Africa",0.00230342720498613,0.000987442186310898,3.12087557346297e-05,0.0125663920534624
"KL128","Southern Asia",0.0111135743614805,0.00958839393336501,0.00193075544751601,0.0292106325119563
"KL128","Western Africa",0.00309478250059304,0.00135683520375052,4.78295008957019e-05,0.0165067661040476
"KL13","Eastern Africa",0.00584373811976737,0.00508567586497754,0.00105051509814465,0.0151826601591901
"KL13","Southern Africa",0.00936051772879137,0.00629199967308025,0.000537898672986763,0.036678934926369
"KL13","Southern Asia",0.00343731268773704,0.00238689667609555,0.000197961857856103,0.0128094949131646
"KL13","Western Africa",0.0118096105343108,0.00814284076785006,0.000772336976676758,0.0436788890106212
"KL131","Eastern Africa",0.0012772327094013,0.000747185409117563,3.19155834912755e-05,0.00560977072889895
"KL131","Southern Africa",0.00185154890855575,0.000732413334118944,1.97308969897877e-05,0.0111607916949598
"KL131","Southern Asia",0.00670019300695018,0.00521532445272432,0.000564971624390256,0.0217743037086083
"KL131","Western Africa",0.00240377474653365,0.000951438301497072,2.70618448265535e-05,0.0136575378418042
"KL134","Eastern Africa",0.00175831221719196,0.00108198837668519,3.41937510320376e-05,0.0071411285086574
"KL134","Southern Africa",0.00104748278804649,0.000298460533699416,3.58063907628594e-06,0.00698276908361298
"KL134","Southern Asia",0.00115600395464095,0.000486210149123811,7.83265232710897e-06,0.0062323292297116
"KL134","Western Africa",0.00133686629734887,0.000414462156733412,4.96686758280833e-06,0.00866910805387189
"KL136","Eastern Africa",0.0019653819326007,0.00131174726420628,8.67419828540703e-05,0.00745334070104327
"KL136","Southern Africa",0.00311869450855897,0.0015310563333846,6.49361820906911e-05,0.0159188390609832
