"locus","mean","median","lower","upper","subgroup"
"KL10",0.0268551263169422,0.0264655765540226,0.0164795656538827,0.0395403991268765,"Global"
"KL102",0.0952012211520446,0.0947686572921769,0.0751295170562633,0.117243018344824,"Global"
"KL104",0.00936520594709295,0.00894728122098534,0.00385791769997594,0.0172016104404711,"Global"
"KL105",0.00401311446115361,0.00358299612103897,0.000898842713319263,0.00955971056163827,"Global"
"KL106",0.00402999186809212,0.00361807358410676,0.000842292825497666,0.0096943348673728,"Global"
"KL108",0.010738549244267,0.0102637953372224,0.00466924369157759,0.0193138263187492,"Global"
"KL109",0.0040196661290622,0.00357856966122804,0.000793531498790949,0.00972150342673328,"Global"
"KL11",0.0013495447549774,0.000935932831149539,3.48589854409122e-05,0.00495140497653038,"Global"
"KL110",0.00667152002632836,0.00623571886760285,0.00216482177109307,0.0134912849412367,"Global"
"KL111",0.00535113477982894,0.00488848395571412,0.00147567363535355,0.0118268844565057,"Global"
"KL112",0.02404997873411,0.0236313699886483,0.0142801453316263,0.0359609975935638,"Global"
"KL114",0.00132699668641816,0.000923951599593203,3.47354842703926e-05,0.00488806762257453,"Global"
"KL116",0.00670541868046181,0.00629957957918162,0.00222508028319842,0.0133881394462484,"Global"
"KL117",0.00402727444642463,0.003598383403022,0.000840767217997702,0.00961629067358124,"Global"
"KL118",0.00271091366167641,0.00228573854738412,0.000302275842335511,0.00756975266204975,"Global"
"KL12",0.00133955474324987,0.000933678979136825,3.4121144165671e-05,0.00496264057966455,"Global"
"KL122",0.0202131926770903,0.0197448850918686,0.0114058161415786,0.0315765084034804,"Global"
"KL123",0.0013344461025498,0.000918284590937566,3.14001920606237e-05,0.00488947969355472,"Global"
"KL124",0.00269916136852274,0.00226280523958454,0.000329951661138964,0.00764168661155928,"Global"
"KL125",0.00133334004106072,0.000929198855335164,3.38217767488948e-05,0.0049475520519982,"Global"
"KL127",0.0026875892789613,0.00226232313109004,0.000350985935855773,0.00745161915917343,"Global"
"KL128",0.00398413768043621,0.00355263226130888,0.000832020029906918,0.00959801061321284,"Global"
"KL13",0.00401257344997922,0.0035737366373753,0.000829749699656975,0.00956244266814795,"Global"
"KL131",0.00267296650477199,0.0022177755039841,0.000326704711590617,0.00755307385555861,"Global"
"KL134",0.00132173043195609,0.000938946196264692,3.36851703052141e-05,0.00482352501178212,"Global"
"KL136",0.00938479127598671,0.00893021028400487,0.00383624463948202,0.0174193417231468,"Global"
"KL137",0.00135457439078116,0.00094351321770065,3.68874669868855e-05,0.00500946789853965,"Global"
"KL139",0.00133571071533895,0.00090840756944337,2.79134365457307e-05,0.00493381609103877,"Global"
"KL14",0.00805894331841796,0.00758101551376541,0.0028831273741262,0.0156745631393504,"Global"
"KL140",0.00134689464511997,0.000918596708592286,3.29516295324815e-05,0.00505805112954532,"Global"
"KL141",0.00267634510704511,0.00222560450790171,0.000330778633876806,0.00734460268472667,"Global"
"KL142",0.00403322669687593,0.00362989787224891,0.000865210381914235,0.00952706951565869,"Global"
"KL143",0.00132743759632188,0.00091952328586785,3.80700041591706e-05,0.00495600446883565,"Global"
"KL144",0.00136126132592325,0.000938071649419155,3.45342424077845e-05,0.00504153592500512,"Global"
"KL145",0.00133246539245222,0.000923561331554292,3.06922584924091e-05,0.00497295763735876,"Global"
"KL146",0.00270764735599767,0.00227938187332637,0.000349277852179731,0.00751794626207291,"Global"
"KL149",0.0200966949626064,0.0196958583134958,0.0116621862954583,0.0307588404046427,"Global"
"KL15",0.0576250109474446,0.0572212833392129,0.0420676250848497,0.075269392047254,"Global"
"KL151",0.00664783203062955,0.00620159379932859,0.00217776263990981,0.0136357247979797,"Global"
"KL155",0.00402881257202101,0.00359368573924321,0.000835537568893754,0.00965319724835667,"Global"
"KL157",0.00133477655416941,0.000918143575817081,3.40371403088924e-05,0.00489543393782473,"Global"
"KL158",0.0013409697256716,0.000933780273757092,3.65589093935387e-05,0.00485142218705452,"Global"
"KL16",0.0160969280129645,0.0156572619310876,0.00826498829308587,0.0260345633701173,"Global"
"KL163",0.00132538921260815,0.000942430508618376,3.81085150792443e-05,0.0046858015929564,"Global"
"KL169",0.00269326757706873,0.00227057653263842,0.000319516235947488,0.00747293247797618,"Global"
"KL17",0.0267942845073789,0.0263881699234754,0.0164837867989215,0.0393069307739667,"Global"
"KL171",0.00133244981898647,0.000924683002225944,3.34186895198651e-05,0.00483492286112688,"Global"
"KL179",0.00132295055807034,0.000923434339446375,3.47825965508677e-05,0.00479212934423795,"Global"
"KL18",0.00671646070434209,0.00627246084903648,0.00217411639589851,0.0136949268656748,"Global"
"KL180",0.00265415051913925,0.00222751241982134,0.000322653542095739,0.00742093629164366,"Global"
"KL183",0.00134343097608921,0.000937233980982578,3.22221598243927e-05,0.00494846504269227,"Global"
"KL186",0.00135000178613458,0.000952741056772441,3.54374755971917e-05,0.00491245672439101,"Global"
"KL19",0.0147650763392267,0.0143576866797959,0.00735025681067555,0.0245251156043049,"Global"
"KL2",0.0949982401099739,0.0946309745497889,0.0749480490591738,0.116853306307456,"Global"
