"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0225990255134026,0.0217891463326943,0.0103430822825734,0.0394768828203717
"KL10","Southern Africa",0.0145598171090014,0.0125386322174005,0.00263271299471351,0.0379931489134113
"KL10","Southern Asia",0.0452102491109579,0.0437756947490688,0.0215551002971498,0.0779125579741521
"KL10","Western Africa",0.0208885489629763,0.0166847451421948,0.00227762645587446,0.0636222565512406
"KL102","Eastern Africa",0.1087822895394,0.108121940819428,0.0786548007435698,0.143706055938276
"KL102","Southern Africa",0.146450800009153,0.144536417275647,0.0939434102310842,0.210614524620325
"KL102","Southern Asia",0.0301268323698044,0.0286062605593169,0.0117830349045609,0.0570494195260588
"KL102","Western Africa",0.106814266241924,0.102485552162909,0.0427856981032657,0.195028905069533
"KL104","Eastern Africa",0.0126133898511357,0.0117322415325801,0.00416392209005561,0.0255120861646673
"KL104","Southern Africa",0.00260013042755086,0.00149781184975883,7.31544185703529e-05,0.0118090723048207
"KL104","Southern Asia",0.00946519145940152,0.0080402252933182,0.00148345785583928,0.0251416812906393
"KL104","Western Africa",0.00496699631402362,0.00259139890707813,0.000129670176904002,0.0242645123455548
"KL105","Eastern Africa",0.00475422932026367,0.003975030741868,0.000687551862218219,0.0133474530984412
"KL105","Southern Africa",0.00164489893306753,0.000805703271476031,3.39381708369215e-05,0.00814551055737761
"KL105","Southern Asia",0.00456766659433319,0.00335167001409135,0.000312077974220017,0.0160214592228538
"KL105","Western Africa",0.00321820037034863,0.00142350115480169,5.45248792252808e-05,0.0171428581608817
"KL106","Eastern Africa",0.0064188502853098,0.00558549072936827,0.0011638629501157,0.016393372805812
"KL106","Southern Africa",0.0013786316421368,0.000620291978256309,1.91022433413746e-05,0.00731922525024502
"KL106","Southern Asia",0.00191648349832679,0.00103804529995841,4.54241157094541e-05,0.00894810704611532
"KL106","Western Africa",0.00263632608224367,0.00104809061440299,3.11098528481247e-05,0.015252340892019
"KL108","Eastern Africa",0.0156714390414054,0.0147849026245706,0.00591424882140416,0.0304300737219483
"KL108","Southern Africa",0.00654427389308283,0.00485434851676524,0.000520082391587828,0.022398467719713
"KL108","Southern Asia",0.00377524677921442,0.0026046110227006,0.000224162801892531,0.0138825177085357
"KL108","Western Africa",0.0137914656926175,0.00987670324734363,0.000973329518016203,0.0485597049914257
"KL109","Eastern Africa",0.00478168657044289,0.0039246458245882,0.000626618758690698,0.0134908593855606
"KL109","Southern Africa",0.00165068629754078,0.000785533582259939,3.11033116729199e-05,0.00848100812936692
"KL109","Southern Asia",0.00455632499327481,0.00331986339195376,0.000311216339025288,0.0156223052453906
"KL109","Western Africa",0.00315372174560664,0.00142717772051271,5.33197562132862e-05,0.0172347823160473
"KL11","Eastern Africa",0.000811667937248153,0.000374145701912047,6.97156032466766e-06,0.00412318652971293
"KL11","Southern Africa",0.000753170552341713,0.000243625349496043,3.24643563692249e-06,0.00464765775672461
"KL11","Southern Asia",0.00274622513146328,0.00161488069725966,4.45086367511234e-05,0.0118837872774181
"KL11","Western Africa",0.00143136151634412,0.000402525748953904,5.32838136509873e-06,0.00967638111336454
"KL110","Eastern Africa",0.00782575326805694,0.00698876648596357,0.00173771294467418,0.0184556056559382
"KL110","Southern Africa",0.00544585085572143,0.00385574674862376,0.000375998733412478,0.0193051163141135
"KL110","Southern Asia",0.005925222369676,0.00461372624050574,0.000584881360237321,0.0187578563914283
"KL110","Western Africa",0.00488850656389367,0.00258678330533294,0.000125183963689539,0.0232125431897757
"KL111","Eastern Africa",0.007175492801801,0.00628906038732681,0.00151218766554342,0.0176974630884806
"KL111","Southern Africa",0.00187531979054315,0.000964825463327647,4.43612187221324e-05,0.00902321542000616
"KL111","Southern Asia",0.00497550096963322,0.00372052778640435,0.000408674671235076,0.0168330372744043
"KL111","Western Africa",0.00358551788569606,0.00169068745598335,6.41051727507246e-05,0.0182196546341003
"KL112","Eastern Africa",0.0116823130369312,0.0107714943605482,0.00361556458500754,0.0248569224824444
"KL112","Southern Africa",0.00798251007259163,0.00625606834108881,0.00079273896199882,0.024776151188168
"KL112","Southern Asia",0.0627316121959826,0.0612186596588804,0.0331514428816612,0.0995046952513955
"KL112","Western Africa",0.00871844367843298,0.00551632194700004,0.000370135238815545,0.0353133796861721
"KL114","Eastern Africa",0.000809796048657634,0.00037511838907964,6.983818854669e-06,0.00410682719119441
"KL114","Southern Africa",0.000741251486572417,0.000242588621578661,2.96922476862539e-06,0.00455607761667275
"KL114","Southern Asia",0.00268727671198224,0.00155511620938702,4.35321673371183e-05,0.0116170859664277
"KL114","Western Africa",0.00137576188891623,0.000399776419044283,4.72760854236164e-06,0.00924280544800401
"KL116","Eastern Africa",0.00198859437301836,0.00136732320817902,0.000101115387795001,0.0075883504852811
"KL116","Southern Africa",0.00238154795095392,0.00131240423243984,6.01633706501529e-05,0.0107194312278103
"KL116","Southern Asia",0.00302134133324364,0.0019691863191491,0.000122577195639558,0.0119033775227031
"KL116","Western Africa",0.0613300030227651,0.0565582953021463,0.0161765616074496,0.133638694264549
"KL117","Eastern Africa",0.00296051450136014,0.00227329357419577,0.000250777797655808,0.00966045674805036
"KL117","Southern Africa",0.00170923772622762,0.000829511124746897,3.47115985856609e-05,0.00853725404929861
