"locus","mean","median","lower","upper","subgroup"
"KL10",0.0259654085885287,0.0255660281970765,0.015422191825635,0.0389978344582664,"Global"
"KL102",0.101845279156098,0.10156461132056,0.080426414985648,0.125143886775652,"Global"
"KL104",0.0106275636424957,0.0101229290616372,0.00432464067679909,0.0195525902408826,"Global"
"KL105",0.004590556589579,0.00409719357210485,0.000933383592070719,0.0110987824490218,"Global"
"KL106",0.00454597582541062,0.00402380635978091,0.000995874416279577,0.0108266902665924,"Global"
"KL108",0.0121945712115173,0.0117045412941111,0.00532656781573396,0.0219007346390909,"Global"
"KL109",0.00460010001133193,0.00410545691194979,0.000973928319258588,0.0112021822826035,"Global"
"KL110",0.00611462212639011,0.00564171964838197,0.00174207921384333,0.0132963295532897,"Global"
"KL111",0.00458131113064809,0.00411454466949837,0.000982483965304584,0.0108003378134134,"Global"
"KL112",0.0244167351013208,0.0239673788166295,0.0140623703876067,0.0372819620640974,"Global"
"KL114",0.00152041077369808,0.00105189031935569,3.40574202437157e-05,0.00564442334290923,"Global"
"KL116",0.00762298926021744,0.00718898454870863,0.00252778992641351,0.0151480315543785,"Global"
"KL117",0.00458531112038135,0.00409937766525542,0.000927897799675912,0.0109069420967647,"Global"
"KL118",0.00305362380940144,0.00255516193055364,0.000377863964760255,0.00850361584688106,"Global"
"KL12",0.00153165404457509,0.0010846947546482,3.71839758912675e-05,0.0055868055363065,"Global"
"KL122",0.0198143614549407,0.019307277796184,0.0105191054959629,0.0319027324283214,"Global"
"KL123",0.00154029828438697,0.00105410723922489,3.33581637173645e-05,0.00577013847598929,"Global"
"KL125",0.00153031460248525,0.00107735280985135,3.99389866151196e-05,0.00561378159913975,"Global"
"KL127",0.00303954681897582,0.00251836370449688,0.000362468917325645,0.00843319587450933,"Global"
"KL128",0.00305470579583361,0.00258559425689923,0.00038753135882345,0.0084334234410936,"Global"
"KL13",0.00608647248812675,0.00557698513403561,0.00161942593258257,0.0132693551943728,"Global"
"KL134",0.00150652810152966,0.00105666428460761,3.62834702349495e-05,0.00542355718614598,"Global"
"KL136",0.00763145985343359,0.00712819776249477,0.00256887348876787,0.0154493932875454,"Global"
"KL137",0.001520600189092,0.00105525816563214,4.10492187706086e-05,0.00549819870815528,"Global"
"KL139",0.00151591434467415,0.00105701697670978,3.44781565030954e-05,0.00564475566658969,"Global"
"KL14",0.00913985024660463,0.00862692412795912,0.00332464232845317,0.0180376529242218,"Global"
"KL141",0.00151749888123296,0.00105248042494347,3.80471907809476e-05,0.00556202962530745,"Global"
"KL142",0.00459529500627709,0.00410037051008362,0.000964176135555335,0.0109344395876366,"Global"
"KL143",0.00151382919842385,0.00103711577276949,3.82995848773087e-05,0.00552035502775476,"Global"
"KL144",0.00150972287833343,0.00106215434854565,4.27612142191657e-05,0.00544686632010757,"Global"
"KL145",0.00151049497638243,0.00107662660192916,3.9716559905844e-05,0.00535966946752741,"Global"
"KL146",0.00305647268486865,0.00253977538624708,0.000390659017314163,0.00849056027944535,"Global"
"KL149",0.0212981880107348,0.0208970777945061,0.0118358380591838,0.0332817128991927,"Global"
"KL15",0.0440434795265327,0.043549054380022,0.0298932795447042,0.0605270849590246,"Global"
