"locus","mean","median","lower","upper","subgroup"
"KL10",0.0279891287498462,0.0275165065359135,0.0167493520345897,0.0416948195330276,"Global"
"KL102",0.0911134837550271,0.090723746250015,0.0706982865973041,0.113860283059445,"Global"
"KL104",0.00929483323943807,0.00882077767756616,0.0034077878216256,0.0178761824939221,"Global"
"KL105",0.00154534447572373,0.00106268855089161,3.68150821194509e-05,0.00577491888715793,"Global"
"KL106",0.00307959797519555,0.00259404904703082,0.00037797386952361,0.00850271331105572,"Global"
"KL108",0.0124223181521042,0.0118917771869424,0.00540055081745445,0.0221923541743933,"Global"
"KL109",0.00309206323567816,0.00264210162728746,0.000376390606490205,0.0084576280575965,"Global"
"KL11",0.00155654753851868,0.00108993907071596,3.67337714282457e-05,0.00574501757397648,"Global"
"KL110",0.00464640506988138,0.00418436298172629,0.000988601606731968,0.0110172311597439,"Global"
"KL111",0.0031166708820163,0.00261240345535051,0.000356691004907795,0.00864923823165369,"Global"
"KL112",0.0248425745860424,0.0243973147130295,0.0142020825858769,0.0375933477031868,"Global"
"KL114",0.00155434071139434,0.00107626983650068,4.35179363880924e-05,0.00576060855253682,"Global"
"KL116",0.00778114568970175,0.00732239944555206,0.00257981397218505,0.0156443381768277,"Global"
"KL117",0.00463734394222438,0.00409784380507118,0.000955190921825043,0.011258067711891,"Global"
"KL12",0.0015594043845574,0.00107853664055561,3.4305219010224e-05,0.00588351132558657,"Global"
"KL122",0.0170148732613201,0.0165118194588181,0.00848835781839655,0.0282900610055454,"Global"
"KL124",0.00307007074902316,0.00256949000272269,0.000367893620856484,0.00851774907591283,"Global"
"KL125",0.00154977644879661,0.00107153395466903,3.96922607355949e-05,0.00577213262482895,"Global"
"KL127",0.0030968085256165,0.00258639287991216,0.000360826291242863,0.00873726193919132,"Global"
"KL128",0.00462222914332697,0.00410138954111123,0.000965668709785071,0.01119077943517,"Global"
"KL13",0.00618716886869267,0.00569513784275967,0.00174138901266586,0.0134593484903773,"Global"
"KL131",0.00306600965729098,0.00258441441016598,0.000366245475595652,0.00850298710442132,"Global"
"KL134",0.00156199485079788,0.0010905892583245,4.18120143490522e-05,0.00575921058761954,"Global"
"KL136",0.0107848132235118,0.0103013619378743,0.00440714681157957,0.0198610101281977,"Global"
"KL137",0.00153309491947962,0.00107626268231665,3.5584680729205e-05,0.00556388932840345,"Global"
"KL14",0.00930849686730787,0.00880341812942685,0.00337566736944363,0.017887387826187,"Global"
"KL140",0.00153409616305592,0.00104667956822383,3.41745439120786e-05,0.0057832313472508,"Global"
"KL141",0.00155738387474445,0.00107292373182542,3.98280444281236e-05,0.00577408517843926,"Global"
