"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0244458535345317,0.0231914101469681,0.0094385150398176,0.0458769884648113
"KL10","Southern Africa",0.0141070132364877,0.0123088820820812,0.0026704985176891,0.0352332066298016
"KL10","Southern Asia",0.0452489846632002,0.0438123675086345,0.0213481518625697,0.0773844729808038
"KL10","Western Africa",0.0210697305370066,0.0164202791016969,0.00234738326490828,0.0651744642320751
"KL102","Eastern Africa",0.108829333591543,0.10788214496584,0.073717451788628,0.149654312912195
"KL102","Southern Africa",0.13495135821663,0.133668434395763,0.0860942168897391,0.193905163843266
"KL102","Southern Asia",0.0301771367776843,0.02873837087381,0.0119586220152603,0.0570957650877814
"KL102","Western Africa",0.106459542120836,0.101692294341774,0.0423763295927935,0.197435837334274
"KL104","Eastern Africa",0.0139386996151144,0.0128047185275614,0.00369266830826052,0.0306122265413774
"KL104","Southern Africa",0.00270879949681524,0.00161528367291805,9.71332088706572e-05,0.0118958171631381
"KL104","Southern Asia",0.00964051274819406,0.0082865274474961,0.00161708322904346,0.0254325377888552
"KL104","Western Africa",0.00538643582163805,0.00292277060502979,0.000136313772348173,0.0247792853232987
"KL105","Eastern Africa",0.000938962380503339,0.000399140286370749,6.33229088080638e-06,0.00513449227963066
"KL105","Southern Africa",0.000878228019743082,0.000289342452927944,3.81802027461185e-06,0.00546525594064499
"KL105","Southern Asia",0.00285001141333773,0.00168605181396528,4.97056564965926e-05,0.012145307959581
"KL105","Western Africa",0.0014871480099088,0.000442571988604116,5.79112417104633e-06,0.00983999166771334
"KL106","Eastern Africa",0.00530153754688644,0.00420871282307704,0.000493577592735085,0.0162105671682357
"KL106","Southern Africa",0.00129127058891969,0.000578553608706951,1.91486924751963e-05,0.00682935392321691
"KL106","Southern Asia",0.00184364298771512,0.000997567828260781,3.88624299901728e-05,0.00851350432405667
"KL106","Western Africa",0.00241079012543004,0.000956686173672836,2.74774137485626e-05,0.014139783080627
"KL108","Eastern Africa",0.0219871913455163,0.0206333045608016,0.00811536883033669,0.0429356240925498
"KL108","Southern Africa",0.00672716823189505,0.00506179500851029,0.000608730701002519,0.0215385187883178
"KL108","Southern Asia",0.00409725787253555,0.00297165797152807,0.000276080530901214,0.0146952256329689
"KL108","Western Africa",0.0146417822722588,0.0106785411358557,0.00106326859972639,0.051079525148292
"KL109","Eastern Africa",0.00324782034992431,0.00230947137655238,0.000180405119644693,0.0117016011271075
"KL109","Southern Africa",0.00146693777749149,0.000686259078236356,2.75528930523881e-05,0.00776066871446483
"KL109","Southern Asia",0.00426906174896062,0.00300917192766728,0.000236619732703251,0.0155727213579783
"KL109","Western Africa",0.0027055174630388,0.00114205930653013,3.81331641706401e-05,0.015287530756039
"KL11","Eastern Africa",0.000933986654147798,0.000413864514217112,6.59669944549777e-06,0.00493168703467911
"KL11","Southern Africa",0.000838682262949866,0.00029266716973699,4.01746111884148e-06,0.00511289312210604
"KL11","Southern Asia",0.00291121122512151,0.00172272686895132,4.66117175731831e-05,0.0124749317222446
