"locus","mean","median","lower","upper","subgroup"
"KL10",0.0258035050075769,0.0254173436495636,0.0156201829387338,0.0386551665509797,"Global"
"KL102",0.0898121162353092,0.0894027389455994,0.0706427004947323,0.110448007743191,"Global"
"KL104",0.00546698631541867,0.00503625875469886,0.00142781065773797,0.0122472785525683,"Global"
"KL105",0.00408477673402822,0.00364089470517156,0.000827399707292795,0.00989249475343787,"Global"
"KL106",0.00406508727744102,0.00363373871826476,0.000838806488375618,0.00952513543264764,"Global"
"KL108",0.0108569201173788,0.0103897853480412,0.00475916806187251,0.0194256701277991,"Global"
"KL109",0.00402994000450032,0.0035730070926243,0.000855978794274963,0.00971829155442419,"Global"
"KL11",0.00136847802382622,0.000957365962555463,3.60383374768543e-05,0.00513453790968914,"Global"
"KL110",0.0054526216739225,0.0049745110815876,0.00145690346056136,0.0121664087782266,"Global"
"KL111",0.0054469523812369,0.00502231891152803,0.001460092963807,0.0118661953921476,"Global"
"KL112",0.0257536448779211,0.0253275866623951,0.0159180971127412,0.037876671251532,"Global"
"KL114",0.00137744371275155,0.000952301123080173,3.44156983337151e-05,0.00511967270092676,"Global"
"KL116",0.00678384416572184,0.00640101983702721,0.0022957688516446,0.013519548450514,"Global"
"KL117",0.00406602622188749,0.00362409134434094,0.000820437395566362,0.00985511043541516,"Global"
"KL118",0.00273121723545426,0.00229513679033054,0.000340263802823967,0.00757884515627569,"Global"
"KL12",0.0026951996876809,0.00226148650422996,0.00031965710162738,0.00745354585643584,"Global"
"KL122",0.0176415975778041,0.0171996734553778,0.00936301589226869,0.0282381735001766,"Global"
"KL123",0.00135767865026544,0.000929360692925308,3.01196514790533e-05,0.00508646677165991,"Global"
"KL124",0.00270342475086715,0.00226487934601861,0.00034726209185237,0.00750801834974877,"Global"
"KL125",0.00269592469387818,0.00226054192381516,0.000329027323525254,0.00761931574329257,"Global"
"KL127",0.00274101378484909,0.00230611067232071,0.000342102307084507,0.00743594468831348,"Global"
