"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0187836610406716,0.017765844328053,0.00738073662988278,0.0359331529938209
"KL10","Southern Africa",0.0137530734113137,0.0117200956780314,0.0022538700740195,0.0360876955974984
"KL10","Southern Asia",0.0449496943663033,0.0435109529013384,0.0226674471394071,0.0747943388076962
"KL10","Western Africa",0.0110406278344083,0.00676669918265549,0.000483904781882122,0.0461746435463783
"KL102","Eastern Africa",0.115514372920537,0.114657371939967,0.0829395833178572,0.153054041634861
"KL102","Southern Africa",0.136059547945189,0.134436351905909,0.0856641287657371,0.195629297241108
"KL102","Southern Asia",0.0255054270289436,0.0242662934701732,0.00985974913429025,0.0489928278826315
"KL102","Western Africa",0.099931095462325,0.0936466137316199,0.0312584494857964,0.201948947712472
"KL104","Eastern Africa",0.0056177015339752,0.00474523201562614,0.000820542007791909,0.0156067967803469
"KL104","Southern Africa",0.00213625580526957,0.00111345139316004,5.75144376735538e-05,0.0103617417492137
"KL104","Southern Asia",0.00748732476522434,0.00624739297547544,0.00100629002977805,0.0211847035612108
"KL104","Western Africa",0.00409685442986453,0.00177721621491211,7.188592581097e-05,0.0226153476080708
"KL105","Eastern Africa",0.00514940110269149,0.00427569713440507,0.000688163934968981,0.0143280851330076
"KL105","Southern Africa",0.00172546397037742,0.000863352965917808,4.1158320857801e-05,0.00852943399168764
"KL105","Southern Asia",0.00419307589868388,0.00308231046950537,0.000307477463345988,0.0144456528906024
"KL105","Western Africa",0.00326330335527635,0.00136595272246213,4.94767058707874e-05,0.0181071530098388
"KL106","Eastern Africa",0.00698735523789859,0.00608332417736695,0.00123617489995332,0.0177988727844249
"KL106","Southern Africa",0.00147898372291247,0.000697251113585716,2.54202534134985e-05,0.00784946215056897
"KL106","Southern Asia",0.00188029225542251,0.00110918681380721,5.61875806327893e-05,0.00815988370084174
"KL106","Western Africa",0.00268910260883573,0.00104137872137684,3.51354405495504e-05,0.0155395664525986
"KL108","Eastern Africa",0.0173293550457736,0.0163674612474845,0.00642972399052638,0.0336046175157573
"KL108","Southern Africa",0.0067619803788844,0.00505817498597234,0.000579091672774131,0.0224265837385213
"KL108","Southern Asia",0.00364349431734204,0.0026363026629187,0.000258186779951061,0.012571835168431
"KL108","Western Africa",0.0164535189223409,0.0112148951577173,0.00101449015835488,0.0604925714829711
"KL109","Eastern Africa",0.00509609078190474,0.00420702062683761,0.000689156033824607,0.0145631503733231
"KL109","Southern Africa",0.00173014250547048,0.000859254658056913,3.43025111596128e-05,0.00866615295650611
"KL109","Southern Asia",0.00409406991952085,0.00302002042067963,0.00032252805722103,0.013782830775636
"KL109","Western Africa",0.00324752779786815,0.00130868977191333,4.30058214191604e-05,0.0185306144545804
"KL11","Eastern Africa",0.000825577543450802,0.00036366882103234,6.14747398645383e-06,0.00440165906688495
"KL11","Southern Africa",0.000778007094414761,0.000244234477082232,3.54468775176788e-06,0.00493472181273691
"KL11","Southern Asia",0.00247268760258621,0.00148141606616832,4.06169721410893e-05,0.0107420255737234
"KL11","Western Africa",0.00128904552669996,0.00033891461634788,4.02113958118556e-06,0.00867145104151746
"KL110","Eastern Africa",0.00593522987747237,0.00500981068105051,0.000973053999965224,0.0159522350109667
"KL110","Southern Africa",0.00525232247715111,0.00367901221605066,0.000346321558977925,0.0189540480379987
"KL110","Southern Asia",0.00502840351020562,0.00390642643284781,0.00049118785629941,0.0157703175449683
"KL110","Western Africa",0.00477165713294263,0.0021979796445686,0.000108725364437056,0.024768334438085
"KL111","Eastern Africa",0.00782082148275569,0.00686820494556767,0.0015919239587026,0.019330195476895
"KL111","Southern Africa",0.0019847945322471,0.00104609730226117,4.31926261536473e-05,0.00945638386346664
"KL111","Southern Asia",0.0045601234787964,0.00345399048169189,0.000387923099224275,0.0148465747812175
"KL111","Western Africa",0.00390168719825,0.00166331468801484,5.79243861619736e-05,0.0212243105824124
