"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0233636826163641,0.0224626741615361,0.0104627085302417,0.0412933817519008
"KL10","Southern Africa",0.0138634328475944,0.0119536639502403,0.00270611374253696,0.0360003618885561
"KL10","Southern Asia",0.0449474518653741,0.043439026439334,0.0208966870169542,0.0772742283111574
"KL10","Western Africa",0.0208128467388986,0.016442141221483,0.00247168521505384,0.0634203534372475
"KL102","Eastern Africa",0.113176389486823,0.112634724353965,0.0815747030040578,0.147636586788329
"KL102","Southern Africa",0.135238483051828,0.133703276757932,0.0859603704913452,0.192966067214163
"KL102","Southern Asia",0.0303145910210078,0.0287710722146112,0.0119283939037797,0.0576090480583855
"KL102","Western Africa",0.106606670797854,0.10206371697168,0.0435214688858472,0.194952932857522
"KL104","Eastern Africa",0.0130698483353948,0.0122081883243489,0.00430152054412748,0.0268212252376466
"KL104","Southern Africa",0.00264741524677423,0.0015943102398505,9.11281142500452e-05,0.0110912057339379
"KL104","Southern Asia",0.00961007302890397,0.00819242797422501,0.00154495271148359,0.0256731607967333
"KL104","Western Africa",0.00512949715625892,0.00280625127439721,0.000155915629014803,0.0243911302461166
"KL105","Eastern Africa",0.00490530795502625,0.00406539492320691,0.000673606856925508,0.0137371159176922
"KL105","Southern Africa",0.00168829856241588,0.00087652987038777,3.89212704451335e-05,0.00788802688782984
"KL105","Southern Asia",0.00456713136070139,0.0033972690197938,0.000326804998756329,0.0156752176308628
"KL105","Western Africa",0.00319669008174136,0.00146655943693763,6.13660657454815e-05,0.0164795231307498
"KL106","Eastern Africa",0.00653590150052603,0.00568088022266124,0.00120801214798473,0.016494686930007
"KL106","Southern Africa",0.00140870178093857,0.000669969393130939,2.51350858209628e-05,0.00695439896726534
"KL106","Southern Asia",0.00192832268978147,0.00109217017368179,4.90970193366121e-05,0.00878740168530475
"KL106","Western Africa",0.00268502982050186,0.00112372402635036,3.53804228440633e-05,0.014705691386801
"KL108","Eastern Africa",0.0161286096476297,0.0152444438620935,0.00603801698338529,0.0309947562556774
"KL108","Southern Africa",0.00626181186814727,0.00467911941219117,0.000507041489170843,0.0208184445176601
"KL108","Southern Asia",0.0037925430110293,0.00271653950648029,0.000249337979732846,0.0136177569850594
"KL108","Western Africa",0.0136778059654444,0.00981784818386266,0.000900362087844656,0.0481677902587508
"KL109","Eastern Africa",0.00491686562015906,0.00407252000246938,0.000715413904896749,0.0138071603511724
"KL109","Southern Africa",0.00168300150968123,0.000865591478454011,4.09180957018182e-05,0.00839782788789309
"KL109","Southern Asia",0.0045819940785605,0.00338773255235598,0.00031636684408963,0.0158382302638335
"KL109","Western Africa",0.0031136561444831,0.00142598884655441,6.25373156864665e-05,0.0166686114606528
"KL11","Eastern Africa",0.000834489114135381,0.000391432006561691,6.96879355017939e-06,0.00411434457898971
"KL11","Southern Africa",0.000791098032865196,0.000267395604039353,3.98043707428055e-06,0.00497065188944375
"KL11","Southern Asia",0.00271255097797472,0.00157227717494611,4.36729725882502e-05,0.0117074452378452
"KL11","Western Africa",0.0014047027582866,0.000406299449754082,6.11134047519885e-06,0.00888547268032793
"KL110","Eastern Africa",0.0081195306594699,0.00724958382474752,0.00181584005930807,0.0197478062625409
"KL110","Southern Africa",0.00537996227620283,0.00382993023335099,0.000393781221248847,0.0191356557747462
"KL110","Southern Asia",0.00590745492742158,0.00457568612584624,0.000611204432556618,0.0187711538731237
"KL110","Western Africa",0.0049255849853573,0.00267541776591711,0.000140543369790193,0.0227661185726578
"KL111","Eastern Africa",0.00738774573456504,0.00648461856592708,0.00151779712645382,0.0183600278373266
"KL111","Southern Africa",0.00197614759670733,0.00105065693764718,4.93646498659596e-05,0.0094292939715233
"KL111","Southern Asia",0.00496588480396137,0.00371003236247416,0.000431392876522759,0.0167455745550909
"KL111","Western Africa",0.00364545993396683,0.00177579376411203,8.08522785255873e-05,0.0183268676669622
"KL112","Eastern Africa",0.0122121327692212,0.0112926637552671,0.00381636909311492,0.0256024767442412
"KL112","Southern Africa",0.00794784199777926,0.00627524455619996,0.000860349753288737,0.0246287713712151
"KL112","Southern Asia",0.0628580344606547,0.0610088202543166,0.0338616629819968,0.100593657682183
"KL112","Western Africa",0.00889038778798916,0.00577064289607277,0.00045061936564927,0.0354427666489421
"KL114","Eastern Africa",0.000847478056153795,0.000392796129215709,8.19012700260631e-06,0.00430413924137903
"KL114","Southern Africa",0.000783491739279678,0.000274162034909903,3.79905500537042e-06,0.00475495026232665
"KL114","Southern Asia",0.00269764349989497,0.00160854840848732,4.90754954121138e-05,0.0116323761138074
"KL114","Western Africa",0.00142780540170751,0.000424871303712765,6.53089995505851e-06,0.00898824397389102
"KL116","Eastern Africa",0.00212503417718929,0.00147324171182417,0.000110645611520097,0.00780114680871856
"KL116","Southern Africa",0.00241432101825378,0.00139493896255338,7.52531765978791e-05,0.0104981446006818
"KL116","Southern Asia",0.00312089787254223,0.0020861772032106,0.000141349506885463,0.0122315320451912
"KL116","Western Africa",0.0600364019140307,0.0548392233609217,0.0161396566361936,0.132417971216664
"KL117","Eastern Africa",0.00306429801472066,0.00233674539003569,0.000256085562776218,0.0098620138530289
"KL117","Southern Africa",0.00175301796766357,0.000890582869094803,3.96108764447706e-05,0.0086997865786653
"KL117","Southern Asia",0.0076945735458912,0.00633735450832305,0.000908129210719418,0.0218886849789809
"KL117","Western Africa",0.00332242025223155,0.00151847558689133,5.73124127872283e-05,0.0173053612951086
"KL118","Eastern Africa",0.00407638598580041,0.00323867262397298,0.000382121461186446,0.0126313554636504
"KL118","Southern Africa",0.00113514383522546,0.000484211525807912,1.50148140303959e-05,0.00603902353512338
"KL118","Southern Asia",0.00158876646858691,0.00082492100893128,3.20606087353769e-05,0.0076842148970928
"KL118","Western Africa",0.00209183289233069,0.000794654819122239,2.21067910707348e-05,0.0121780079560126
"KL12","Eastern Africa",0.000931908261638595,0.000446952686110684,9.06064688378429e-06,0.00461023379466872
"KL12","Southern Africa",0.00237671331280784,0.0012023110102259,2.43978333014452e-05,0.0117675889605799
"KL12","Southern Asia",0.00127748631901111,0.00056586245957599,9.21088513465288e-06,0.00661946590808865
"KL12","Western Africa",0.00161244278507319,0.000493255227789283,6.15700697448292e-06,0.0105824062933368
"KL122","Eastern Africa",0.020524759791558,0.0197479206363961,0.00856895307433859,0.037317878533619
"KL122","Southern Africa",0.0133185024664133,0.0114019695741051,0.00241682184435297,0.0346695099362624
"KL122","Southern Asia",0.0168196244056769,0.0153886373742255,0.00452441765486317,0.0374969659068851
"KL122","Western Africa",0.031340096348497,0.0265097850014556,0.00527546101243706,0.0839812232925286
"KL123","Eastern Africa",0.00178423598222752,0.00109699514700154,3.44330478103871e-05,0.00756427291622447
"KL123","Southern Africa",0.000726911714872314,0.00023547204915585,3.40570977775005e-06,0.00451075301910129
"KL123","Southern Asia",0.00105655752992277,0.000427853983850583,6.29652333939678e-06,0.00595482391541659
"KL123","Western Africa",0.00128637891206475,0.000365690642300259,4.45042639673845e-06,0.00863850584918649
"KL124","Eastern Africa",0.00122295995056709,0.000702291071189046,3.25649046217937e-05,0.00532056690480593
"KL124","Southern Africa",0.00124118725531036,0.000538948562619879,1.61547427351204e-05,0.00673678854176512
"KL124","Southern Asia",0.00657612106205201,0.00510792980829317,0.000544321543690234,0.020914974736015
"KL124","Western Africa",0.00230797566674905,0.000848184301461467,2.36446441039998e-05,0.0136739696593881
"KL125","Eastern Africa",0.000931336360519344,0.000453836480229111,9.49400144506201e-06,0.0046411880939119
"KL125","Southern Africa",0.00231302804613211,0.00115371696465542,2.80630756478104e-05,0.011300264707989
"KL125","Southern Asia",0.00127548367136757,0.000565205730562567,1.02802201751056e-05,0.00683314354284924
"KL125","Western Africa",0.00154836733362434,0.000490157398849674,7.83566984388923e-06,0.0101345930868823
"KL127","Eastern Africa",0.00284955508828741,0.00212178619759918,0.000198156053722378,0.00953946115421551
"KL127","Southern Africa",0.00149450818982233,0.00072437071291974,2.85233196812273e-05,0.00769618537726094
"KL127","Southern Asia",0.00205400185811057,0.00117081331433422,5.77624133190676e-05,0.0091643879710648
"KL127","Western Africa",0.00742198955803346,0.00425304215280687,0.000227007523769811,0.0328180002629577
"KL128","Eastern Africa",0.00147988200836651,0.000899823401235487,5.00252205576591e-05,0.00641480389634997
"KL128","Southern Africa",0.00151172630212901,0.000738062782788747,2.91425277104211e-05,0.00782129733324019
"KL128","Southern Asia",0.0108313757573542,0.00927826466732361,0.00179370459322731,0.0289433673893104
"KL128","Western Africa",0.00283789230682706,0.00121142790928221,3.87163868577018e-05,0.015253165944992
"KL13","Eastern Africa",0.00576870308752355,0.0048969135066669,0.000999330516388746,0.015325245776219
"KL13","Southern Africa",0.00526502497964432,0.00377068340888982,0.000374724881578174,0.0186729554468175
"KL13","Southern Asia",0.00312241505568792,0.00208639383562052,0.000168594030299751,0.0120909589914096
"KL13","Western Africa",0.0111740750991862,0.00760749053871769,0.00065057671919463,0.0420122719288253
"KL131","Eastern Africa",0.00123107926486089,0.000696550446612394,3.26777588115971e-05,0.00559155965691274
"KL131","Southern Africa",0.00123984055660957,0.000546235473918876,1.70885805028536e-05,0.00663133074566933
"KL131","Southern Asia",0.00652678712318483,0.00505981115708347,0.000565757621632375,0.0204628883827909
"KL131","Western Africa",0.0022136803913788,0.000861420649253719,2.53564559455552e-05,0.0131025912879009
"KL134","Eastern Africa",0.00180933109459013,0.00109669484250916,3.12730616764914e-05,0.00770602341707005
"KL134","Southern Africa",0.0007502473941452,0.00024079184107221,2.90200093883867e-06,0.0047567497371808
"KL134","Southern Asia",0.00111920722313351,0.000445553733983252,6.7543112361637e-06,0.00624500699012358
"KL134","Western Africa",0.00131898458513443,0.000369694676324162,4.71552689515717e-06,0.00887944770285739
"KL136","Eastern Africa",0.00224260531309421,0.00161557890181148,0.000135786771409776,0.0078978386459303
"KL136","Southern Africa",0.00547323144144515,0.00403398096094657,0.000387218946798833,0.0191316701940177
"KL136","Southern Asia",0.0265123646867213,0.0249334913915219,0.0096108214055515,0.0523711290306965
"KL136","Western Africa",0.0051529945223556,0.00273534367652781,0.000148631429495428,0.0244412339847406
"KL137","Eastern Africa",0.000977877029674222,0.000475202526791715,9.70074525240432e-06,0.0049891721351888
"KL137","Southern Africa",0.000924185826562274,0.000344509835473024,4.54459670267072e-06,0.00559689094918415
"KL137","Southern Asia",0.00133755818073023,0.000599714822483912,1.07346518751501e-05,0.00701567009483251
"KL137","Western Africa",0.00478009399354466,0.00217203333962603,3.93621972579842e-05,0.0246770474571644
"KL139","Eastern Africa",0.00176456163683463,0.00107896242756241,3.18110842155135e-05,0.00742704786835385
"KL139","Southern Africa",0.000732237274736571,0.000241253513475632,3.28107779246087e-06,0.00465153723843989
"KL139","Southern Asia",0.00107684709898001,0.000441448245590162,7.61655765587128e-06,0.00600691891885341
"KL139","Western Africa",0.00127773415123935,0.000373695352682927,5.18057020852436e-06,0.00819420864035156
"KL14","Eastern Africa",0.00837213758144086,0.00749302420165706,0.00207355922097309,0.019402618971882
"KL14","Southern Africa",0.00580261678022206,0.00426172659728336,0.000481912534751624,0.0196271846857679
"KL14","Southern Asia",0.00977693912638999,0.00832603271046339,0.00165006245134009,0.0259518095542573
"KL14","Western Africa",0.00560891067550211,0.00314531946372558,0.000199222739894922,0.0259005294483336
"KL140","Eastern Africa",0.000841118846169232,0.000393667685613416,7.30565406843027e-06,0.00428429174292617
"KL140","Southern Africa",0.000776828101725819,0.000265937487887198,4.07071387614846e-06,0.00467249849877602
"KL140","Southern Asia",0.00266850912690126,0.00157025035518475,3.9845130064194e-05,0.0116748145436287
