"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0217618602866427,0.0209902376751196,0.00970325473050802,0.0385068374478589
"KL10","Southern Africa",0.0138983620131174,0.012046693393002,0.00265877776204072,0.0350599903691545
"KL10","Southern Asia",0.0448285451855698,0.0433612050309881,0.0211665906157478,0.0763764262143175
"KL10","Western Africa",0.0209414420529736,0.0164272842197096,0.00232275909067242,0.0652319434345882
"KL102","Eastern Africa",0.104845684413214,0.103970785810315,0.0760634896965539,0.138211032411395
"KL102","Southern Africa",0.134838153190259,0.133320134208878,0.0860749422126198,0.193767252765221
"KL102","Southern Asia",0.0302910267384582,0.0288132363545114,0.0118783471718929,0.0568399806058328
"KL102","Western Africa",0.105474013505019,0.100887553505072,0.0427259156817204,0.192170663119097
"KL104","Eastern Africa",0.0121176504321645,0.0112518390205062,0.00391625818618904,0.0248671144420827
"KL104","Southern Africa",0.00265655861576374,0.00159272377686913,0.000100073930296596,0.0113905042332572
"KL104","Southern Asia",0.00936522135609555,0.00783530436026306,0.00153560167088336,0.025254595500434
"KL104","Western Africa",0.00506556432497965,0.00285659263276066,0.000168341453252033,0.0233346273605773
"KL105","Eastern Africa",0.00454462048960199,0.00376551570598423,0.000615190308046203,0.0129057810773068
"KL105","Southern Africa",0.00170238243584707,0.000878211523619788,3.90425413837916e-05,0.008385124900354
"KL105","Southern Asia",0.00447885055705245,0.00328647324536654,0.000315984601220233,0.0152321694912716
"KL105","Western Africa",0.00316384522378249,0.00146366590276158,5.96099787081524e-05,0.0169968929661346
"KL106","Eastern Africa",0.00614051151174759,0.00534926541470927,0.00111683805127849,0.0155768093288188
"KL106","Southern Africa",0.00138070968391126,0.000681372125576366,2.47971408390951e-05,0.00690871510769459
"KL106","Southern Asia",0.0019533520165287,0.00110887803893325,5.114103244765e-05,0.00887803113349972
"KL106","Western Africa",0.00259885624447359,0.00112188520687121,3.81565367273942e-05,0.0142237732030079
"KL108","Eastern Africa",0.0149525938956933,0.0141105599363628,0.00543732957754256,0.028971936707258
"KL108","Southern Africa",0.00618676939702307,0.00468737469259206,0.000553866773488806,0.020548631018643
"KL108","Southern Asia",0.00387686678864792,0.00274454115683112,0.000265236188049635,0.0137504473518715
"KL108","Western Africa",0.0134510187394165,0.00957314647966286,0.000899538607788067,0.047657713532262
"KL109","Eastern Africa",0.0045575844824526,0.00380699730667026,0.000636619141647806,0.0126231451662481
"KL109","Southern Africa",0.00169702952805984,0.000883199577675968,4.16341420172983e-05,0.00807045869762277
"KL109","Southern Asia",0.00448501315600124,0.00327512186872184,0.000312205259141213,0.0156693126743237
"KL109","Western Africa",0.0031927750904522,0.0014745428609212,6.46756454348596e-05,0.0170010110848012
"KL11","Eastern Africa",0.000819854540756919,0.000389576426143753,6.74885743243135e-06,0.00426444898198692
"KL11","Southern Africa",0.000767407883198447,0.000262287617267118,3.70078509165385e-06,0.00470222931051538
"KL11","Southern Asia",0.00257769022474536,0.00152527020936052,3.94644383436067e-05,0.0111038628290756
"KL11","Western Africa",0.00135086826585273,0.000417651676251015,5.83789221914717e-06,0.00845564333624111
"KL110","Eastern Africa",0.00754996982231319,0.00673038906669436,0.00177143122988265,0.0180881521289341
"KL110","Southern Africa",0.00524528933343673,0.00376561143322856,0.000399605103937799,0.0182646639763649
"KL110","Southern Asia",0.00585382941280775,0.00457512919028567,0.000628045400979935,0.0184637374280088
"KL110","Western Africa",0.00491837636540791,0.00268039561372463,0.000157386050859481,0.0230340406372688
"KL111","Eastern Africa",0.0068977357814251,0.00611757341288412,0.00147490210900645,0.0165127404866372
"KL111","Southern Africa",0.0019447085512621,0.00107079738238794,5.56082632496972e-05,0.0090918418109026
"KL111","Southern Asia",0.00497795960933227,0.00374078346860642,0.000390569680700151,0.0165997365134605
"KL111","Western Africa",0.00373903869385152,0.00184849256036738,8.77945276172982e-05,0.01871859158421
"KL112","Eastern Africa",0.0113075950729596,0.0104746301495972,0.00363986593203817,0.0235629857384248
"KL112","Southern Africa",0.00780357332479314,0.00626110714897934,0.000889477797726684,0.0238156570369812
"KL112","Southern Asia",0.0621954042376906,0.0608398200493913,0.0331745560832146,0.0985375132841026
"KL112","Western Africa",0.0089135805369612,0.0058184804555909,0.000479549266123198,0.0356422701797715
"KL114","Eastern Africa",0.00082160064608266,0.000388404079969705,8.47106049802687e-06,0.00423574881707562
"KL114","Southern Africa",0.000798680403184529,0.000263991033644179,4.43515621299066e-06,0.00486235592442693
"KL114","Southern Asia",0.00262941537657536,0.00154643662533596,4.69137759464516e-05,0.0117638307239077
"KL114","Western Africa",0.00137286774741374,0.00043052098552074,6.16066538718058e-06,0.00884518258776524
"KL116","Eastern Africa",0.00207181013028532,0.00149540555210909,0.000135437342787572,0.0071438079591398
"KL116","Southern Africa",0.00247502319301063,0.00146340176230902,8.27930679847413e-05,0.0106693109739582
"KL116","Southern Asia",0.00312748541866948,0.00210049099884712,0.00016224683419703,0.0120873780113454
"KL116","Western Africa",0.0591567433490906,0.0539058784387833,0.0156567062196963,0.132318363314749
"KL117","Eastern Africa",0.00498719494628584,0.0042030642927822,0.000792353928982487,0.0132977966384298
"KL117","Southern Africa",0.00205540439478315,0.00112940807166566,6.02149146873737e-05,0.00938135311556637
"KL117","Southern Asia",0.00833585616674965,0.00695609351286083,0.00118037720757849,0.0238043830312487
"KL117","Western Africa",0.00390251763434976,0.00199909937298092,9.26095144553663e-05,0.0191882297900829
"KL118","Eastern Africa",0.0037780881608507,0.00306688189560673,0.000367491520645443,0.0113117044321388
