"locus","mean","median","lower","upper","subgroup"
"KL10",0.0274664303692332,0.0270284916900468,0.0170673409315206,0.0405709301673587,"Global"
"KL102",0.0839680559017459,0.0836621146936595,0.0649500890270117,0.104791887895243,"Global"
"KL104",0.00959119632511725,0.0091802019791386,0.00379890906668791,0.0177126410089353,"Global"
"KL105",0.00412020648559496,0.00369895911433348,0.00084339888073309,0.00985346810850956,"Global"
"KL106",0.00411556164354417,0.00365499459717849,0.000841677379088851,0.00993542871876949,"Global"
"KL108",0.0110384223372934,0.0105801821025803,0.00470063424706909,0.0200320685429078,"Global"
"KL109",0.00410835755334595,0.00368070243783003,0.000824999728794747,0.0098209140972683,"Global"
"KL11",0.0013750885319997,0.000971026985542523,3.55828904759442e-05,0.00506246763953684,"Global"
"KL110",0.00681857297800475,0.00636310631490097,0.00222465211389027,0.0139990778722218,"Global"
"KL111",0.00548595313131834,0.00503458654950785,0.00152419158690149,0.0119667026590121,"Global"
"KL112",0.0247431908727593,0.0243008843283581,0.0148656247717889,0.0368753938529536,"Global"
"KL114",0.00136225309230505,0.000958117664392872,3.8550457121489e-05,0.00497982533661864,"Global"
"KL116",0.00689336333720271,0.00646067412664187,0.00226265999231167,0.0138523797446304,"Global"
"KL117",0.0041206285535378,0.00369424649838235,0.000881936996901687,0.0097893746585399,"Global"
"KL118",0.00277291950686834,0.00234359545953508,0.000358780383146452,0.0076654244053865,"Global"
"KL12",0.0013752482990719,0.000938079660377486,3.61568941144252e-05,0.00505781232098963,"Global"
"KL122",0.0205710443897292,0.0201970771436429,0.0116121677388684,0.0314695291620501,"Global"
"KL123",0.00138664971497101,0.000977358013769533,3.54015478017518e-05,0.00509413203617566,"Global"
"KL124",0.00275100190115307,0.00232190985821389,0.000338223625620683,0.00769896748444608,"Global"
"KL125",0.00135901496581874,0.000950307542822924,3.40522929327533e-05,0.0049522998995201,"Global"
"KL127",0.00138111488865277,0.000962154188544568,3.66111809653795e-05,0.00508165088450993,"Global"
"KL128",0.00407859309371254,0.00365537654995333,0.000878094494681505,0.00963717545790578,"Global"
"KL13",0.00548456641377626,0.00507069773667367,0.0015152595490942,0.0116520205222015,"Global"
"KL131",0.00276093771413012,0.00232672257154047,0.000341633616831695,0.00753440559828209,"Global"
"KL134",0.00137565094406302,0.00095633592923128,3.41599543737245e-05,0.00511957107678928,"Global"
"KL136",0.00964265523088562,0.0092202895946533,0.0039888991940174,0.0177594900188651,"Global"
"KL137",0.00136792499775157,0.000956283711389322,3.48824183695663e-05,0.00497826169802859,"Global"
"KL139",0.00136429506184004,0.000938153521875059,3.40749631651139e-05,0.00509516737697222,"Global"
"KL14",0.00685371134221907,0.00638364957007448,0.00217183993611653,0.0142272452304418,"Global"
"KL140",0.00137427770421015,0.000956167224367584,3.1661416315724e-05,0.00504890784467647,"Global"
"KL141",0.00276591526864676,0.00235465444544783,0.000364688526703539,0.00752477512120076,"Global"
"KL142",0.00413691990339348,0.0036906197145901,0.000832788274984698,0.0100591375760407,"Global"
"KL143",0.00137232001711231,0.000964060284164515,3.48810201990522e-05,0.00499544694524202,"Global"
"KL144",0.00135804526144246,0.000921137832379896,3.40519758847662e-05,0.005053466974318,"Global"
"KL145",0.00136480351722629,0.000937954986478538,3.43401657394622e-05,0.00497645419660125,"Global"
"KL146",0.00276308633323004,0.00233562978317991,0.000327059557329119,0.00765110672891356,"Global"
"KL149",0.0206364375684201,0.0202463607435771,0.0116938523137314,0.0316533066135554,"Global"
"KL15",0.059165873797664,0.0586983955481758,0.0431787987396123,0.0773972578676919,"Global"
"KL151",0.00549837362227794,0.00506990654237157,0.00151721193482375,0.0119283416686127,"Global"
"KL155",0.00410632145500318,0.00367821093218192,0.000870680241016403,0.00983691562401458,"Global"
"KL157",0.00136147109044966,0.000956691086689065,3.92607429930634e-05,0.00495935462616293,"Global"
"KL158",0.0013743529248965,0.000950294370851203,3.38646762571772e-05,0.00503606716293667,"Global"
"KL16",0.0165401695727533,0.0160677145293292,0.00860055611838553,0.0272395287727716,"Global"
"KL163",0.00138304871414508,0.000937995133163413,3.24683106913441e-05,0.00511840730355754,"Global"
"KL169",0.00275571254067093,0.00232019143656016,0.000321369904986141,0.00763929129389468,"Global"
"KL17",0.0219747774610672,0.02151881346192,0.0126858604936087,0.0337255517195108,"Global"
"KL171",0.00135510616836702,0.000936182596814274,3.48410052461038e-05,0.00506584710978007,"Global"
"KL179",0.00138009222674141,0.000943067914400117,3.59313820433949e-05,0.00520318860376027,"Global"
"KL18",0.0068338293167171,0.00636965039923852,0.00224097575213865,0.0139242085730574,"Global"
"KL180",0.00275766932866537,0.00230585783373404,0.000330546133556942,0.00773898456020484,"Global"
"KL183",0.00138505060690576,0.000959725096160558,2.8694063342598e-05,0.00511108569489881,"Global"
"KL186",0.00138064257341744,0.000944659059796083,3.57870770130912e-05,0.00509770778313621,"Global"
"KL19",0.0151041831839007,0.0146382640894203,0.00753195759152826,0.0251091371211339,"Global"
"KL2",0.095986825398483,0.0956802991814164,0.075977800608715,0.117216324489398,"Global"
"KL20",0.00414025292544426,0.00369453231608035,0.000840459457495798,0.00981519703234837,"Global"
"KL21",0.00274291763397091,0.00231570266315618,0.000331078885419459,0.00752693134129062,"Global"
