"locus","mean","median","lower","upper","subgroup"
"KL10",0.0142573426320124,0.0141124391807453,0.00941347793062041,0.0200885255381201,"Global"
"KL102",0.180416085139108,0.18020193666429,0.164232588696142,0.197821449415997,"Global"
"KL104",0.0311918266603496,0.0310022142387373,0.0239069467147389,0.0393478753238223,"Global"
"KL105",0.00211288189009518,0.00194378139910567,0.000579336386699545,0.00455662726401747,"Global"
"KL106",0.00158337699338012,0.00140492191058366,0.000316256177573678,0.00384877750674922,"Global"
"KL108",0.0216260087219866,0.0213970176369485,0.0156663330885403,0.0286040815555595,"Global"
"KL109",0.00158568750964145,0.00141673815017339,0.000333272292747194,0.00378497712338441,"Global"
"KL11",0.000529502612738138,0.000370124142986998,1.31794887853515e-05,0.00196012048146767,"Global"
"KL110",0.00369904082260874,0.00352980147338616,0.00146231442753385,0.00690609342322255,"Global"
"KL111",0.00210926120061773,0.00193211968897193,0.000590881925537306,0.00459795296712879,"Global"
"KL112",0.0142222882837137,0.0140575584791971,0.00944000587313677,0.0198658830931136,"Global"
"KL114",0.000522973262522011,0.000358374084133934,1.30487828333509e-05,0.00200236818699734,"Global"
"KL116",0.00314637778808801,0.00299811875271547,0.00116717115253932,0.00605178971009177,"Global"
"KL117",0.00315368944212138,0.00297799034449151,0.00114201836215539,0.00615221209527699,"Global"
"KL118",0.00104971342059481,0.000886966805006877,0.000119483337289768,0.00285483002296536,"Global"
"KL12",0.0010536640970251,0.000881040837026261,0.000123061912725559,0.00298004154019126,"Global"
"KL122",0.0147709684271443,0.0146043179636961,0.00981189195219978,0.0206814536935007,"Global"
"KL123",0.0005265577777598,0.000365425873987172,1.47077470569132e-05,0.00195746869299883,"Global"
"KL124",0.00157668143698348,0.00141158057346821,0.000326349293609382,0.00375590168290197,"Global"
"KL125",0.0015725967042316,0.00139946649592434,0.000330475731288909,0.00373919259778283,"Global"
"KL127",0.00580117920871544,0.00563056943707236,0.00291740272230489,0.00956696039283428,"Global"
"KL128",0.00159104930347006,0.00142331826448474,0.000336235166369791,0.00382541542648269,"Global"
"KL13",0.00210628223001918,0.00194764488739158,0.000596861758496325,0.00450718861039243,"Global"
"KL131",0.00105490226715426,0.000892362980379882,0.000129324955924206,0.00291619352629369,"Global"
"KL134",0.000520287169461479,0.000355753486220413,1.2349999392517e-05,0.00190138446765619,"Global"
"KL136",0.00581321178090043,0.00563116379138139,0.00293216545949505,0.00975431555476266,"Global"
"KL137",0.000527337610892041,0.000365445129236362,1.22693731378722e-05,0.00194413398261825,"Global"
"KL139",0.000523303862440418,0.000362303506618947,1.36415927784934e-05,0.00191737211386282,"Global"
"KL14",0.00316797314176057,0.0030031858722176,0.00112556386779877,0.00614726611391697,"Global"
"KL140",0.000527370772609855,0.000367514070511573,1.33325617290816e-05,0.00192391020174113,"Global"
"KL141",0.00105593351146089,0.000890465788402659,0.000130878621046139,0.00286125554542501,"Global"
"KL142",0.00159195556006559,0.00142237602432308,0.000326850111172541,0.00387501702471002,"Global"
"KL143",0.00105583825661124,0.000873035914847226,0.000128821425385511,0.00296237296003582,"Global"
"KL144",0.00052470154501319,0.000365254496083395,1.52096939966335e-05,0.00196582209922141,"Global"
"KL146",0.00105508519510089,0.000885893809612622,0.000126961908493914,0.00288495890940474,"Global"
"KL149",0.025827082056258,0.0256997107603964,0.0196122026360374,0.0327737098415773,"Global"
"KL15",0.0997469297195557,0.0996724110411172,0.0870588667275086,0.113193886771942,"Global"
"KL151",0.00583135583981499,0.00566817183905605,0.00290153721860833,0.00972086298994164,"Global"
"KL155",0.00212561338211864,0.00196212980839186,0.000602072601547638,0.00459414201062975,"Global"
"KL157",0.0153063859595011,0.0151454450693209,0.0102434464581281,0.0213165052806915,"Global"
"KL158",0.00105464400200354,0.000884651577424254,0.00013451627804492,0.00292383776101096,"Global"
"KL16",0.0105558178861511,0.0103761306949587,0.00645838153726317,0.0156810126481964,"Global"
"KL163",0.000521862326019767,0.000361662451226579,1.48290511146472e-05,0.0019079202536536,"Global"
"KL169",0.00104213795185618,0.00088514148480274,0.000123831590173914,0.00287915883476427,"Global"
"KL17",0.018456054653486,0.0182770848774374,0.0128853030828602,0.0249028681778159,"Global"
"KL171",0.00105225753760771,0.000881148859206368,0.000125249192574249,0.00295939539011686,"Global"
"KL179",0.000522782213109127,0.000369115462413843,1.34006895456296e-05,0.00192396085390159,"Global"
"KL18",0.00263138663202203,0.00246920275855221,0.000865371464465346,0.00529892443485435,"Global"
"KL180",0.00263156617985248,0.00246941489663907,0.000840899766207896,0.00536959972852332,"Global"
"KL183",0.000534119528841801,0.000374828551726027,1.29480356042035e-05,0.00197963473381162,"Global"
"KL186",0.000527552506266259,0.00037114515975132,1.42346243459951e-05,0.00191437586344987,"Global"
"KL19",0.012630389995163,0.0124538322291912,0.00811897156231908,0.0182377363583563,"Global"
"KL2",0.121783032368381,0.121670149045002,0.10795778330912,0.136307767245762,"Global"
"KL20",0.00263400279320713,0.00245434481620181,0.00087181146082182,0.00538382448300897,"Global"
"KL21",0.00104773475573275,0.000881025436348676,0.000123115617311184,0.00291617507498208,"Global"
"KL22",0.000524078982300563,0.000365078566437547,1.26336322229073e-05,0.00194781473585341,"Global"
"KL23",0.0242608885096373,0.0240759226165227,0.018000477196391,0.0316237964235702,"Global"
"KL24",0.010553349155722,0.0103822153571462,0.00643900869183686,0.0156071431816241,"Global"
"KL25",0.055350237835398,0.0552125870781442,0.0456392684052465,0.0658260170648527,"Global"
"KL27",0.00210594844256073,0.00193760450115985,0.00059111878388748,0.00457021869411358,"Global"
"KL28",0.0136887067044462,0.0135416679439019,0.0089539824354999,0.0192462967232517,"Global"
"KL3",0.00996865842161757,0.00981954548982418,0.00597845069264383,0.0149424978327181,"Global"
"KL30",0.0284413536858411,0.0282406662261802,0.0215290700759364,0.0362800745365667,"Global"
"KL31",0.00156752569442902,0.00140624430323536,0.000318959027882612,0.00386105836005263,"Global"
"KL34",0.00106631993902046,0.000894071835740288,0.000134465682868349,0.00295620151200501,"Global"
"KL35",0.00208925950203241,0.00191888786111466,0.000575612790063728,0.0045506170378859,"Global"
