"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00842816550666777,0.00813722271922806,0.00391012628340759,0.0145744295324507
"KL10","Southern Africa",0.0118435693923832,0.0106434731766047,0.00267730683579741,0.0281209185824054
"KL10","Southern Asia",0.0301957787180554,0.0294193982321821,0.0156333002680433,0.0489474669638622
"KL10","Western Africa",0.0140826432498656,0.0106506314400932,0.00106366330023243,0.0471138901338373
"KL102","Eastern Africa",0.247856041991673,0.247804884711141,0.222024068873238,0.274074875127823
"KL102","Southern Africa",0.13021070198015,0.128903981658077,0.091889511083897,0.174808544319159
"KL102","Southern Asia",0.0769238181700417,0.0763218216387568,0.0531402802190867,0.105010142692523
"KL102","Western Africa",0.131729742056634,0.128844907188068,0.0677391022496643,0.214211381839106
"KL104","Eastern Africa",0.0533479046724659,0.0530766553334049,0.0406939052429941,0.0676447130382175
"KL104","Southern Africa",0.00114086877831276,0.000477392062198855,7.92265076479181e-06,0.00622660742631328
"KL104","Southern Asia",0.00114411889423586,0.00059510031243913,1.49911680298203e-05,0.00536977815945444
"KL104","Western Africa",0.00276267007710027,0.000975731758637227,1.28159716653282e-05,0.0165017567258209
"KL105","Eastern Africa",0.00176482055104908,0.00147148921432084,0.000247600132680514,0.00489532355254943
"KL105","Southern Africa",0.00082791713756169,0.000296396837975114,4.5134771145592e-06,0.00477194036217754
"KL105","Southern Asia",0.00442646636031178,0.00364710475712893,0.000566949169897522,0.0126823181486881
"KL105","Western Africa",0.00202992676429297,0.00062041745438761,7.26715477202961e-06,0.0127204925575389
"KL106","Eastern Africa",0.00235122600349742,0.00206345040335294,0.000454109762057335,0.0058427477874596
"KL106","Southern Africa",0.000550661907369869,0.000141284184288931,1.05126974875121e-06,0.00377289613986481
"KL106","Southern Asia",0.00063520167040191,0.000237529601331765,3.03194003549509e-06,0.00365615721406362
"KL106","Western Africa",0.00120430214695783,0.000276203717519963,2.0720440591921e-06,0.00867826610380826
"KL108","Eastern Africa",0.0353467072188766,0.0350735054978439,0.0250126602095657,0.0471743872246613
"KL108","Southern Africa",0.00416871002247383,0.00308856715967944,0.000255484047319729,0.0141893998399866
"KL108","Southern Asia",0.00152922581124131,0.000931281316378889,3.77897536482283e-05,0.00628883608345001
