"locus","mean","median","lower","upper","subgroup"
"KL10",0.0146014470034263,0.0144441875958785,0.00962161890058238,0.0204873539149715,"Global"
"KL102",0.192335122612662,0.192221463818684,0.175189671844985,0.210262763237072,"Global"
"KL104",0.0359600579424872,0.0358222159082139,0.0277657945485565,0.0449655897792703,"Global"
"KL105",0.00112222444958827,0.000935722727326557,0.000139966702336682,0.00313815457254583,"Global"
"KL106",0.00169697455286395,0.00150102609209134,0.000359240071412727,0.00415559706776232,"Global"
"KL108",0.0230574254836229,0.02285040254435,0.0168078078256976,0.0304302251573939,"Global"
"KL109",0.00112602230232221,0.000948347256168862,0.00013289027089737,0.00314487547293523,"Global"
"KL11",0.000563362718577957,0.000391043089995201,1.45019959874609e-05,0.0020873795236327,"Global"
"KL110",0.00396635527237333,0.00377613838221593,0.00161273704403675,0.0074572831792497,"Global"
"KL111",0.00224063114192574,0.0020642328093544,0.000626995241981538,0.00481616955678215,"Global"
"KL112",0.0134712609393766,0.0133212209294193,0.00874583668120153,0.019098343307311,"Global"
"KL116",0.00337181110810449,0.00321671744425871,0.00125116936998577,0.00642154752900449,"Global"
"KL117",0.0028118581289001,0.00261094521256523,0.000931970854407738,0.0056774388436302,"Global"
"KL118",0.00111902677813066,0.000938295762605068,0.000133877765583612,0.00311919134634418,"Global"
"KL12",0.000562044965161053,0.000394423118472353,1.6367673713623e-05,0.00205166306266795,"Global"
"KL122",0.015735418736942,0.0155520181692096,0.0105529897089545,0.021946554365548,"Global"
"KL123",0.000554280091404203,0.000388473696486034,1.41007375810071e-05,0.00201325192699843,"Global"
"KL124",0.00111926296847565,0.000942487126667435,0.000134228718752469,0.00309007424673509,"Global"
"KL125",0.000556778425491958,0.000386970537389225,1.32854646269815e-05,0.00199111843323644,"Global"
"KL127",0.00561190120285235,0.00542987943904459,0.00266226760582911,0.00954291377239266,"Global"
"KL128",0.00167774219433686,0.00150391158666742,0.000347245947284248,0.00398892317295954,"Global"
"KL13",0.00225227154162775,0.00206874739440452,0.000610414272424555,0.00494975346411322,"Global"
"KL131",0.00112204783861107,0.000940852972385048,0.000133737539417196,0.00315100791448734,"Global"
"KL134",0.000558071149577945,0.000391412404942121,1.38178727274019e-05,0.00202002049993783,"Global"
"KL136",0.00452253403546923,0.00433643417105182,0.00194618959063738,0.00811081176256972,"Global"
"KL137",0.000551832814400111,0.0003845990308461,1.27873368510072e-05,0.00200114408849013,"Global"
"KL139",0.000570809415722239,0.000392271317637471,1.27472822347441e-05,0.00217289425713213,"Global"
"KL14",0.00280285743812115,0.00261593366188987,0.000900991752079865,0.00570667687025729,"Global"
"KL140",0.000560095085499537,0.000390847250314557,1.38024016395763e-05,0.00208405852369634,"Global"
"KL141",0.00111130434843641,0.000929928399539924,0.000132198843449515,0.00308125012750286,"Global"
"KL142",0.00168616106816596,0.00150269831361903,0.000325217329114575,0.00405544275709149,"Global"
"KL143",0.00113878867601215,0.000949957089033538,0.000129669872609931,0.00324089056893084,"Global"
"KL145",0.00337303438500646,0.0031962098018601,0.00124392109523016,0.0064630545509505,"Global"
"KL146",0.000558961630680428,0.000387320022279831,1.37944136277508e-05,0.00206145965263272,"Global"
"KL149",0.0269691074006693,0.0268405450396815,0.0203389293419324,0.034275645538154,"Global"
"KL15",0.0982202118502498,0.0980401770131454,0.0855702203505031,0.111703634020821,"Global"
"KL151",0.00618729730788107,0.0060231803235192,0.00313876886826365,0.0102436524828176,"Global"
"KL155",0.0011168419409046,0.000936811583173829,0.00013744428637197,0.00309983193431289,"Global"
"KL157",0.016313604655054,0.0161467393515113,0.0110593921715623,0.0225327110386735,"Global"
"KL158",0.000563385681866693,0.000388769869354675,1.28899383049993e-05,0.00208599532489868,"Global"
"KL16",0.00957451941143083,0.00938218761493421,0.00565223227419791,0.0145088832225739,"Global"
"KL163",0.000558047381956352,0.000389281270130541,1.43026113473027e-05,0.00202109864229169,"Global"
"KL169",0.00112483391098061,0.000951533906537924,0.000139095050366542,0.00310162505385165,"Global"
"KL17",0.0179240696635551,0.0177221685781725,0.0122612136837937,0.0245071463071837,"Global"
"KL171",0.00112504018463352,0.000933579624688256,0.000140780103712684,0.00313965283180168,"Global"
"KL179",0.000561837600647057,0.000386290158601246,1.46502074920308e-05,0.00206188490658286,"Global"
"KL18",0.00282109033902806,0.00263417740171952,0.000935345620340445,0.0057844069690459,"Global"
"KL180",0.00280617541822517,0.00261301248753768,0.00091640291100945,0.00574980488789795,"Global"
"KL183",0.000554622153875706,0.000381602159499491,1.38738673374646e-05,0.00206845183591464,"Global"
"KL186",0.000564197043372663,0.000387873595278428,1.3957653116858e-05,0.002077817972076,"Global"
"KL19",0.010664281622725,0.0104616278437797,0.00644625108627938,0.0160933762481988,"Global"
"KL2",0.127613255478699,0.127494274614327,0.112761426615507,0.142931222781171,"Global"
"KL20",0.00167995152080409,0.00150593191474122,0.000358357832750041,0.00403406422114543,"Global"
"KL21",0.0011184416871595,0.000934460476476611,0.000135333922249771,0.00311125159136822,"Global"
"KL23",0.0253029804753092,0.0251468109721848,0.0185532303240008,0.0330616493044593,"Global"
"KL24",0.0106723140279433,0.0104994377217248,0.00641090391598264,0.01607617397714,"Global"
"KL25",0.056180911087775,0.0559700989487661,0.0464123572888204,0.0669061877118234,"Global"
"KL27",0.00227540772358901,0.00207874055105841,0.000608894984979142,0.00498714705955417,"Global"
"KL28",0.00731364120230463,0.00716174688056593,0.00399054045364704,0.0115507987085826,"Global"
"KL3",0.0101672716007141,0.00997452012457544,0.00602980163310532,0.0154587875005409,"Global"
"KL30",0.0242469970554153,0.0241000200399468,0.0175828668034797,0.0318491362746481,"Global"
"KL31",0.00170113168654703,0.0015159797167931,0.000354503650279065,0.00409310359587006,"Global"
"KL34",0.00112801635437894,0.000952952003858773,0.000137644333380947,0.00311730670514649,"Global"
"KL35",0.00225492295260181,0.00206691684964784,0.000617379977545767,0.00495659945102513,"Global"
"KL36",0.00339507440681543,0.00321324474797227,0.00124629941166122,0.00661335245824171,"Global"
"KL38",0.00562332759208246,0.00546165261837374,0.00274514095311386,0.00953164914425077,"Global"
"KL39",0.0145899304930352,0.0144223910442322,0.00958637498721328,0.0205409017975731,"Global"
"KL43",0.00447896026257861,0.00429047943402275,0.00192965628566523,0.00807901410315656,"Global"
"KL45",0.000556383801049696,0.000388084498928164,1.38427785222274e-05,0.00204167697415121,"Global"
