"locus","mean","median","lower","upper","subgroup"
"KL10",0.0191678796191971,0.0189690799326792,0.0132345873847065,0.0261538015838441,"Global"
"KL102",0.205777071964409,0.205743152770407,0.186570205177088,0.225191609517106,"Global"
"KL104",0.039644973069116,0.0394995046366121,0.0306488687043704,0.049507009850961,"Global"
"KL105",0.00248811355145332,0.0022899352422067,0.000670448561656417,0.00543852100197325,"Global"
"KL106",0.00123469801281938,0.00103851336498932,0.00014048587262875,0.00343516159033085,"Global"
"KL108",0.00123222216027614,0.00102767821225756,0.000152639779921758,0.00351115562036277,"Global"
"KL109",0.00183636523555622,0.00164396352414127,0.000377909814760319,0.00439588500737504,"Global"
"KL11",0.000616369525111371,0.00043065411284024,1.47104272150133e-05,0.00230213949112601,"Global"
"KL110",0.00432632224783218,0.00412254648105814,0.00175537144998084,0.00814109497109157,"Global"
"KL111",0.00246505455174393,0.00227002697650542,0.000667244454671702,0.00548980095223514,"Global"
"KL112",0.0049437413539171,0.00474976068412704,0.00214915709952043,0.00886462179114136,"Global"
"KL114",0.000612481959469206,0.000426300480344563,1.446309179479e-05,0.00220150777803226,"Global"
"KL117",0.000613544460178518,0.000418590346466824,1.60075729100467e-05,0.0022911093357395,"Global"
"KL118",0.00123040700738448,0.00104182633184186,0.000151282085668918,0.00337415350489355,"Global"
"KL122",0.0141703476001966,0.0140344778167715,0.00894442438937697,0.0204129627781389,"Global"
"KL123",0.000629665704448751,0.000436822309843788,1.46398363527439e-05,0.00230534429998991,"Global"
"KL124",0.0012353368838952,0.00103968013640657,0.00015515450079179,0.00339817284907994,"Global"
"KL125",0.00062045527438553,0.000430619354658743,1.56571684623448e-05,0.00226797802529518,"Global"
"KL127",0.00619782129378835,0.00600526946224458,0.00308995719750815,0.0103743966708373,"Global"
"KL128",0.000615541953223747,0.000424738020059302,1.57495174886178e-05,0.00230860310899127,"Global"
"KL13",0.00184907719473224,0.00165078744759685,0.000380554923358518,0.00446565689080344,"Global"
"KL131",0.00122112631694812,0.00102064710218993,0.000150334056576247,0.0034311478924585,"Global"
"KL134",0.000625114718902086,0.000433963643494317,1.71583171117214e-05,0.00232544638670367,"Global"
"KL136",0.00431921886468624,0.00412129270894159,0.00168812964038317,0.00811636127935767,"Global"
"KL139",0.000622889581223332,0.000441486263673105,1.64574764387521e-05,0.00223708165471767,"Global"
"KL14",0.00246934470814254,0.00227358540714618,0.00069069823786694,0.00540804575310816,"Global"
"KL140",0.000617875827365627,0.000426659471148055,1.60637176995091e-05,0.00225632762942088,"Global"
"KL141",0.00125126463778383,0.00106361923365947,0.000150890265427162,0.00340721712725893,"Global"
"KL142",0.00185298700845269,0.00165035456087172,0.000379023401776725,0.00446340715906611,"Global"
"KL143",0.00123495927263254,0.00103172684650102,0.000145245327133107,0.00343958855347657,"Global"
"KL144",0.00061755459668423,0.000434952649523215,1.66554972093568e-05,0.00224343789214947,"Global"
"KL145",0.0037096744961444,0.00351760228999625,0.00136994445122471,0.00713274184428631,"Global"
"KL146",0.00124010571928654,0.00104383874793835,0.000152189901997667,0.00343197452738283,"Global"
"KL149",0.0296319202489854,0.0295070237535559,0.0224059236981515,0.0377035400564857,"Global"
"KL15",0.0896805669664758,0.0895571698553468,0.0770123431724118,0.102903736639527,"Global"
"KL151",0.00677584677766818,0.00655665252789613,0.00339364118625484,0.0113814019662932,"Global"
"KL155",0.00122306061132663,0.00102705534257928,0.000153690372747258,0.00338143120495589,"Global"
"KL157",0.0178396503393788,0.017665679919594,0.0120145390616168,0.0247294798999442,"Global"
"KL158",0.000616487329015214,0.000424816734448624,1.62176600865399e-05,0.00230007340749762,"Global"
"KL16",0.0105115226627823,0.010334847861984,0.00616585631113096,0.0159590870240298,"Global"
"KL163",0.000609163129064536,0.000421136386477633,1.49153380725983e-05,0.00223601242864262,"Global"
"KL169",0.000620811024835707,0.000431058765167355,1.5307722915122e-05,0.00230276893281075,"Global"
"KL17",0.0210204827041914,0.0208144334473354,0.0147431721583336,0.0285490443046687,"Global"
"KL171",0.00122715536310767,0.00103491413798015,0.0001524257103061,0.00347241227319095,"Global"
"KL179",0.000618240974062802,0.000431528577151651,1.51266437225149e-05,0.00229460669644176,"Global"
"KL18",0.00246863893790355,0.00227234314035043,0.000666593794548951,0.00537956585303272,"Global"
"KL180",0.00310233846900789,0.00291807004266924,0.000982675976585409,0.00632852369980219,"Global"
"KL183",0.000613812458893432,0.000425821828320541,1.52582850245771e-05,0.00228568080203071,"Global"
"KL186",0.000622760648172496,0.000434983093205904,1.69193510443834e-05,0.00231540252206423,"Global"
"KL19",0.0129801621380881,0.0128072985293854,0.00807565601982453,0.0188957746251046,"Global"
"KL2",0.13593110636121,0.135866300502974,0.119964511637753,0.15272944771282,"Global"
"KL20",0.00184942088704279,0.00165773777220978,0.000379817878437542,0.00437159059932221,"Global"
"KL21",0.0012319393893906,0.00102324602830849,0.000144580702958185,0.00345049790529002,"Global"
"KL22",0.000626292652574657,0.000429084257983263,1.4856461777048e-05,0.00229768682853274,"Global"
"KL23",0.0265385271487854,0.0263194829474646,0.0193708836235418,0.0347889516178306,"Global"
"KL24",0.00989238002199611,0.00969430805752623,0.00567326055819137,0.015234611546479,"Global"
"KL25",0.0617846306360527,0.061602659243745,0.0508149656708879,0.0735260533984683,"Global"
"KL27",0.00245896346975652,0.00225848477238755,0.000694481528741083,0.00538085542903104,"Global"
"KL28",0.00248342682166008,0.00228504177456648,0.000665669330975375,0.00543731671757107,"Global"
"KL3",0.0117178610359936,0.0114848621487321,0.00702176503520079,0.0176110542129225,"Global"
"KL30",0.0266288569855684,0.0264455805247189,0.0190888459131894,0.0351513205172444,"Global"
"KL35",0.00246445807143015,0.00226059372346577,0.000663941704789869,0.00538185972593992,"Global"
"KL36",0.00557937931741123,0.00539178563892473,0.00258709161241082,0.00967712241878197,"Global"
"KL38",0.00492142961822454,0.00471028934034127,0.00213350767946514,0.00887758083419278,"Global"
"KL39",0.0105077218114415,0.0103094136342358,0.00614047333762682,0.0159703703396739,"Global"
"KL43",0.00492551171388909,0.00470321756287147,0.00213586938190737,0.00894332036448336,"Global"
"KL45",0.000620100397735722,0.00043134805770384,1.68199403565754e-05,0.00226128618489208,"Global"
"KL46",0.0006270229243963,0.000433511285355478,1.56646073866508e-05,0.00236939658099776,"Global"
"KL47",0.0018589686314254,0.00165564722958027,0.000387445227188545,0.00447856337162203,"Global"
"KL48",0.0136263797570279,0.0134350507882057,0.00859483506325724,0.0197416854671057,"Global"
"KL49",0.00309663575484638,0.00288502848556604,0.000991940445103622,0.00637879344799834,"Global"
"KL51",0.0117314815356433,0.0115172517418085,0.00715499885715722,0.0174323266384011,"Global"
"KL52",0.00493034810506649,0.00472989123565802,0.00215291852214504,0.00882076466564012,"Global"
"KL54",0.0111430189077353,0.0109660718352411,0.00671676792095036,0.0167357816085772,"Global"
"KL55",0.00123734298196654,0.00103609105466378,0.000159816206398231,0.00346290879580118,"Global"
"KL57",0.000625914134699022,0.000423756907740524,1.56302924410338e-05,0.00234829321085627,"Global"
"KL61",0.000618934003674869,0.0004302174449356,1.73394898684795e-05,0.00225887160816726,"Global"
"KL62",0.0339119913553905,0.033691192352937,0.0257406300558843,0.0432437920595684,"Global"
"KL64",0.00868639887772391,0.00846469989465825,0.00475519716131586,0.0137796620332179,"Global"
"KL67",0.00246273495157259,0.00225908277430941,0.000671844836296985,0.00538002868793892,"Global"
"KL7",0.00247474124183909,0.0022805078294018,0.000661772890546374,0.00533348228188841,"Global"
"KL8",0.0185578941267074,0.0183309823069309,0.0127898899605296,0.0253844583687937,"Global"
"KL81",0.0297060675695733,0.0295397701313322,0.0223606489070244,0.0379340630313055,"Global"
"KL9",0.0129957467351908,0.0128113337534392,0.0081352921157471,0.0189740668710864,"Global"
