"locus","mean","median","lower","upper","subgroup"
"KL10",0.0171716348508906,0.0169810397940513,0.0116475089235006,0.0236081129363091,"Global"
"KL102",0.189275244957934,0.189245615755933,0.171412448512706,0.207307130280767,"Global"
"KL104",0.0354524471504062,0.0352592047855277,0.0276122822594355,0.0446403685943997,"Global"
"KL105",0.00220965526075245,0.00203720980418157,0.0006031586806168,0.00481885659114817,"Global"
"KL106",0.0016713748386157,0.00149477615959669,0.000356573614163563,0.00400422955621194,"Global"
"KL108",0.0227153562947594,0.0225022579411859,0.0165148331007304,0.0300091920598931,"Global"
"KL109",0.00164207941108958,0.00147433812874728,0.000328644983779278,0.00385649335267688,"Global"
"KL11",0.000547869716586025,0.000382370475390593,1.4423993172586e-05,0.00201691146696528,"Global"
"KL110",0.00385593057407162,0.00367855505808967,0.00154615489411979,0.00719025719326903,"Global"
"KL111",0.00220952893910553,0.00202653796618245,0.00059199689789839,0.00478733476699242,"Global"
"KL112",0.0138231045247613,0.0136638358925282,0.00897079046367603,0.0196837370810741,"Global"
"KL114",0.000548089701909295,0.000387085851128878,1.39880270512932e-05,0.00200588172585431,"Global"
"KL116",0.00333194180482861,0.00318506153565919,0.00127464866588932,0.00626342785023663,"Global"
"KL117",0.00277708017829153,0.00259510714596792,0.000903027240361857,0.0056980255724459,"Global"
"KL118",0.00111492234799099,0.000923599176769176,0.000139558121831125,0.00311332928610027,"Global"
"KL12",0.000553731531176084,0.000384288242978395,1.30959092205759e-05,0.00207773272969254,"Global"
"KL122",0.0154941064801354,0.0152796571998939,0.0103561690217632,0.0217390007816276,"Global"
"KL123",0.000555453522542161,0.000384495427030598,1.30869315044744e-05,0.00204732156305827,"Global"
"KL124",0.00110647697840313,0.000938807980365261,0.000129830577085432,0.00307159886967522,"Global"
"KL125",0.000556790893172148,0.000381439562662114,1.39761758137953e-05,0.00207326112418839,"Global"
"KL127",0.00552219747670198,0.00534865493959276,0.00269425985648745,0.00935368123317094,"Global"
"KL128",0.00165389683520546,0.0014776065666297,0.00031665223591771,0.00396186892860749,"Global"
"KL13",0.00164083889809786,0.00147156373281694,0.000330409584729405,0.00397976149703097,"Global"
"KL131",0.00109520523621807,0.000916351630461708,0.000135744828545557,0.00306193859405409,"Global"
"KL134",0.000554545693874862,0.000394919301031841,1.41437304473036e-05,0.00203487275912439,"Global"
"KL136",0.00553781646622177,0.00536619374482302,0.00263398483837738,0.00943563817139207,"Global"
"KL137",0.0005465798940806,0.00037912535110438,1.20569211814706e-05,0.00202389666212365,"Global"
"KL139",0.000549479745282457,0.000382959440069793,1.42124249419135e-05,0.00202792869652595,"Global"
"KL14",0.00331809937320733,0.00315158885930182,0.00119431629713161,0.00650816429079589,"Global"
"KL140",0.000558341493171592,0.000386013228690616,1.41456486742552e-05,0.00211943429571175,"Global"
"KL141",0.00109852511689406,0.000918241512532754,0.000137247388222945,0.00313082950437106,"Global"
"KL142",0.00165173309481082,0.00147636009658506,0.000347766956678387,0.00392371118866124,"Global"
"KL143",0.00111698148720732,0.0009344414836692,0.000133452587922352,0.00307072351756219,"Global"
"KL144",0.000549113285490192,0.000381212869401481,1.29788817078506e-05,0.00206399600515967,"Global"
"KL145",0.00333081769744489,0.00316616320866551,0.0012445788477293,0.00639260483675775,"Global"
"KL146",0.00109478884270098,0.000914358376346105,0.000135762993991539,0.00303159979986242,"Global"
"KL149",0.0265979102468353,0.0264888514570539,0.0202080759667513,0.0336897848672087,"Global"
"KL15",0.098043433367237,0.097946133030661,0.0852692044203701,0.111273211954109,"Global"
"KL151",0.00607554514968441,0.00588733582006726,0.0030419727278037,0.0100905699903928,"Global"
"KL155",0.0016670331104825,0.00148662324796892,0.000359211336824046,0.00396636570595133,"Global"
"KL157",0.0160308134689427,0.0158797455502769,0.0107709719394382,0.0223773209161631,"Global"
"KL158",0.000553889115293142,0.000387238047619279,1.28671146669601e-05,0.002024179576333,"Global"
"KL16",0.00945662691427289,0.00927450934486838,0.0054719312061531,0.0143955804607256,"Global"
"KL163",0.000556692613422168,0.000393978831911803,1.42275152813335e-05,0.00206859674618301,"Global"
"KL169",0.00110785899957887,0.000928436723945053,0.000136594330233733,0.00304124152762273,"Global"
"KL17",0.0187986963403925,0.0186075161509019,0.0130592145016396,0.0255446993491118,"Global"
"KL171",0.0011249801389092,0.000940794036411303,0.000141597216638431,0.00315202104787409,"Global"
"KL179",0.000552057591028315,0.000381951548524978,1.41050805636679e-05,0.00204312547429197,"Global"
"KL18",0.00277031016697959,0.00258221685117305,0.000913925336382536,0.00566538153587012,"Global"
"KL180",0.00275931698611329,0.00258854719730817,0.000897503200671184,0.00570356870936969,"Global"
"KL183",0.000560166370878334,0.000383996373381997,1.34147734072024e-05,0.00212013939590448,"Global"
"KL186",0.000547585810196552,0.000385672390050578,1.43604750406115e-05,0.00196233762929186,"Global"
"KL19",0.0116128720532007,0.0114283614281586,0.00719876890263418,0.0169535962931438,"Global"
"KL2",0.126099667550353,0.125886253128014,0.111666293041241,0.141363243953388,"Global"
"KL20",0.00168101955886357,0.00150708496610309,0.0003579165396714,0.00398012212958877,"Global"
"KL21",0.00109919852866171,0.000923456645634457,0.000135651127364319,0.0030481649379094,"Global"
"KL22",0.000552278772441392,0.000383712834352537,1.3930661390333e-05,0.00207563446774913,"Global"
"KL23",0.0248754521346902,0.024709118840498,0.0181604619155131,0.0325323254045129,"Global"
"KL24",0.0110936791111712,0.0108827818448937,0.00679694753614256,0.0163544219630251,"Global"
"KL25",0.0553145002420668,0.0551140846227229,0.0452218613264743,0.0662586355063178,"Global"
"KL27",0.00221181066538289,0.00204690252225524,0.000596067159335011,0.00484558364833108,"Global"
"KL28",0.0071939845492653,0.00704379467795569,0.00397049795649845,0.0113273029243456,"Global"
"KL3",0.0105194548977614,0.0103418783753092,0.00633176796164267,0.0157851487582164,"Global"
"KL30",0.0243487401075436,0.0241900317357528,0.0178684725862907,0.0317781327374675,"Global"
"KL31",0.00165508804312443,0.00147998366062293,0.000365751254311474,0.00393252915181742,"Global"
"KL34",0.00111341211468746,0.000933611385078566,0.000137130658369198,0.0030904913934154,"Global"
"KL35",0.00168098754037639,0.00149109930839367,0.000356868050427363,0.00408860372353617,"Global"
"KL36",0.00497620178184362,0.00479183462760333,0.00226633419315817,0.00870167950926604,"Global"
"KL38",0.00551527468014361,0.005336784789523,0.00269231594979184,0.0093060406078153,"Global"
"KL39",0.0138158268918118,0.0136378229045955,0.00901912355550944,0.0195721564626531,"Global"
"KL43",0.00443054803615028,0.00426122145937168,0.00189664771468571,0.00792729094680197,"Global"
"KL45",0.000552207093077851,0.000378042595894471,1.49839050122972e-05,0.00204581820922217,"Global"
"KL46",0.00110589369541275,0.000925495910997834,0.000136670050910468,0.00310854106789318,"Global"
"KL47",0.00164914262311931,0.00146852412761279,0.000328061204229056,0.0040468433543998,"Global"
"KL48",0.0105323867817747,0.0103647009259462,0.0064183218433115,0.0158292862215756,"Global"
"KL49",0.00276189211927705,0.00258678913006564,0.000875274921546847,0.00565632350667623,"Global"
"KL51",0.0105114290598985,0.010326794835159,0.00643089936991647,0.0156256592030671,"Global"
"KL52",0.00552570944591441,0.00533023865025023,0.00269342492638727,0.00941990654012085,"Global"
"KL53",0.00442613845565874,0.00428300592542946,0.00198957325211268,0.00772286963880561,"Global"
"KL54",0.0105110842554794,0.0103223229650979,0.0063652377667367,0.0157314318068239,"Global"
"KL55",0.0016633156065208,0.0014846214176172,0.00035128370305977,0.00397211346663844,"Global"
"KL57",0.00719690020167983,0.00700809691509826,0.00389987750500224,0.011557367941479,"Global"
"KL61",0.000549775326307643,0.000387980166093869,1.52646937376419e-05,0.00196350735778881,"Global"
"KL62",0.0365147055856598,0.0363295855974084,0.028415782361431,0.0456049228881915,"Global"
"KL64",0.0121775913013038,0.0120302109278031,0.00775662477245956,0.0174928476995352,"Global"
"KL67",0.00221884139704563,0.00203190447765664,0.000592894059168378,0.00482284309981985,"Global"
"KL7",0.00221726956775787,0.00202507624923536,0.000571379700922755,0.00486500445823647,"Global"
"KL8",0.007742970852542,0.00756476764196809,0.00422523733753601,0.0122173628111391,"Global"
"KL81",0.0266374759021526,0.026506049897213,0.0199061136161888,0.0342688322315178,"Global"
