"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00841849555040485,0.00814731597944897,0.00395081831386384,0.0144558722215853
"KL10","Southern Africa",0.0135506394699877,0.0120985492782687,0.0029894324040362,0.0324573255030062
"KL10","Southern Asia",0.0417322324005091,0.0409755444668324,0.0250227648460935,0.06322030406598
"KL10","Western Africa",0.0148467342118908,0.0113404075338411,0.00103067358507703,0.0485518889190946
"KL102","Eastern Africa",0.247779719738768,0.24757529857526,0.222328980117838,0.273428179961588
"KL102","Southern Africa",0.148205164405928,0.147035654516924,0.103972847506806,0.199382631655784
"KL102","Southern Asia",0.0709640551269408,0.0701678535640534,0.0485512234123294,0.096901547959172
"KL102","Western Africa",0.131874881013035,0.128841806579613,0.0677834797295765,0.213989284432024
"KL104","Eastern Africa",0.0536154935394007,0.0532914044828951,0.0412480668329259,0.0680581212134143
"KL104","Southern Africa",0.00176086236136956,0.000855525338280225,2.05984578484509e-05,0.00885749073269162
"KL104","Southern Asia",0.0116330625096747,0.01089962151289,0.00378637476744097,0.0238470274680532
"KL104","Western Africa",0.00433416364540767,0.00195508597705875,4.64635516693916e-05,0.0222255834508794
"KL105","Eastern Africa",0.00174695685115623,0.00147217405942699,0.000231333426282233,0.00480756316868954
"KL105","Southern Africa",0.000862127275381597,0.000281726492423419,3.62376404430848e-06,0.00533304929573261
"KL105","Southern Asia",0.00411496624441207,0.00339035373520457,0.000523267353117001,0.0116277458280636
"KL105","Western Africa",0.00194688282499394,0.000594553441001078,8.06159685983685e-06,0.0121195640497056
"KL106","Eastern Africa",0.00233954515065988,0.00205431410670026,0.00046192354536811,0.00589940691703761
"KL106","Southern Africa",0.000551006025407779,0.000128988759911663,9.8745311362824e-07,0.0038469111030932
"KL106","Southern Asia",0.000601647282913456,0.000235626384771885,3.11412595295938e-06,0.00339938115522523
"KL106","Western Africa",0.00127684182951646,0.000263310405156089,1.87433125911974e-06,0.0089458297831322
"KL108","Eastern Africa",0.035378524923708,0.0349864517779482,0.025310556359822,0.0471041873805342
"KL108","Southern Africa",0.00460488937205904,0.00332536336990346,0.000270075137649505,0.0160860278706888
"KL108","Southern Asia",0.00146483387590994,0.000919499015824922,3.98901247824935e-05,0.00597286534119294
"KL108","Western Africa",0.0118934197724471,0.00844770927757965,0.000605725016934797,0.0431540898410172
"KL109","Eastern Africa",0.00164338811297898,0.00138547100783316,0.000216696295991638,0.00455967730469939
"KL109","Southern Africa",0.000731569279586747,0.000214485453305142,2.35253234709218e-06,0.00460243333441635
"KL109","Southern Asia",0.00208967814373026,0.00148845976732859,9.94863590205703e-05,0.00729968899579492
"KL109","Western Africa",0.00168431418843153,0.000437514083510773,4.81078180352209e-06,0.0117923232779485
"KL11","Eastern Africa",0.0002134546469679,7.26920865564451e-05,5.29746228864624e-07,0.00126515159468251
"KL11","Southern Africa",0.000345378437409691,5.81967521771545e-05,2.40971522570167e-07,0.00265277021976251
"KL11","Southern Asia",0.00145647882901016,0.000855697891266767,2.22600218757256e-05,0.00618809404316766
"KL11","Western Africa",0.000807574253848446,0.000106517739062013,4.59139084352077e-07,0.00637847264017666
"KL110","Eastern Africa",0.00280036083572056,0.00252300182587947,0.000616651875166657,0.0066304954987109
"KL110","Southern Africa",0.00756042593715259,0.00612436147583302,0.000840352937080369,0.0220977171950937
"KL110","Southern Asia",0.00477872063021724,0.00408495947892954,0.000672986043184946,0.0131941777222444
"KL110","Western Africa",0.00331668831127858,0.00136907000105443,2.62963354470479e-05,0.0184650934623386
"KL111","Eastern Africa",0.00251661597380142,0.0022183392613275,0.0005138838227798,0.00612047688833182
"KL111","Southern Africa",0.000801643297462868,0.000254088719195581,3.15817877378656e-06,0.00503723237197014
"KL111","Southern Asia",0.00220483701229127,0.0015907183083535,0.000113940828223982,0.00797619142803734
"KL111","Western Africa",0.00181849058277711,0.000529706872303319,5.80323030154149e-06,0.0116298485033001
"KL112","Eastern Africa",0.00380292720845162,0.00351814919205115,0.00114434272947945,0.00813697869227067
"KL112","Southern Africa",0.00462487126059101,0.00336869099406073,0.000272179169957239,0.0163623756010959
"KL112","Southern Asia",0.0457078792523875,0.0450127500665052,0.0283096805011113,0.0675054344783859
"KL112","Western Africa",0.0042809261110967,0.00200466406996069,4.54150461801797e-05,0.0214534910456643
"KL114","Eastern Africa",0.000213554109876453,7.30463772570479e-05,5.45560988296046e-07,0.00123253624140518
"KL114","Southern Africa",0.000350729521589503,5.72277612400284e-05,2.36803879337962e-07,0.002656263910857
"KL114","Southern Asia",0.00146161429959059,0.000882245974417911,2.20759422270116e-05,0.00612616281733775
"KL114","Western Africa",0.000767388324048838,0.000112612308481796,4.45350244205663e-07,0.00593708766628731
"KL116","Eastern Africa",0.000451545998839934,0.000251631507363449,6.60991667667461e-06,0.00203161334668654
"KL116","Southern Africa",0.000965430511985125,0.000345189469953282,4.62089578141298e-06,0.00568476558967425
