"locus","mean","median","lower","upper","subgroup"
"KL10",0.0155120533472192,0.0153306213588289,0.0100220364687274,0.0220698850993573,"Global"
"KL102",0.202311774711069,0.202189249278155,0.182732031854962,0.222526306500755,"Global"
"KL104",0.0412943413672603,0.0411182356684791,0.0319393311832277,0.051345144271468,"Global"
"KL105",0.0026140948633857,0.00241004834195757,0.000720099022204878,0.00566774894649046,"Global"
"KL106",0.00192836381724279,0.00172108930310146,0.000404976354358997,0.00468373132800052,"Global"
"KL108",0.0265052273889849,0.0263204233453805,0.0191175277088306,0.0349007976314889,"Global"
"KL109",0.00193215504997753,0.00172340036291011,0.000383395289838992,0.00465015492005235,"Global"
"KL110",0.00324060309800926,0.00302962058459138,0.00104126166546408,0.00668187222800161,"Global"
"KL111",0.00193074567338874,0.00173098461222681,0.000419833746035793,0.00455094770500227,"Global"
"KL112",0.0148531247482864,0.0146479473307317,0.00960406504658826,0.0211250524084337,"Global"
"KL114",0.000650213987977247,0.000451792019856633,1.63898447250112e-05,0.00241605623956404,"Global"
"KL116",0.00386957592842806,0.00368474390768733,0.00148657240792593,0.00728592956783911,"Global"
"KL117",0.00322674872312054,0.00303006976701004,0.00105184703237728,0.00649975323292774,"Global"
"KL118",0.00130340774767599,0.00109160145072221,0.000159234408169864,0.00360998448543208,"Global"
"KL12",0.000634681929025112,0.000431369112638876,1.43193212967652e-05,0.00236763640264014,"Global"
"KL122",0.0149281246348735,0.0146948856698831,0.00945937358335114,0.0215679939892202,"Global"
"KL123",0.000650807810372082,0.000452100662968627,1.73396726127246e-05,0.00244276872171375,"Global"
"KL125",0.000643701592455215,0.00045145413202123,1.58823606985439e-05,0.00234531304974521,"Global"
"KL127",0.00645589160322675,0.00623835603647298,0.00304765273306652,0.0110368146350028,"Global"
"KL128",0.00130555124470698,0.00109053371692577,0.000150607059090917,0.00363629492510333,"Global"
"KL13",0.00256972324635446,0.00236307986889003,0.000694264739301596,0.00566268208537658,"Global"
"KL134",0.000643858293167903,0.000446745181631708,1.60745444662448e-05,0.00235140855825644,"Global"
"KL136",0.00386372122472495,0.00366197832858073,0.00145462484631719,0.00741647978300076,"Global"
"KL137",0.000644123826786953,0.000453344265888909,1.58364070459972e-05,0.00235636116473271,"Global"
"KL139",0.000642868628766476,0.00044493506509112,1.66198510094768e-05,0.00234791873249457,"Global"
"KL14",0.00388361508177515,0.00369375925472406,0.00145561388962057,0.00746661417715108,"Global"
"KL141",0.000643490247327959,0.000442829041112154,1.37673360861315e-05,0.00237496119040906,"Global"
"KL142",0.00194168795617242,0.00173175367861335,0.000387769436090123,0.00469261941050646,"Global"
"KL143",0.00130048079586515,0.00109948374247507,0.000162061125213878,0.00361718731461733,"Global"
"KL144",0.000643046943879192,0.000448535004109615,1.50241190728811e-05,0.00237317999835412,"Global"
"KL145",0.00387249850610567,0.00368789404722574,0.00146143168492916,0.00741536897988104,"Global"
"KL146",0.00128664485238745,0.00108797148292622,0.000158928554753291,0.00357364132137764,"Global"
"KL149",0.0290749360205275,0.0288954035833438,0.0218600955027302,0.0372029494787638,"Global"
"KL15",0.0543208844342998,0.054262564968111,0.0436926446712542,0.0655857047845898,"Global"
"KL151",0.00712346201732814,0.00691689142034821,0.00361490239145566,0.0118533092274326,"Global"
"KL155",0.00129207509677096,0.00108823992036546,0.000145356674899504,0.00360226152819175,"Global"
"KL157",0.018725707576753,0.0185408230995059,0.0126477117383003,0.0260023300022895,"Global"
"KL158",0.000649128150731999,0.000442031081697462,1.7301509806859e-05,0.0024423950986378,"Global"
"KL16",0.0109830067559406,0.0108109442035909,0.00654028297342227,0.0165551892053575,"Global"
"KL163",0.000657599992300369,0.000460004273097107,1.88116657077078e-05,0.002417630911,"Global"
"KL169",0.00128393707523786,0.00108012494492565,0.000159142062354204,0.00357375240106745,"Global"
"KL17",0.020069296041766,0.019882120635373,0.0136045104092723,0.0275280201619806,"Global"
"KL179",0.000647791533141869,0.00045613835560273,1.57712732175621e-05,0.00233655923778628,"Global"
"KL18",0.00321988393259908,0.00301942462769316,0.00103652227624726,0.00654472858025619,"Global"
"KL180",0.00323547780639112,0.00301496779282676,0.00107831107041177,0.00667906850262024,"Global"
"KL19",0.011671792482931,0.0114720411169895,0.00690553704904789,0.0175162125543259,"Global"
"KL2",0.146820144142686,0.146583796396843,0.129867894174529,0.164351855708309,"Global"
"KL20",0.00193768493729436,0.00172800636909658,0.000405597499729574,0.00463205271485416,"Global"
"KL21",0.000654429847850782,0.000457652984130713,1.60857964069922e-05,0.00238380017587158,"Global"
"KL22",0.000651412602452863,0.000448576811221819,1.53480615103384e-05,0.00246827823827566,"Global"
"KL23",0.0284841482947404,0.0282612413374854,0.0208642575406211,0.0375296150818692,"Global"
"KL24",0.0109970404007441,0.0108129837963941,0.00650847833729121,0.016678215983806,"Global"
"KL25",0.0632672799380332,0.0630792622101493,0.0520616389360175,0.0754432293617018,"Global"
"KL27",0.00129907906170384,0.00109054328888166,0.000158328027695349,0.0035972583487468,"Global"
"KL28",0.00839707346441746,0.00820848809330779,0.00456192077135337,0.0133543775671237,"Global"
"KL3",0.0103381851080541,0.0101158839104903,0.00588462023084773,0.0159782746975492,"Global"
"KL30",0.0284160449820019,0.0281949736382809,0.0206748794620769,0.0372620233116304,"Global"
"KL31",0.0019448140592146,0.00173572547894429,0.000401886423769623,0.00469710210818689,"Global"
