"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00846568109796784,0.00815711930705076,0.00402552143878344,0.0147608657856847
"KL10","Southern Africa",0.012214279249734,0.0109929652999477,0.0028364554997685,0.0284206659553876
"KL10","Southern Asia",0.0774256848894841,0.0754198352951114,0.0393003097336822,0.126216990778769
"KL10","Western Africa",0.0146446205365413,0.011119977303575,0.00107364259208577,0.0482641992407892
"KL102","Eastern Africa",0.247652439329112,0.247527979658378,0.222552796149122,0.274010568784592
"KL102","Southern Africa",0.130166543723664,0.129161578138596,0.0901981632177587,0.174156656373512
"KL102","Southern Asia",0.011907280872235,0.00978973655448242,0.0013721023489775,0.0340951285057856
"KL102","Western Africa",0.129986416048404,0.12643539473544,0.0656174933359352,0.215642137460314
"KL104","Eastern Africa",0.0536369352955325,0.0534272849314271,0.0412553933362979,0.0673822137174799
"KL104","Southern Africa",0.0016835256358243,0.000872013233647764,2.10391039596668e-05,0.00791503329691645
"KL104","Southern Asia",0.0342113880899768,0.0319820069710044,0.0111283371326954,0.0702349854507392
"KL104","Western Africa",0.00447068087840618,0.00200600622212911,3.97853982649162e-05,0.0229154876089234
"KL105","Eastern Africa",0.00185115036653272,0.00156136351638454,0.000286696589214388,0.00500527208784906
"KL105","Southern Africa",0.000945319735771039,0.000338766976951851,4.12536408715151e-06,0.00556197078438864
"KL105","Southern Asia",0.0117803606851409,0.00954072343781249,0.00129607104431045,0.0340347427374143
"KL105","Western Africa",0.00225992387402584,0.000695419262677973,7.05072598066875e-06,0.0140740906727115
"KL106","Eastern Africa",0.00238066744785344,0.00208629514726486,0.00045431421721001,0.00599768878202509
"KL106","Southern Africa",0.000560702045915978,0.000132289690813186,8.37398324375787e-07,0.00385102764805662
"KL106","Southern Asia",0.00114614587487923,0.00028151067935021,2.06274099144377e-06,0.00769932455235164
"KL106","Western Africa",0.00125858611349172,0.000254051015491013,1.54701208880747e-06,0.00968933972386096
"KL108","Eastern Africa",0.0354470433516687,0.0352276348607195,0.0253209321092735,0.0470661134807736
"KL108","Southern Africa",0.00429233877157177,0.00316319259712882,0.000263887999339234,0.0146866098804852
"KL108","Southern Asia",0.00309720174505814,0.00163519997296067,4.09233837332502e-05,0.0143866006321036
"KL108","Western Africa",0.0121975271014596,0.00879641946252456,0.0006248290716445,0.0425665304469608
"KL109","Eastern Africa",0.00175694294633176,0.00144765205398445,0.000224547734724024,0.00486403610108073
"KL109","Southern Africa",0.000773538644653815,0.000243814106376893,2.66913510637782e-06,0.00496962312156024
"KL109","Southern Asia",0.00540367571329908,0.00350752590479554,0.00016097686990043,0.0214043083873719
"KL109","Western Africa",0.00185897784248884,0.000503819439058974,4.33257782665589e-06,0.0128856637960631
"KL110","Eastern Africa",0.00272088660263292,0.00243034221894489,0.000582004855527106,0.00652807254104574
"KL110","Southern Africa",0.00651045193022483,0.00527242093018789,0.00069359230223142,0.0197179383477062
"KL110","Southern Asia",0.0019887593177859,0.000824229892451274,1.0972085121584e-05,0.0107363177665991
"KL110","Western Africa",0.00246274244110225,0.000814745632218724,8.86423463815821e-06,0.0152196654676278
"KL111","Eastern Africa",0.00239219134989459,0.00211433195526749,0.000479161765010608,0.00588507329323548
"KL111","Southern Africa",0.000550497167243164,0.000130424498546935,8.32095541355674e-07,0.00378472338997781
"KL111","Southern Asia",0.00111117158862092,0.000291103650488391,1.81073255444139e-06,0.00748590319998756
"KL111","Western Africa",0.00123821300868635,0.000256446426806621,1.42869918792449e-06,0.00923734728754802
"KL112","Eastern Africa",0.00387165615127693,0.00355152664611752,0.00116435764217918,0.00822721091161621
"KL112","Southern Africa",0.00446818912244239,0.00331919828907956,0.000288496543429159,0.0149889418002289
"KL112","Southern Asia",0.125572133488941,0.123769584331578,0.0767557552113847,0.185874611448619
"KL112","Western Africa",0.00450470880932612,0.00201112090514367,4.16061294559977e-05,0.0233529536494351
"KL114","Eastern Africa",0.000249553794346237,9.23586243572683e-05,6.43496578565492e-07,0.00140102412539554
"KL114","Southern Africa",0.000439525925369139,8.2706019086055e-05,2.92896009749616e-07,0.0032698164302906
"KL114","Southern Asia",0.0040024575910933,0.00218393173050045,4.30470320860387e-05,0.0179136633596905
"KL114","Western Africa",0.000980703736800049,0.000147355206485668,5.18521416142162e-07,0.00779524259661382
"KL116","Eastern Africa",0.000443944488512051,0.00024424412136314,5.45873151594877e-06,0.00201884589324218
"KL116","Southern Africa",0.000938391145874527,0.000332665760557982,3.69105140136646e-06,0.00565018091607067
"KL116","Southern Asia",0.00186277637119747,0.00070868892574519,7.74380859720055e-06,0.0108537827262456
"KL116","Western Africa",0.0660098399272362,0.0623446257661568,0.0232012704409699,0.129535914114566
"KL117","Eastern Africa",0.00109310230968214,0.00082350056337862,7.72506343533713e-05,0.00358149739502984
"KL117","Southern Africa",0.000964247583419814,0.000341046902571837,4.37852962871699e-06,0.00582713656841703
"KL117","Southern Asia",0.0245800030037924,0.0223918105815867,0.00611957581618283,0.055674670773341
"KL117","Western Africa",0.00229046098086632,0.000703223586751481,7.41156847300836e-06,0.0142683826479996
