"locus","mean","median","lower","upper","subgroup"
"KL10",0.0173273067707972,0.0171365910999104,0.0118822031354856,0.0239176944557369,"Global"
"KL102",0.186397974742764,0.18631809490308,0.169177522527595,0.204144260094748,"Global"
"KL104",0.0358496544506191,0.0356646481734978,0.0278249933692402,0.0449174250448414,"Global"
"KL105",0.00224946119820584,0.00207054434436441,0.000606638267587845,0.00499593623879609,"Global"
"KL106",0.00167850110374345,0.00150151815017874,0.000342602114792097,0.003987966111396,"Global"
"KL108",0.0223756233577472,0.0221880134105107,0.0159947260345643,0.0298093850791393,"Global"
"KL109",0.00168346780480229,0.00151213624380736,0.000352883078694084,0.00402061319493807,"Global"
"KL11",0.000558024663155995,0.000384902249235152,1.47356850152388e-05,0.00208294476789896,"Global"
"KL110",0.00390986969503372,0.00372534302128887,0.00158540375529845,0.00735106915412736,"Global"
"KL111",0.00224255219592704,0.00205859616724668,0.000607318923615844,0.00490608405352245,"Global"
"KL112",0.0134735943628938,0.0132920027111447,0.00865633381478288,0.0192568225932723,"Global"
"KL114",0.000556243126379523,0.000378790764646649,1.55768073763151e-05,0.00206914823042519,"Global"
"KL116",0.00336313683892307,0.00320081271476987,0.00128417123877265,0.00635959393958723,"Global"
"KL117",0.0028014422224212,0.00262332134360021,0.000920533969563748,0.00566233095869919,"Global"
"KL118",0.00112219659576237,0.000943866550798214,0.000136919202833013,0.00315921451541861,"Global"
"KL12",0.000560854049934886,0.00039279295096334,1.43912814896435e-05,0.00205374244872544,"Global"
"KL122",0.0156469696641236,0.0154573433596596,0.0104991462010601,0.021793383832274,"Global"
"KL123",0.000562210386048163,0.000384754144508796,1.26314357027871e-05,0.00213288154994136,"Global"
"KL124",0.0011259971098933,0.000944277756296076,0.000144557759357856,0.00310446287459384,"Global"
"KL125",0.000557936453351597,0.00038346823252937,1.35181952385247e-05,0.00202458491157482,"Global"
"KL127",0.0055876763657823,0.00539288782432937,0.0026597373144227,0.009591595619544,"Global"
"KL128",0.00169043167895767,0.00151324543787836,0.000359042108415004,0.00403193112067979,"Global"
"KL13",0.00224424095107228,0.0020644430402092,0.000608316746293476,0.00491232677696205,"Global"
