"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00840361774764744,0.00813446077398391,0.00388359986469991,0.0147344190360805
"KL10","Southern Africa",0.0148390941071906,0.013252444936755,0.00322412937948464,0.0352502924717278
"KL10","Southern Asia",0.0417456947622095,0.0410338853703307,0.0247213464453426,0.0626571865364997
"KL10","Western Africa",0.0143530821736491,0.0107193333551249,0.000998189296031205,0.0471912692303333
"KL102","Eastern Africa",0.247648696368426,0.247573779272707,0.222896128113683,0.27373391743653
"KL102","Southern Africa",0.117990132392054,0.116671461697632,0.0763925592786979,0.166053918957944
"KL102","Southern Asia",0.0710158797045859,0.0703643857837798,0.0485095428350181,0.0967615132767616
"KL102","Western Africa",0.13162481878217,0.128377533722638,0.066834612858411,0.213761872744402
"KL104","Eastern Africa",0.0535953999027029,0.053277736086563,0.041200391446502,0.0678022723199131
"KL104","Southern Africa",0.0019782685159736,0.000933590204023059,1.90981411047487e-05,0.0097301716940527
"KL104","Southern Asia",0.0116038996277425,0.0109198481709551,0.00392626897065417,0.0234207471280265
"KL104","Western Africa",0.00425583054759814,0.00190957609547666,4.0348401319859e-05,0.0223825609685593
"KL105","Eastern Africa",0.00175788357369036,0.00147740245414849,0.000243990860080419,0.00488107971048001
"KL105","Southern Africa",0.000952655731196999,0.000314205828976239,4.11600316922577e-06,0.00591105732003051
"KL105","Southern Asia",0.00413746306564004,0.00346077388261348,0.00051974578567465,0.011841859514927
"KL105","Western Africa",0.00199592825482003,0.000565008554024097,5.97268711733986e-06,0.0128976457462577
"KL106","Eastern Africa",0.00232247861584096,0.00203447503784212,0.000433566679726325,0.00579491454617858
"KL106","Southern Africa",0.000592445026114913,0.000145945751927357,1.09680518741922e-06,0.00421177100971802
"KL106","Southern Asia",0.000605094829977101,0.000220903309185513,2.26944366328303e-06,0.00338998927931911
"KL106","Western Africa",0.00125413067326959,0.000247633305241762,1.66978157093049e-06,0.0096604096966645
"KL108","Eastern Africa",0.0352088229455544,0.0349002905032941,0.0250427616109493,0.0470527341801119
"KL108","Southern Africa",0.00155984965644701,0.000690528224577079,1.26609549609769e-05,0.00853415517793796
"KL108","Southern Asia",0.00123196136272091,0.00071161386992078,2.21837689269298e-05,0.00540309402159655
"KL108","Western Africa",0.0104183788683588,0.00715045018183937,0.000395126427535012,0.0385781019540825
"KL109","Eastern Africa",0.00167579764063948,0.00141889842058009,0.000211131341100963,0.00463102174291346
"KL109","Southern Africa",0.000791356277079208,0.000229363229981897,2.89766403003782e-06,0.00516077334566555
"KL109","Southern Asia",0.0021125030169178,0.00149298964684747,0.000104564497426319,0.00761757958834963
"KL109","Western Africa",0.0016601047729373,0.000433331688110891,4.49079191350073e-06,0.0114438780492365
"KL11","Eastern Africa",0.000213032873011202,7.22537279295928e-05,5.17875035098833e-07,0.00130046218315231
"KL11","Southern Africa",0.000384048040666226,6.33535869499194e-05,2.47445215597444e-07,0.00288877272767427
"KL11","Southern Asia",0.0014826394635452,0.000888115736096651,2.00840892016033e-05,0.00636968427052728
"KL11","Western Africa",0.000750616827162603,0.000116672667354272,4.42807439702144e-07,0.0057311007190094
"KL110","Eastern Africa",0.00280696819025512,0.00253728871193334,0.000641952245260146,0.0065659453218133
"KL110","Southern Africa",0.00854273777440218,0.00707532985520844,0.000982040787785497,0.0246613408599948
"KL110","Southern Asia",0.00474226227976525,0.00403782719855941,0.000716615443028472,0.0127833616328705
"KL110","Western Africa",0.00321054992695531,0.00131410336852146,2.18229339096649e-05,0.0176083522676391
"KL111","Eastern Africa",0.00251627368845405,0.00224662624583945,0.000502207636831748,0.00625381128199133
"KL111","Southern Africa",0.000889840577785995,0.000274793344325018,3.02887592323617e-06,0.0056157549269649
"KL111","Southern Asia",0.00222897015658034,0.00159806515241863,0.000111949593909392,0.00773991091430436
"KL111","Western Africa",0.00184969534538102,0.00052615039699896,5.94824000846501e-06,0.0124575876603571
"KL112","Eastern Africa",0.00372876654441612,0.00343686464607672,0.00107858002679867,0.00810903951209813
"KL112","Southern Africa",0.00163366599245594,0.000730415775938797,1.37501168360244e-05,0.00853877999476554
"KL112","Southern Asia",0.0454648163394049,0.0448251827473427,0.027804862628446,0.0673208832647954
"KL112","Western Africa",0.00358953928680077,0.00146212806768966,2.39434712023476e-05,0.0198722380570637
"KL114","Eastern Africa",0.000210467309390917,7.28832036119161e-05,5.37285741774701e-07,0.00123525928774855
"KL114","Southern Africa",0.000407325577663192,6.35095167044165e-05,2.4837604115373e-07,0.00320084401143799
"KL114","Southern Asia",0.0014642348938431,0.000875118162717869,2.27383458071594e-05,0.00621638542649148
"KL114","Western Africa",0.000789498184861268,0.000114059697616268,4.01637969550994e-07,0.00645460952248508
"KL116","Eastern Africa",0.000446845898383004,0.0002454009842524,6.56771938951058e-06,0.00202314046796953
"KL116","Southern Africa",0.00104944230539553,0.00036913458355425,4.61679525673534e-06,0.00612703946519616
"KL116","Southern Asia",0.000931230946952241,0.000467945066024279,1.14048900910299e-05,0.00453762600792683
"KL116","Western Africa",0.0647199972287127,0.060940565445735,0.0222125864754249,0.127422779196665
"KL117","Eastern Africa",0.00101747686241701,0.000760161259814029,6.68567358799127e-05,0.00341476979937854
"KL117","Southern Africa",0.000951025143335599,0.000322934236084718,4.20984414525317e-06,0.00570623540557896
"KL117","Southern Asia",0.00834183770026526,0.00763762952608572,0.00223274628658777,0.0186796121443777
"KL117","Western Africa",0.00195894645068119,0.00058221932682428,7.3495599567316e-06,0.012405891106529
"KL118","Eastern Africa",0.00146872115900329,0.00118774148072433,0.000152661660104994,0.00436860137821452
"KL118","Southern Africa",0.000505642493912562,0.000106774563727332,6.98153992756634e-07,0.00360546009954076
"KL118","Southern Asia",0.000533907263353096,0.000180238620586613,1.51457681072097e-06,0.00332609387068422
"KL118","Western Africa",0.0010359570079764,0.000192000060235225,1.09859901682349e-06,0.00756658278030837
"KL12","Eastern Africa",0.000250790289429828,9.10014465267775e-05,8.04601343862981e-07,0.0014302752227218
"KL12","Southern Africa",0.00225994221058449,0.00116645123120433,1.80863858261982e-05,0.0107968473924363
