"locus","mean","median","lower","upper","subgroup"
"KL10",0.0174221419816987,0.0172685625795144,0.0117921202403915,0.0239879035223061,"Global"
"KL102",0.191763645104145,0.191709052081329,0.173253315626715,0.210672809902094,"Global"
"KL104",0.0353624186568362,0.0351662569267944,0.0270929958041745,0.0446337426764786,"Global"
"KL105",0.00118477648276228,0.000993832937020444,0.000138896282181822,0.00323657934468325,"Global"
"KL106",0.0012084494129618,0.00101569119622242,0.000144053003229589,0.00334856106603456,"Global"
"KL108",0.0245837334861982,0.0243987439218208,0.0176534790473723,0.0325509083555011,"Global"
"KL109",0.00120582898445494,0.00101704824902672,0.000146753012219895,0.00326650087004365,"Global"
"KL11",0.000601423728091233,0.000420382363253099,1.46452942879898e-05,0.00221960496773058,"Global"
"KL110",0.00300191425101607,0.00279674478296402,0.000978461744284007,0.00607144346117113,"Global"
"KL111",0.00119402309288651,0.000984812420085884,0.000144059779443132,0.00335666032609156,"Global"
"KL112",0.0137868080168686,0.0135921102009382,0.00882977903383433,0.0198570892267602,"Global"
"KL114",0.000598898135306389,0.000413577483209083,1.43882397964145e-05,0.00221171630770521,"Global"
"KL116",0.00359191653464517,0.00343180431461118,0.00131120160597781,0.0068724906761236,"Global"
"KL117",0.0029868684140718,0.00279106247269841,0.000949241707752375,0.00611993715564037,"Global"
"KL12",0.00059919381189075,0.000413345960691273,1.56628604330693e-05,0.002198991289162,"Global"
"KL122",0.0101881182502295,0.0100326809739536,0.00593013037809962,0.0154828079784029,"Global"
"KL124",0.00119930206014946,0.00100753759293186,0.000141167752273814,0.00333194122613369,"Global"
"KL125",0.000607073371079235,0.00042286653388272,1.39454663393528e-05,0.0022762996940769,"Global"
"KL127",0.00599048105580331,0.00580157045300177,0.00291744808512073,0.0101760415675717,"Global"
"KL128",0.00180704241154584,0.00161380873186125,0.000373117086831834,0.00432609433593167,"Global"
"KL13",0.00241898638592551,0.00222422604244788,0.000671942413886904,0.00526514128422393,"Global"
"KL131",0.0011929872586432,0.00100615664612158,0.000153158329245244,0.00330122102234545,"Global"
"KL134",0.000598161448899246,0.000417390780777913,1.45714339250844e-05,0.00222117849966657,"Global"
