"locus","mean","median","lower","upper","subgroup"
"KL10",0.0164345934686104,0.0162398170564677,0.0110601438863548,0.0229049607363789,"Global"
"KL102",0.188516913249133,0.188461893893585,0.171162296227873,0.206647033097588,"Global"
"KL104",0.00622622222368112,0.00603920513653338,0.00311493884102984,0.0103985901401267,"Global"
"KL105",0.00226777164982609,0.00209016046933121,0.000607698769525632,0.00501091682679093,"Global"
"KL106",0.00169220321635181,0.001495908039576,0.000354778788224499,0.00410045324125061,"Global"
"KL108",0.0232607017119306,0.0230783094027795,0.0167779175133567,0.0307400121642326,"Global"
"KL109",0.00170083101242682,0.00152032903307027,0.000341521345623314,0.0040676842156061,"Global"
"KL11",0.000564693738053967,0.000395435381504123,1.3391830857212e-05,0.00207973353681882,"Global"
"KL110",0.00340033100724689,0.00322075603154906,0.00124742235746975,0.0065785398415526,"Global"
"KL111",0.00226782410569542,0.00208916853011457,0.000614877667633002,0.00491796174920029,"Global"
"KL112",0.0158462687016255,0.0157111525290315,0.0105978283331919,0.0219889239924684,"Global"
"KL114",0.000559777787422663,0.000389492869884216,1.38351556161387e-05,0.00202121746782843,"Global"
"KL116",0.0033942520498661,0.00324237529185789,0.00127477318134042,0.00642077135338417,"Global"
"KL117",0.00282827206071545,0.00265866115005932,0.0009184211249754,0.0056896622226858,"Global"
"KL118",0.00112857054882368,0.000935650880553672,0.00013187546231437,0.0032113773253502,"Global"
"KL12",0.00112132544945139,0.000949693628763073,0.000131273467572709,0.00310404057395,"Global"
"KL122",0.0147209908749448,0.0145497805326678,0.00968162827538342,0.0207073742801326,"Global"
"KL123",0.000574057912189364,0.000403151592847101,1.48519783995894e-05,0.00207469602203681,"Global"
"KL124",0.0011379344813157,0.00096457645590867,0.000140084341911485,0.0031575628339929,"Global"
"KL125",0.00169942426697062,0.00152053444663689,0.000350708347551909,0.00411003165698663,"Global"
"KL127",0.00566356370848078,0.00547988965762904,0.00268031350228009,0.00964650294978741,"Global"
"KL128",0.00170484608910359,0.00152730103712466,0.000355395481609153,0.00409257160933715,"Global"
"KL13",0.0022681744141211,0.00209971582484783,0.000605496341905442,0.00498708878459577,"Global"
"KL131",0.00112748666054252,0.000950853507594616,0.000130293395406804,0.0031309551511034,"Global"
"KL134",0.000558357731184705,0.000396183696657143,1.36450918070682e-05,0.00201092955195708,"Global"
"KL136",0.00624299089766927,0.00605732959776652,0.00310864310950866,0.0103535382768427,"Global"
"KL137",0.000571198935528537,0.000396932677467505,1.49452701674388e-05,0.00207996846133919,"Global"
"KL139",0.000559090961229375,0.000379306141011783,1.24467134703068e-05,0.00211618112076872,"Global"
"KL14",0.0034083233152437,0.00321827958146553,0.00126892619332211,0.00655826152167926,"Global"
"KL140",0.000574387706704828,0.000397820093983018,1.25607061556816e-05,0.00210897626583772,"Global"
"KL141",0.00114671053491139,0.000972617129501205,0.000142239808584273,0.00314480679387284,"Global"
"KL142",0.0016905151323196,0.00151029517495109,0.000336605190508279,0.0040622419082785,"Global"
"KL143",0.00112957042447903,0.000959418424092893,0.000143928468255075,0.00305071093866042,"Global"
"KL144",0.00056571281109352,0.000386818944016195,1.44734588127393e-05,0.00204675738059914,"Global"
"KL145",0.0034103157165129,0.00323052455127469,0.00131395414912678,0.00646870809791953,"Global"
"KL146",0.00112963705281202,0.00094652571027008,0.00013908662826282,0.00319035745639166,"Global"
"KL149",0.0272221620598617,0.0270482999368024,0.0206263048307875,0.034561743352232,"Global"
"KL15",0.106988678575084,0.106890917824648,0.0938108592158726,0.120979646551803,"Global"
"KL151",0.00623755047360647,0.00606078734945988,0.00316327820373098,0.0104172551177684,"Global"
"KL155",0.00225797993483992,0.00208135813766732,0.000614883767880516,0.00495234346872646,"Global"
"KL157",0.0164612623362556,0.0162354433615243,0.0110370146801078,0.0230242662411422,"Global"
"KL158",0.00114098765400298,0.000959343281329945,0.000138468816034634,0.00320632708414227,"Global"
"KL16",0.0113318684515594,0.0111553616796422,0.00688435231248937,0.0167173229886112,"Global"
"KL163",0.000572883290185875,0.000397108844106526,1.33518754971454e-05,0.00212716631129847,"Global"
"KL169",0.000561856403095906,0.000394730745839696,1.43723363261072e-05,0.00206729513465938,"Global"
"KL17",0.0164295800054598,0.0163008913422787,0.0109617574913122,0.0228847635626865,"Global"
"KL171",0.00112572770111553,0.000940426730582068,0.000134070688541231,0.00317420125370333,"Global"
