"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00618564919520158,0.00585845455737531,0.00232384042673702,0.0119369180438505
"KL10","Southern Africa",0.0120904071509335,0.0107993341985581,0.00243406417106611,0.0291972053144028
"KL10","Southern Asia",0.04025607688852,0.0396708172510276,0.0246338988502892,0.05966224141879
"KL10","Western Africa",0.00597249375078772,0.00273421574660803,6.30027673112468e-05,0.0310723222653432
"KL102","Eastern Africa",0.270006153806242,0.269898702569742,0.242779825200338,0.297916191891034
"KL102","Southern Africa",0.131478977194587,0.130863216618319,0.0909110452594127,0.176615289827596
"KL102","Southern Asia",0.0620770716776631,0.0614205315305642,0.0424227778610402,0.0848086215502606
"KL102","Western Africa",0.0819769503743525,0.0765246126421776,0.0242869072308919,0.170199197110658
"KL104","Eastern Africa",0.00582924223928449,0.00550940265837686,0.00220782279132019,0.0112716059035334
"KL104","Southern Africa",0.00119227822997052,0.000518763908323373,9.69191577510692e-06,0.00627849295028164
"KL104","Southern Asia",0.00972246832331624,0.00909381824777489,0.00313961432911764,0.0197218064045956
"KL104","Western Africa",0.00332008670657125,0.00109717436819081,1.38457102075592e-05,0.0206087855757871
"KL105","Eastern Africa",0.00188805743949582,0.001573862982306,0.000253970054016085,0.00529868167526056
"KL105","Southern Africa",0.000811512103833873,0.00028545638382718,3.87974599764199e-06,0.00489713172008429
"KL105","Southern Asia",0.00374983084028335,0.00311474061730307,0.000481778159981426,0.0105298954825846
"KL105","Western Africa",0.0020551807235253,0.000512252987545282,5.56458994459621e-06,0.0141894159528429
"KL106","Eastern Africa",0.00252985779357259,0.00219360368755859,0.000468031199650135,0.00641831010004143
"KL106","Southern Africa",0.00052785122747465,0.000133610883682784,1.10497070955372e-06,0.00361748520988864
"KL106","Southern Asia",0.000597428662686369,0.000249039068892772,3.86865462402226e-06,0.00318863265712391
"KL106","Western Africa",0.00128974292077569,0.000222235470935264,1.54007787141047e-06,0.00981441583898832
"KL108","Eastern Africa",0.0389123551846448,0.0385979938237563,0.0277091954229523,0.051873450347283
"KL108","Southern Africa",0.00439306332909067,0.00326365886739255,0.000258302346512262,0.0149943214103644
"KL108","Southern Asia",0.00143536919576452,0.000955158991946661,4.47713367635026e-05,0.00559508674572009
"KL108","Western Africa",0.0156702428231776,0.0107113565785049,0.0006470247789835,0.0582241662119917
"KL109","Eastern Africa",0.00180111644331052,0.0015075180974335,0.000211495503654203,0.00507255796775662
"KL109","Southern Africa",0.000699273097499879,0.000222407179508597,2.71816471018829e-06,0.00446607870524625
"KL109","Southern Asia",0.00197399095449918,0.00141942575998456,9.74091330574746e-05,0.0068810847029184
"KL109","Western Africa",0.00171803418301946,0.000381005600777841,3.82354157852347e-06,0.0120421020719699
"KL11","Eastern Africa",0.000216964509593712,6.79505388938321e-05,4.10638710371879e-07,0.00136445719514148
"KL11","Southern Africa",0.000329789624462929,5.43559247431451e-05,2.74448650341007e-07,0.00251672139018144
"KL11","Southern Asia",0.00136062784029292,0.000818828867480434,1.92070394847519e-05,0.00576401931959762
"KL11","Western Africa",0.000739965413755792,8.23632692106658e-05,2.75763965310808e-07,0.00611033368167466
"KL110","Eastern Africa",0.00213119219433045,0.00184571524031028,0.000352511632707553,0.00554356068768713
"KL110","Southern Africa",0.0069891302257693,0.00572880544861672,0.000826370705930836,0.0200186976728513
"KL110","Southern Asia",0.00425185489149558,0.00363379746838898,0.00064457221778143,0.0111480414372175
"KL110","Western Africa",0.0033971173932435,0.00114249905153748,1.73828231585558e-05,0.020771891033388
"KL111","Eastern Africa",0.00274495387543179,0.00244319528789012,0.000555622638633274,0.00665277805913242
"KL111","Southern Africa",0.000781534819269095,0.000258687358788974,3.13046277254204e-06,0.0047405153057122
"KL111","Southern Asia",0.00204884390566512,0.00150177931587019,0.000118749718218014,0.00705306848117032
"KL111","Western Africa",0.00191733149429316,0.00045790252264145,4.35540935154895e-06,0.0137360550798254
"KL112","Eastern Africa",0.00417114270605533,0.0038219447826962,0.00119108953184653,0.00898311370778226
"KL112","Southern Africa",0.00439068449352736,0.00328213057215973,0.000286336168597548,0.0147380977565412
"KL112","Southern Asia",0.0459604793515934,0.0453326684159725,0.0294880658083542,0.0657785283134718
"KL112","Western Africa",0.0051378514450415,0.00204773567215505,4.15096314131169e-05,0.0286644785955975
"KL114","Eastern Africa",0.000217677742728389,6.99316054028051e-05,4.40979690634877e-07,0.00134021327231813
"KL114","Southern Africa",0.000351358539056779,5.46367799118521e-05,2.35940357604974e-07,0.00275695845356052
"KL114","Southern Asia",0.00133539450167323,0.000839673419762169,2.08285276398369e-05,0.00545079172887144
"KL114","Western Africa",0.000699046621674903,8.46498513011076e-05,3.48646366736306e-07,0.00577411447238671
"KL116","Eastern Africa",0.000516681685084589,0.000289126551545318,8.6448922653008e-06,0.00231944375085002
"KL116","Southern Africa",0.00101640801478694,0.000401844636133346,6.56584277378975e-06,0.005703612556964
"KL116","Southern Asia",0.00100794694767499,0.000553075638842182,1.52572118920535e-05,0.00456221645290359
"KL116","Western Africa",0.0949895228675226,0.0899152637023948,0.0315080700741508,0.186837594289187
"KL117","Eastern Africa",0.00108839448585519,0.000805559137446135,6.67430705536226e-05,0.00375128092147586
"KL117","Southern Africa",0.000857171722614633,0.000293473470053789,3.48219336808097e-06,0.00526143362612803
"KL117","Southern Asia",0.00735023330558938,0.00670047488070623,0.0019368980765872,0.0162061826882836
"KL117","Western Africa",0.00213173575209581,0.000540110794403963,5.44582028782355e-06,0.014425270125696
"KL118","Eastern Africa",0.00158126511693089,0.00127926059264973,0.000143050199362166,0.00474863278349674
"KL118","Southern Africa",0.000457290738770095,0.000101137189152785,6.86708966049583e-07,0.0033674443858411
"KL118","Southern Asia",0.000536864416275443,0.000201679984371806,2.17188258473883e-06,0.00312359018247054
"KL118","Western Africa",0.00110830794161313,0.00015408187325425,9.51640743833243e-07,0.00886001621709968
"KL12","Eastern Africa",0.000367407073186215,0.000179588702147807,3.3232491135052e-06,0.00180678154749517
"KL12","Southern Africa",0.00252149072697016,0.00152886000562253,5.90275706214567e-05,0.0105622804470336
"KL12","Southern Asia",0.00192133798963044,0.00136780116263094,9.01261755344332e-05,0.00687843169802742
"KL12","Western Africa",0.00165509102368118,0.000342687615284108,3.32171111399579e-06,0.0119066034444167
"KL122","Eastern Africa",0.0171005120297627,0.0168174358359603,0.0100438398150203,0.0259160675579338
"KL122","Southern Africa",0.00844814830776637,0.00720764197246026,0.0013182488388707,0.0225685802559974
"KL122","Southern Asia",0.0125251497574419,0.0119176101459991,0.00486517753780918,0.0237946404861194
"KL122","Western Africa",0.0184789445747269,0.0133475503488719,0.00103370309094446,0.0652546165875074
"KL123","Eastern Africa",0.000705752734928732,0.000437292322340052,1.31103446738988e-05,0.00290452610751456
"KL123","Southern Africa",0.000333524008133223,5.3767172058181e-05,2.36196198350135e-07,0.00258266716879276
"KL123","Southern Asia",0.000406407430193405,0.000122630895005892,7.98778291336782e-07,0.00257020085687377
"KL123","Western Africa",0.000735892929678139,7.89811137287663e-05,3.26187258520629e-07,0.00632669011902283
"KL124","Eastern Africa",0.000287694986662321,0.000116603153395852,1.67650651964802e-06,0.00157463869360456
"KL124","Southern Africa",0.000474448853761011,0.000111518376363174,8.25495719229282e-07,0.0033290559704047
"KL124","Southern Asia",0.00316927849196466,0.00258073366128243,0.000326275952902209,0.00933039903480848
"KL124","Western Africa",0.00114699581772878,0.00017430934737601,1.18392196336995e-06,0.00922344220944189
"KL125","Eastern Africa",0.000433710838648323,0.000218769780689079,4.96070817987737e-06,0.00207258453089455
"KL125","Southern Africa",0.00285970711764276,0.00181144512729585,8.74442594896732e-05,0.01161129595549
"KL125","Southern Asia",0.00367053669282906,0.00305971144284919,0.000463717621378574,0.0102137000096532
"KL125","Western Africa",0.00199941665324296,0.00048260216170273,4.9913892766816e-06,0.0140784940648385
"KL127","Eastern Africa",0.00860094906085776,0.00830100746914161,0.00388148085589008,0.0151018722087558
"KL127","Southern Africa",0.000987911252322306,0.000374023485881038,6.01848268667526e-06,0.00568654461134186
"KL127","Southern Asia",0.00227932163180359,0.0017157953990756,0.000150788873208011,0.00758618447680038
"KL127","Western Africa",0.00255989671216066,0.000710414576310873,8.31807303584197e-06,0.0168167542367519
"KL128","Eastern Africa",0.000324359713575361,0.000140861537779932,2.22901457506322e-06,0.00171858387594783
"KL128","Southern Africa",0.000568286013383503,0.0001453643242594,1.19062629828152e-06,0.00388589115085233
"KL128","Southern Asia",0.00506506055693713,0.00443587654904808,0.000938688955554829,0.0128539561776006
"KL128","Western Africa",0.00138788113231785,0.000238636869280387,1.57213550460064e-06,0.0107021190985553
"KL13","Eastern Africa",0.00208749316064119,0.00175436036820959,0.000317977624440296,0.00558333969763771
"KL13","Southern Africa",0.00348782094275304,0.00239946336743328,0.000147117070075306,0.0128876517517942
"KL13","Southern Asia",0.0010609436009493,0.00062739884037753,2.20162392275877e-05,0.00462737023435097
"KL13","Western Africa",0.0119963376894425,0.00741801436007565,0.00030759653084267,0.0493251392683833
"KL131","Eastern Africa",0.000290314898143441,0.00011478169197908,1.41836819660826e-06,0.00160774127691378
"KL131","Southern Africa",0.000468380412357768,0.000106363561756887,8.09834137510115e-07,0.00329637491093298
"KL131","Southern Asia",0.00313395942628436,0.00251596814893501,0.000283099182483601,0.00925484757498521
"KL131","Western Africa",0.00110128567321206,0.000168753883083282,1.10160968026219e-06,0.00856702989554588
"KL134","Eastern Africa",0.000684178205366804,0.000429836937608616,1.15904102409548e-05,0.00275775048370157
"KL134","Southern Africa",0.00032704512638793,5.46850880040283e-05,2.16015518842598e-07,0.00249312131250135
"KL134","Southern Asia",0.000399160553436195,0.000117825383294888,8.00455098580471e-07,0.00252410519970023
"KL134","Western Africa",0.000710455208834767,8.02810960826948e-05,3.03170395559072e-07,0.00589952122699914
"KL136","Eastern Africa",0.000543075287222955,0.00031787387745141,1.07143544746409e-05,0.00237220164631429
"KL136","Southern Africa",0.00345021459834034,0.00234061078943334,0.000143522631958466,0.0129334212781746
"KL136","Southern Asia",0.0194107077039567,0.0187032696029606,0.00914119033087574,0.0331219424128033
"KL136","Western Africa",0.0029785323398324,0.000888561007246818,1.13651032486463e-05,0.019434614469938
"KL137","Eastern Africa",0.000296634629912416,0.000118346857911596,1.29811712433887e-06,0.00166599917033595
"KL137","Southern Africa",0.000501972118989748,0.000110503684896297,6.45635706925733e-07,0.00363833571947552
"KL137","Southern Asia",0.000551110402373222,0.000209154706938351,2.09326266264775e-06,0.0031127273496436
"KL137","Western Africa",0.00653431436982677,0.00289319901004853,3.57276011699024e-05,0.0341707951520911
"KL139","Eastern Africa",0.000680389137760859,0.00041252139923196,9.74561050483802e-06,0.00284243647460258
"KL139","Southern Africa",0.000337582690044922,5.26806379260751e-05,2.03158534814783e-07,0.00267754050120071
"KL139","Southern Asia",0.00040234095210218,0.000111610798865234,7.36616935078392e-07,0.00251775939874885
"KL139","Western Africa",0.000730904901147676,7.7590621252181e-05,3.03475927980521e-07,0.00602282226506147
"KL14","Eastern Africa",0.00299449395384355,0.00269571946154314,0.000682236861526882,0.00700165751662483
"KL14","Southern Africa",0.00359990263568257,0.00248517957645364,0.000167098587580047,0.0133809073396354
"KL14","Southern Asia",0.004176115668529,0.00351030103141623,0.000647174189013591,0.0111398495908413
"KL14","Western Africa",0.00317410912927914,0.00104368295294723,1.52123106703439e-05,0.0194400978289059
"KL140","Eastern Africa",0.00022229101531297,6.64007169861959e-05,4.10722306985752e-07,0.00135474502332881
"KL140","Southern Africa",0.000329914855300671,5.70517373918217e-05,1.98466334830382e-07,0.00249133591652182
"KL140","Southern Asia",0.00138208720623451,0.000829756343962692,1.93364910982317e-05,0.00583429769346351
"KL140","Western Africa",0.000765467989281445,8.17878748167002e-05,2.60921514280409e-07,0.0064524025785991
"KL141","Eastern Africa",0.000933333705893585,0.000650521110896407,4.1617744472337e-05,0.00349425538773705
