"locus","mean","median","lower","upper","subgroup"
"KL10",0.0183153006893525,0.0181419267151626,0.012227617979874,0.0255140252522348,"Global"
"KL102",0.22048675154737,0.2203785889714,0.200697191499926,0.241037633496736,"Global"
"KL104",0.0427535017041372,0.0426219635376941,0.0331277741688277,0.0532156798326127,"Global"
"KL105",0.00270668844053561,0.0025009355635469,0.000755337602660813,0.00586685633986718,"Global"
"KL106",0.00135965278903654,0.00114099988170748,0.000166097818066173,0.00379610431109763,"Global"
"KL108",0.0270989650402674,0.0269271215134533,0.0196408487364633,0.0356945616720096,"Global"
"KL109",0.00136784982045552,0.00113925843706386,0.000167826441791798,0.00382696076762538,"Global"
"KL11",0.000677898114960276,0.0004717070835383,1.84614873405795e-05,0.00246602252589636,"Global"
"KL110",0.00476558080860229,0.00454195167251756,0.00192708785728012,0.00890556967075333,"Global"
"KL111",0.00204309492776238,0.0018214138801286,0.000415275457414561,0.00493759782746376,"Global"
"KL112",0.0162565596245167,0.0160140133754624,0.0105537801838057,0.0231791508643138,"Global"
"KL114",0.000672938229132003,0.000474487556037354,1.97347538768014e-05,0.00245427270393674,"Global"
"KL116",0.00407675520747443,0.003897845326456,0.00152796849365978,0.00769264362298588,"Global"
"KL117",0.00272094420912926,0.00250076571005533,0.000724283722242191,0.00605258386448357,"Global"
"KL118",0.00136628474636363,0.00113482775877968,0.000149403565410367,0.00386275087395509,"Global"
"KL12",0.000685437529022331,0.000476393039114415,1.718093860827e-05,0.00255077311986485,"Global"
"KL122",0.0176343562122012,0.0174196536366466,0.0116349156348401,0.0250859045142134,"Global"
"KL123",0.000681198558736317,0.00048218034376443,1.50252868032218e-05,0.00246009477663653,"Global"
"KL124",0.00135296804289199,0.00114300129288744,0.000167330638590036,0.00370652919458781,"Global"
"KL125",0.000679810166556282,0.000471269425736667,1.93072020747683e-05,0.00253540897881927,"Global"
"KL127",0.00676521771978704,0.00651705084140888,0.00322962311305546,0.0114996055654701,"Global"
"KL128",0.00203136757843278,0.00180997285828341,0.000408603209394218,0.00486059611196283,"Global"
"KL13",0.00133717860995995,0.00112642555783657,0.000169460772664745,0.00361331156034528,"Global"
"KL131",0.001366827892574,0.00113931621100337,0.000163397622465098,0.00385322489488699,"Global"
"KL136",0.00679302814344749,0.00655984220842583,0.00329086546246951,0.0115993762711197,"Global"
"KL137",0.000673627128836551,0.000468787993412375,1.79597415493581e-05,0.00250870914043738,"Global"
"KL139",0.000670784179897058,0.000463992005539712,1.67474065736797e-05,0.00251521931830752,"Global"
"KL14",0.00274415356592571,0.00251317378874734,0.000743299059887773,0.0060092476574075,"Global"
"KL140",0.000665241460692778,0.00045719309063239,1.72788615070724e-05,0.00245455508865671,"Global"
