"locus","mean","median","lower","upper","subgroup"
"KL10",0.0174941635455542,0.0172738655780551,0.0119764996632977,0.0241090641237611,"Global"
"KL102",0.193183713102602,0.193052378814298,0.175809708796874,0.211302439847788,"Global"
"KL104",0.0361730066127826,0.0360431957682884,0.0280622160337727,0.0449892231648276,"Global"
"KL105",0.0022564574139588,0.00207383478939487,0.000618152420665364,0.00501234087453741,"Global"
"KL106",0.00169247940070099,0.00150978932355949,0.000359869000747977,0.00401461498340422,"Global"
"KL108",0.0231691095325851,0.023006063612666,0.0167312120081179,0.0307360028158169,"Global"
"KL109",0.00169556463055726,0.00151402516403455,0.000355987513961816,0.00403062840543185,"Global"
"KL11",0.000572115372183377,0.000398033820803691,1.46820989693456e-05,0.00210281203998779,"Global"
"KL110",0.00397145559744002,0.00378256713048764,0.0015878582771821,0.0074222374817238,"Global"
"KL111",0.00226836999981752,0.00208650280466149,0.000617920574488196,0.00495963629894374,"Global"
"KL112",0.0141413262686326,0.0139438631928733,0.00920588465418852,0.0199986481396137,"Global"
"KL114",0.000565065927993035,0.000391623410488152,1.57408576507188e-05,0.00207906232119517,"Global"
"KL116",0.00337542328398199,0.00320835123944514,0.00127756499719305,0.00644692984770186,"Global"
"KL117",0.0028167266887564,0.00261648530312293,0.000933911612168172,0.0057328119605271,"Global"
"KL118",0.00114398114862325,0.00096140447061766,0.000136418859073639,0.00317964544472534,"Global"
"KL12",0.000568466892147113,0.000389969468079148,1.31876339231037e-05,0.00213758959253344,"Global"
"KL122",0.0147186650921351,0.0145431151227462,0.00968124299437444,0.0208939723028491,"Global"
"KL123",0.000569701245990379,0.000395071919452297,1.3696014979945e-05,0.00211483436530772,"Global"
"KL124",0.00112895458191305,0.000944835964506779,0.00013113102175975,0.00314258769313541,"Global"
"KL125",0.000565220983087326,0.000389988244878465,1.42527330149506e-05,0.00204799074300591,"Global"
"KL127",0.00565903225037016,0.00548543561412886,0.00276319743913835,0.00952769972491156,"Global"
"KL128",0.00169008651381758,0.00150838222090964,0.000333461332815301,0.004089742698583,"Global"
"KL13",0.00226339041660124,0.00208283950080842,0.000597606437190795,0.00494420900296265,"Global"
"KL131",0.00112462494824998,0.000938670133922419,0.000141167674570324,0.00313683116290904,"Global"
"KL134",0.000571351607451522,0.00039465603533985,1.37579293445113e-05,0.00211648301548521,"Global"
"KL136",0.00566180470396845,0.00548467321927474,0.00276041056096282,0.00971229248554797,"Global"
"KL137",0.000567218529383874,0.000392253183672898,1.4590267087371e-05,0.00211769776346896,"Global"
"KL139",0.000559299218027812,0.000401580821487622,1.62246762978476e-05,0.00199660532703309,"Global"
"KL14",0.00338604865955145,0.003196531438448,0.00125267545456965,0.00659952744015506,"Global"
"KL140",0.000568586418929785,0.000394424174682355,1.4385307833878e-05,0.00211357636901683,"Global"
"KL141",0.00113664673333268,0.000953082545353852,0.000136058594528901,0.00319844206858419,"Global"
"KL142",0.00169502355834423,0.00150023350185183,0.000332217835970409,0.00409436577099426,"Global"
"KL143",0.00113183440653371,0.000946620868314091,0.000140372680230751,0.00314705653922161,"Global"
"KL144",0.000556340379191407,0.000388104269898658,1.28230774958116e-05,0.00205923654132018,"Global"
"KL145",0.00336801634170548,0.00321034880107512,0.0012672127044588,0.00643718041829656,"Global"
"KL146",0.00112425215500164,0.000939878695625667,0.000141514928177015,0.00316863249096386,"Global"
"KL149",0.0270857044384099,0.0269475288654051,0.0204491319249968,0.034431318209761,"Global"
"KL15",0.100013071414234,0.0999024655222417,0.0869910191943749,0.113658714035142,"Global"
"KL151",0.00619971959235611,0.00601482241478325,0.00313414048819016,0.0103055805656486,"Global"
"KL155",0.00169995012766452,0.00151011700591202,0.000334102751734479,0.00416096879523321,"Global"
"KL158",0.000561351988941686,0.000386737161851259,1.42822991372108e-05,0.00204027998395058,"Global"
"KL16",0.0096122188406326,0.00941210401284823,0.00564963913168818,0.014728811605706,"Global"
"KL163",0.00056475808157825,0.000391725047549078,1.27877081507057e-05,0.00208632262179439,"Global"
"KL169",0.00113627439715544,0.000958208769789261,0.000141370578062811,0.00313161804716329,"Global"
"KL17",0.0197346747154887,0.0195423114260512,0.0137997841179414,0.0266767491803472,"Global"
"KL171",0.00112338964017664,0.000934892641338522,0.000131631628526336,0.00315521747795905,"Global"
"KL179",0.00056303283753551,0.000397422729057596,1.42257563875525e-05,0.00206732964214189,"Global"
"KL18",0.0028346580018442,0.00265370652593525,0.000922063639516028,0.00581897283325805,"Global"
"KL180",0.00282422034861893,0.00264058418501842,0.000897394483825278,0.00573896889856749,"Global"
"KL183",0.000569895934040766,0.000396165350531559,1.42832719637288e-05,0.00207104089707327,"Global"
"KL186",0.000564348287094658,0.000393996216750805,1.39991676722463e-05,0.00208179191087114,"Global"
"KL19",0.0118727987540292,0.0116973366616743,0.00733490776912461,0.0173372150493603,"Global"
"KL2",0.113045860365925,0.112813644519546,0.0987784324474568,0.127766256265965,"Global"
"KL20",0.0016956472070677,0.00151710305525642,0.00036369468923443,0.00403497165676783,"Global"
"KL21",0.00114819956943862,0.000967149172674146,0.000144218959883893,0.00315029532300216,"Global"
"KL22",0.000560805084219753,0.000401316168776692,1.4403442321137e-05,0.00202589299204053,"Global"
"KL23",0.023132304297543,0.0229666429931758,0.016683995273202,0.0305057852133115,"Global"
"KL24",0.0112963486475805,0.0111453564087639,0.00693755316535355,0.0168543900527544,"Global"
"KL25",0.058217153475294,0.0580354513808599,0.0482188839041945,0.0690783160587337,"Global"
