"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00896400895792171,0.00861010795903336,0.00416484459552937,0.0155916906913187
"KL10","Southern Africa",0.0119867990069658,0.0107433195055561,0.0026600249110319,0.0281687366519814
"KL10","Southern Asia",0.0416125693135367,0.0408072762313667,0.0249950802158725,0.0624670346145149
"KL10","Western Africa",0.0144887139091739,0.0109475351316283,0.00110202027903093,0.0482308401729455
"KL102","Eastern Africa",0.263644942186633,0.263515397097053,0.237254761573654,0.290771931776909
"KL102","Southern Africa",0.130869646345182,0.129857186493534,0.0916724571450882,0.17470057562658
"KL102","Southern Asia",0.0709277640519162,0.0701607600363915,0.0488724911579889,0.0968975975212032
"KL102","Western Africa",0.131684833898517,0.128484999731825,0.0668222666557991,0.214743461397851
"KL104","Eastern Africa",0.0570298699438604,0.0567850033556261,0.0437043331170507,0.0715402477928705
"KL104","Southern Africa",0.00173361306156344,0.000920344819998621,2.90455303398312e-05,0.00808097596695104
"KL104","Southern Asia",0.0115304130525706,0.0108163712620586,0.00383455960235667,0.0232974393795066
"KL104","Western Africa",0.00444969462614236,0.00211757831268479,4.93046439524323e-05,0.0219488797137535
"KL105","Eastern Africa",0.00182292995987713,0.00152531836977511,0.000242868428924261,0.00503109129456117
"KL105","Southern Africa",0.000861719934678569,0.000319099793995987,4.53879274867813e-06,0.00500281874038472
"KL105","Southern Asia",0.00414206628830859,0.00340503807701284,0.000499285103380417,0.0117073838628992
"KL105","Western Africa",0.00197566190241355,0.000612080276044374,8.45827262544295e-06,0.012584348265531
"KL106","Eastern Africa",0.00243700988341011,0.00214953302395298,0.000442446527395802,0.00606929109857379
"KL106","Southern Africa",0.000551515716528394,0.000151549666820441,1.31129192227088e-06,0.00358331231793562
"KL106","Southern Asia",0.000633066230231015,0.000249733755179528,3.31034005046185e-06,0.00359608742770627
"KL106","Western Africa",0.00128603043908742,0.000292165756823626,2.4521506018836e-06,0.00907709732037984
"KL108","Eastern Africa",0.0375965078511717,0.0373184520037343,0.0267818459108283,0.0501485751348126
