"locus","mean","median","lower","upper","subgroup"
"KL10",0.0243941962760971,0.0240456407893106,0.0146778777565765,0.0363948273536831,"Global"
"KL102",0.0885906523549081,0.0882981728878726,0.0697719328355842,0.109560120849481,"Global"
"KL104",0.00642187262710369,0.0059839275845846,0.00213762208455659,0.01299233917483,"Global"
"KL105",0.00384787616607049,0.0034184666314989,0.0007873068102559,0.00932569460384079,"Global"
"KL106",0.0038248727612901,0.00338663496378462,0.00083003451866804,0.00903188990244941,"Global"
"KL108",0.0102626047826221,0.00981625278500367,0.00445168208733487,0.0185199173960931,"Global"
"KL109",0.00257734850478394,0.00214872866214751,0.000296967687931711,0.0072609239396118,"Global"
"KL11",0.00128808556676454,0.000898653635878311,3.78921871420511e-05,0.00476481723092317,"Global"
"KL110",0.00638514797563785,0.00596455691025069,0.00206497770180659,0.0129175428652237,"Global"
"KL111",0.00513197451732058,0.00471948716334421,0.00134407797099895,0.0111838651064736,"Global"
"KL112",0.0230657543194239,0.022666899487648,0.0139395619235822,0.0346693630654618,"Global"
"KL113",0.0012857141098149,0.000888732880317921,3.33544343636927e-05,0.004668461644792,"Global"
"KL114",0.00129458594152331,0.00090041440856649,3.57075047378974e-05,0.00471581450063481,"Global"
"KL116",0.00643370709325306,0.00604616125234359,0.00215576213153747,0.0129599047262456,"Global"
"KL117",0.00512680924651217,0.00473378775315756,0.00142451481752712,0.0111526032620172,"Global"
"KL118",0.00254892637462022,0.00212600888142566,0.000306535574812177,0.007223105334224,"Global"
"KL12",0.0025745141753719,0.00213983466010385,0.000312603176628154,0.00723059391579498,"Global"
"KL122",0.0191551866229186,0.0187399114400345,0.0107836894811864,0.0299151021136221,"Global"
"KL123",0.00127598064774736,0.000894497317384974,3.24600838842183e-05,0.00467593456983503,"Global"
"KL124",0.00383780834992959,0.00344207536511781,0.000771014353360933,0.00928687790815174,"Global"
"KL125",0.00255745841104665,0.0021509762535852,0.000324643507151291,0.00709684305246005,"Global"
