"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0227037462813228,0.0219012024687489,0.0102010964864465,0.0400260097144702
"KL10","Southern Africa",0.013485963139356,0.0116933790784516,0.00264625818796983,0.0343021401725105
"KL10","Southern Asia",0.031399477090599,0.0298234318489805,0.0121053551596888,0.0600082122758533
"KL10","Western Africa",0.0205124987078541,0.0163588870600806,0.00253894573915768,0.0612251448782387
"KL102","Eastern Africa",0.104149075536564,0.103332400885432,0.0755301389444565,0.138158684014588
"KL102","Southern Africa",0.134310982169831,0.132984066006721,0.0850172805759062,0.192652685596203
"KL102","Southern Asia",0.0324924733208355,0.0308488996894189,0.0128395255293791,0.0608675894224871
"KL102","Western Africa",0.105711454735787,0.101480189737004,0.043230715819524,0.192682622432074
"KL104","Eastern Africa",0.0126513585779207,0.0118205162785427,0.00411095748145777,0.0259354468061976
"KL104","Southern Africa",0.00283101140396586,0.00179427119161251,0.000130120608202315,0.0116556120301818
"KL104","Southern Asia",0.00979264386173514,0.00838944651942056,0.00167853253882931,0.02627560545659
"KL104","Western Africa",0.00550421990262677,0.00325294150302178,0.000212520130326146,0.0244285885985051
"KL105","Eastern Africa",0.00391981712632778,0.00314454327015629,0.000362158456387988,0.0118998549461711
"KL105","Southern Africa",0.0011689030587925,0.000549123809794724,2.06675220348436e-05,0.00613416978370531
"KL105","Southern Asia",0.00180814068769234,0.000976396377433999,4.31288463141259e-05,0.00868256250759353
"KL105","Western Africa",0.00217765338075094,0.000932755915496912,3.38988446387829e-05,0.0120136476039775
"KL106","Eastern Africa",0.00622896372892933,0.00542024033530929,0.00115811914953659,0.0163008170940052
"KL106","Southern Africa",0.00150103069044143,0.000768668067454502,3.7681839443804e-05,0.00747416686150891
"KL106","Southern Asia",0.00217115318765075,0.00129392684919071,7.72920860481305e-05,0.00926560125846818
"KL106","Western Africa",0.00275177094260047,0.00131822539574407,5.95565913755931e-05,0.0137666234147681
"KL108","Eastern Africa",0.0155323000484256,0.0146247798617233,0.00591805140439792,0.0299080200404336
"KL108","Southern Africa",0.00619307669351236,0.00468598820541953,0.000634038196732751,0.020478009477634
"KL108","Southern Asia",0.0043189431939207,0.00318709463070225,0.00035984450105762,0.0147917275326525
"KL108","Western Africa",0.0133579445835882,0.0096129431254577,0.00112985962793802,0.0480156216228582
"KL109","Eastern Africa",0.00171929662195927,0.00106274819399325,3.27040007538386e-05,0.00716483903887071
"KL109","Southern Africa",0.00073594440395959,0.000269990810270617,4.248049063126e-06,0.0045439357063022
"KL109","Southern Asia",0.00115631814926367,0.000492623785072539,9.07446301232769e-06,0.00624951909722239
"KL109","Western Africa",0.00131785172497552,0.000428119368998578,6.84267166020577e-06,0.00823765022757736
"KL11","Eastern Africa",0.00090450001860456,0.00045651443566384,1.0333341643322e-05,0.00442222618589442
"KL11","Southern Africa",0.000821717630127671,0.000295465593641228,4.79900708713458e-06,0.00490818729094984
"KL11","Southern Asia",0.00266099961787612,0.00153973890820804,4.36112233287362e-05,0.0116867513144213
"KL11","Western Africa",0.00143604019783414,0.00048870271452265,8.64865693401686e-06,0.00888861201076303
