"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0257132519245744,0.024761490056333,0.0117465687252074,0.0452199517812231
"KL10","Southern Africa",0.0161832743840845,0.0141958438805774,0.00348311351890801,0.039335511833371
"KL10","Southern Asia",0.0491991649399684,0.0476824357859051,0.024412224194673,0.0820777248525238
"KL10","Western Africa",0.0434696438987511,0.0330411179727069,0.00451766577135637,0.141949519857831
"KL102","Eastern Africa",0.105167700461031,0.104255221338423,0.0739446301411024,0.140186112351855
"KL102","Southern Africa",0.144248306238642,0.142424949352694,0.0913648858714424,0.208141480887679
"KL102","Southern Asia",0.0268186677901702,0.0253170544913099,0.0100284759604589,0.0514558597471348
"KL102","Western Africa",0.102667489747909,0.0909136013577261,0.0203685521933866,0.251428108876446
"KL104","Eastern Africa",0.0139150539891745,0.0129844298914649,0.00468078724865525,0.0284300531467373
"KL104","Southern Africa",0.00336736002914081,0.00224734437066692,0.000191835625064389,0.0130205636718249
"KL104","Southern Asia",0.00978033053939766,0.00842845730320547,0.00180237650900808,0.0251466183480287
"KL104","Western Africa",0.0079842787961918,0.0041897214227018,0.000284717013967677,0.0384822586870155
"KL105","Eastern Africa",0.00519572444120575,0.00435582062543374,0.000779382366256648,0.0143836167863201
"KL105","Southern Africa",0.00202463607045849,0.00115779729736237,7.50253587642953e-05,0.00960272301988445
"KL105","Southern Asia",0.0047112247488994,0.00350265460602148,0.000400091589238904,0.0157070262826586
"KL105","Western Africa",0.00427311441103042,0.00185334940751857,9.65038163431936e-05,0.0232662488428215
"KL106","Eastern Africa",0.00426111630468984,0.00342447271929471,0.000434751873570782,0.0127051561782253
"KL106","Southern Africa",0.00134926785064084,0.000682052400451014,3.24454456300765e-05,0.00660994622820487
"KL106","Southern Asia",0.00194627348639278,0.00112191112313015,5.85668021408321e-05,0.00854733868281279
"KL106","Western Africa",0.0028216078640692,0.00104145140653497,3.43919331864403e-05,0.0172537131185268
"KL108","Eastern Africa",0.00310628366836746,0.00233042488493114,0.000236376424744204,0.0103145981406218
"KL108","Southern Africa",0.00341378424100293,0.00216462767863021,0.000154116154197099,0.0139698559521037
"KL108","Southern Asia",0.00230202552076286,0.00142843139157393,8.52484535166689e-05,0.00960270117655625
"KL108","Western Africa",0.00342869179488403,0.00142284715264103,5.91110351873637e-05,0.0200372924517531
"KL109","Eastern Africa",0.00291540306440084,0.00217733459076509,0.00021114539922071,0.00995774605113433
"KL109","Southern Africa",0.00154391617281979,0.000813949301359058,3.75431482538365e-05,0.00745121704345588
"KL109","Southern Asia",0.00390379919132971,0.00279005418940115,0.000238739970930866,0.0140413839089777
"KL109","Western Africa",0.00322593307208073,0.00123564263538315,4.73519364728179e-05,0.0185242275781554
"KL11","Eastern Africa",0.00106386186536783,0.000540131515062823,1.36108220312387e-05,0.0051192949485396
"KL11","Southern Africa",0.000905373108859633,0.000351692681851087,6.67845970427096e-06,0.00516414529419235
"KL11","Southern Asia",0.00257095346208977,0.00149947290951418,4.23158398753293e-05,0.0110744498936209
"KL11","Western Africa",0.00168554326813608,0.00049586950313861,8.8646264844842e-06,0.0110649938061688
"KL110","Eastern Africa",0.00872378547187407,0.0077973090278543,0.00210180460737219,0.0205198028018754
"KL110","Southern Africa",0.00583653358788895,0.00426747179211169,0.000513754880261619,0.0202398702894697
"KL110","Southern Asia",0.006333447685827,0.00510814379035422,0.000793313505283188,0.0189004373148032
"KL110","Western Africa",0.00733360905946577,0.00371070961927437,0.000227843660119853,0.036573537163723
