"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0223335110679499,0.0214789764162378,0.00999105751668661,0.0398348037288551
"KL10","Southern Africa",0.00823074680463093,0.00551131144700257,0.000485839250906366,0.0313092575683164
"KL10","Southern Asia",0.0410699557837006,0.0397073995702566,0.0201038771012813,0.0688473938113197
"KL10","Western Africa",0.0190352715412308,0.0150973923400076,0.0020954962071551,0.0577199676742242
"KL102","Eastern Africa",0.104111510492807,0.103552162931883,0.0739858950007252,0.138052037072527
"KL102","Southern Africa",0.100350113739643,0.0966802011266633,0.0425147794269798,0.180791579317985
"KL102","Southern Asia",0.0263952768913941,0.025008063755807,0.0101315606084725,0.050436579493309
"KL102","Western Africa",0.1037811815939,0.0994117559827612,0.0417356544601838,0.191804250557984
"KL104","Eastern Africa",0.0125851668192794,0.011755291607217,0.00405776768446517,0.025941396329327
"KL104","Southern Africa",0.00412579444293012,0.00237610672993655,0.000148302487314622,0.0188218840285977
"KL104","Southern Asia",0.00847012931716244,0.0072838703868989,0.00150232817316654,0.0222151060266325
"KL104","Western Africa",0.00553997757622449,0.00335731549452212,0.00025006589150335,0.0234193300105462
"KL105","Eastern Africa",0.00467929720199849,0.00395088287730782,0.000644114741265609,0.0128895150023221
"KL105","Southern Africa",0.00240270436239642,0.00111929067965315,5.82890792452925e-05,0.0124324073540982
"KL105","Southern Asia",0.0041948548971943,0.00315640210156794,0.000362952070926863,0.0139912153229151
"KL105","Western Africa",0.00337374209630865,0.00169398325922292,8.89397155341877e-05,0.0168163774155378
"KL106","Eastern Africa",0.00633229248289254,0.0054997438798818,0.00110313307237477,0.0165432106053036
"KL106","Southern Africa",0.00202350138345079,0.00089935169236496,3.77767926986583e-05,0.0108488033364929
"KL106","Southern Asia",0.00204557923785909,0.0012868428800868,8.01878454636204e-05,0.00843263768420133
"KL106","Western Africa",0.00287561353492206,0.00133260765760835,6.08276304908497e-05,0.0150385777583903
"KL108","Eastern Africa",0.0158839732166877,0.0150300930494898,0.00589613672309412,0.0314494930835984
"KL108","Southern Africa",0.010746943509772,0.00780351976161406,0.000868849986192261,0.0377517291525813
"KL108","Southern Asia",0.00408299950030543,0.00309484867331626,0.000391422218026251,0.0131842494438167
"KL108","Western Africa",0.0140325295387004,0.0104004346975695,0.00125039461510825,0.0490066400865772
"KL109","Eastern Africa",0.00259192466319783,0.0019230623735724,0.000183096808299707,0.00871486412310285
