"locus","mean","median","lower","upper","subgroup"
"KL10",0.0269459545931581,0.026546696039731,0.0166219710673441,0.0395955181437111,"Global"
"KL102",0.088333674278083,0.0880194395030886,0.0693843879463441,0.109183170277691,"Global"
"KL104",0.00896246498261294,0.00855760688601398,0.00362312029745747,0.0164006549573269,"Global"
"KL105",0.00383809801651822,0.00343129549704911,0.000833633992947984,0.00918293844677651,"Global"
"KL106",0.00385501915394287,0.00341116624796812,0.000783596191375291,0.00904874372010149,"Global"
"KL108",0.0101841276228037,0.00978010798689267,0.00434959515859384,0.018389397536364,"Global"
"KL109",0.0025170700997578,0.00213049672646317,0.000321195131173966,0.00702993817679245,"Global"
"KL11",0.0012769797580179,0.000886323306453816,3.2128978247543e-05,0.00466530299501755,"Global"
"KL110",0.00642409672942337,0.0060066945449553,0.0020670408994084,0.013281299948968,"Global"
"KL111",0.00510764468633331,0.00467497158697985,0.0013481917138645,0.0112806041656146,"Global"
"KL112",0.024376866590426,0.024062533594886,0.0145086271070274,0.0362588225645596,"Global"
"KL113",0.00128158782647054,0.000889069031444047,3.57762474990383e-05,0.00469592178159231,"Global"
"KL114",0.00127558474685625,0.000870423262165014,3.4386482828188e-05,0.00470035191302714,"Global"
"KL116",0.00637685632236991,0.00599621342963307,0.00213994341443749,0.0128640361500518,"Global"
"KL117",0.00511510995289784,0.00469082805879988,0.00139542749164526,0.0110930212749138,"Global"
"KL118",0.00255423022530669,0.0021413844677782,0.000297264361292694,0.00723100209651388,"Global"
"KL12",0.0025491236876883,0.00215993855755521,0.000345933585556619,0.0069531426619538,"Global"
"KL122",0.0191570895720649,0.0188105287120636,0.0109306048067973,0.0297728992431437,"Global"
"KL123",0.00129493866790374,0.000889905347276709,3.3764096924786e-05,0.00472163970639367,"Global"
"KL124",0.00384386811924791,0.00343555614022666,0.000789489403403838,0.00928455578825036,"Global"
"KL125",0.00256383088391851,0.00215190818141443,0.00030507598920998,0.00708820714643553,"Global"
"KL127",0.00382491394440251,0.00342876380676278,0.000811695108345621,0.0090345749645937,"Global"
"KL128",0.00384988139872175,0.00341261237766978,0.000800716374287026,0.00922109148706964,"Global"
"KL13",0.00383824456443143,0.00344266472771818,0.000794600114454626,0.00911586855681068,"Global"
"KL131",0.00256149474929784,0.00217615187380389,0.000328703854142375,0.00710598540221028,"Global"
"KL136",0.010182725658162,0.00978140423475983,0.00437172037645328,0.0184277871207176,"Global"
"KL137",0.00127200298250855,0.00088088224615718,3.31390438713163e-05,0.00482910262712633,"Global"
"KL139",0.00127202381682243,0.000890453015414753,3.1899781070398e-05,0.00467876049866065,"Global"
"KL14",0.00642907369347701,0.00605394771043784,0.0020964024708275,0.0130357725566151,"Global"
"KL140",0.00127587050052944,0.00087735091978961,3.18814720887636e-05,0.0047260856943372,"Global"
"KL141",0.00255756864162933,0.00216920790412476,0.000293134236146312,0.00712469714979821,"Global"
"KL142",0.00383405373181527,0.00341809618212095,0.000783895544295569,0.00911391625048705,"Global"
"KL143",0.00127628479276887,0.000889743804952099,3.06933264145982e-05,0.00465098902169579,"Global"
"KL144",0.00128188518095304,0.00089008111111839,3.24090272350195e-05,0.0047295839024734,"Global"
"KL145",0.00127382148782827,0.00088279664033516,3.1904454264061e-05,0.00458658380986346,"Global"
"KL146",0.00257404424310834,0.00216695494435631,0.000308940236802906,0.00705946450875894,"Global"
"KL149",0.0217764474843149,0.0214298566039255,0.0129696564289844,0.032533337568672,"Global"
"KL15",0.0551299075405491,0.0548062092046824,0.0402642645085792,0.0720363781916931,"Global"
"KL151",0.00637853755271607,0.00595221353563508,0.00209840137336678,0.0129886488956723,"Global"
"KL155",0.00516216550937416,0.00475608904918435,0.0014434991293762,0.0111846287648781,"Global"
"KL157",0.0012735177582762,0.000893465681733611,3.52744372387686e-05,0.00463855531933627,"Global"
"KL158",0.0012824288523636,0.000897898692183655,3.39946329841011e-05,0.00469463255693645,"Global"
"KL16",0.0153941905144993,0.0150114784661186,0.00802861389121485,0.0252309139419086,"Global"
"KL163",0.00127071503540836,0.000888158214344729,3.40192624372869e-05,0.0046963309074449,"Global"
"KL169",0.00256027423450061,0.00214144836026714,0.00029791620070446,0.00716072967805796,"Global"
"KL17",0.0257291240428163,0.0253421223030917,0.0156909493667025,0.0380742367212348,"Global"
"KL171",0.0012697558740965,0.000876864945610214,2.94690487952943e-05,0.00475869082428027,"Global"
"KL179",0.00127358065627185,0.000884177113687659,3.05272979603845e-05,0.0046951523125054,"Global"
"KL18",0.00637918911601394,0.00598007312387806,0.00197412091295025,0.0130186705578342,"Global"
"KL180",0.00254146122463356,0.00212424901833993,0.000295520980259477,0.00716020084248451,"Global"
"KL183",0.00127933262478168,0.000884039330508928,3.1904707816084e-05,0.00466228204396664,"Global"
"KL186",0.00130313438701148,0.000918954032766548,3.7017018149287e-05,0.00480579565104286,"Global"
"KL19",0.0166544698463416,0.0162914933735347,0.00874487406606271,0.0266865837043972,"Global"
"KL2",0.090847761359995,0.0904544826504701,0.0718765902982281,0.111874567146791,"Global"
"KL20",0.00641463645678068,0.00600900111511031,0.00207317689299245,0.0131560898516954,"Global"
"KL21",0.00255423643889623,0.00215141329274307,0.000311161134673631,0.00720422522473925,"Global"
"KL22",0.00128013418985924,0.000890488416965415,3.27765740821703e-05,0.00474914340914934,"Global"
"KL23",0.0256172644615115,0.025204317561614,0.0159184712840526,0.0378026711977708,"Global"
"KL24",0.0204301660041879,0.0199997348076528,0.0117399369657507,0.0316084518552631,"Global"
"KL25",0.0819015228033463,0.081496221274701,0.0643607024023304,0.101877100500818,"Global"
"KL27",0.00509934594523178,0.0047032568632193,0.001394139172589,0.0110367220969924,"Global"
"KL28",0.0141090860110348,0.01372454606142,0.00715470189954406,0.0234826050185519,"Global"
