"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0228205882122121,0.0219209057398796,0.0103974441212804,0.0404332423653925
"KL10","Southern Africa",0.0144657701694568,0.0125342395383728,0.00275412395588298,0.0365022164873508
"KL10","Southern Asia",0.0420988165207681,0.0407349518467148,0.0207505215462799,0.0708478477108487
"KL10","Western Africa",0.0213485282471128,0.0168881518734602,0.00239593704863913,0.0653287247327991
"KL102","Eastern Africa",0.104402633763862,0.103782507761567,0.0749303577599672,0.138817885870193
"KL102","Southern Africa",0.14365469428665,0.142025930005008,0.0917102239148108,0.205522904605097
"KL102","Southern Asia",0.0263889961315809,0.0250796228332377,0.0102846282656511,0.0496121558817412
"KL102","Western Africa",0.105384781020326,0.10088987875205,0.0414780615961026,0.194585519150688
"KL104","Eastern Africa",0.0124863511899208,0.0116365073931294,0.00404397186882988,0.0256048840743802
"KL104","Southern Africa",0.0026943507671421,0.00163059382058619,0.000109630200944711,0.0114949816826967
"KL104","Southern Asia",0.00825106462404286,0.00710242448782775,0.00147188458933862,0.0214742075909854
"KL104","Western Africa",0.00523746781837997,0.0030263909899996,0.000201519358591969,0.0235763047179024
"KL105","Eastern Africa",0.00463776291499259,0.00389322178982479,0.000686380005514992,0.0128143136842969
"KL105","Southern Africa",0.00168996314159975,0.000902048915975554,4.32881729838525e-05,0.00814354129526389
"KL105","Southern Asia",0.00407362424722665,0.00303968928911463,0.000332473364123507,0.013687447029204
"KL105","Western Africa",0.00316565116023277,0.00150096388302815,7.29032653002374e-05,0.0158699715920857
"KL106","Eastern Africa",0.00626939849507102,0.0054327712672498,0.00110635406740407,0.0161270034371209
"KL106","Southern Africa",0.00145151650628754,0.000720651265246268,3.19758927127366e-05,0.00707998348718573
"KL106","Southern Asia",0.00190441559184129,0.00117564434807328,7.17686980679503e-05,0.00804576200217979
"KL106","Western Africa",0.00266120297794186,0.00124186244140996,5.48218339418569e-05,0.0140231171158524
"KL108","Eastern Africa",0.0154968437775481,0.0145802765456693,0.0055764394307754,0.0302465072549484
"KL108","Southern Africa",0.00642623480820906,0.00479910928019669,0.000572745120348607,0.0213797350610104
"KL108","Southern Asia",0.00363068476905386,0.00270628386824047,0.000302670468436336,0.0124180052682746
"KL108","Western Africa",0.0131987133925072,0.00946475780007106,0.000995817081508359,0.047109560448772
"KL109","Eastern Africa",0.00245899355498094,0.00177148902954257,0.000171801723579774,0.00847236943384666
"KL109","Southern Africa",0.00129190399939474,0.000585312534088107,2.45687134924219e-05,0.00675333372354716
"KL109","Southern Asia",0.00337996024105533,0.00238900198324084,0.000197805094950872,0.0124073765503657
"KL109","Western Africa",0.00236964897468169,0.00102970230844702,3.91266418730719e-05,0.0129459438853414
"KL11","Eastern Africa",0.000827435351430623,0.000395464977073859,7.46205232001612e-06,0.00433999295675457
"KL11","Southern Africa",0.000718400727499991,0.000249876338526976,4.28950634385772e-06,0.00429979781737615
"KL11","Southern Asia",0.00229416711278765,0.00139144308034193,3.7816684213294e-05,0.00996843949263853
"KL11","Western Africa",0.00130156735616014,0.000420494208885819,6.19803846575e-06,0.00831682786404478
"KL110","Eastern Africa",0.00783722345162979,0.00695293039841779,0.00181689856333048,0.0186242278923205
"KL110","Southern Africa",0.0053288840593091,0.00380573883598488,0.000385110626604806,0.0189904724750404
"KL110","Southern Asia",0.00526652727139925,0.00419259239191784,0.000611903950025007,0.0158864061870523
"KL110","Western Africa",0.00499935179154194,0.00284080996826093,0.000181917268901308,0.0226076716016549
"KL111","Eastern Africa",0.00700320458568118,0.00614633328858987,0.00143715771027585,0.0173893086833347
"KL111","Southern Africa",0.00191887685366011,0.00104706297065185,5.77797975274624e-05,0.00918488578308328
"KL111","Southern Asia",0.00446134791582067,0.00335767191510982,0.000404100486257295,0.0145453915598246
"KL111","Western Africa",0.0037501927402248,0.00186169923989099,9.55789923914627e-05,0.0188453950997608
"KL112","Eastern Africa",0.0118985106705565,0.0110613658664119,0.00375524849998974,0.0246622035392179
"KL112","Southern Africa",0.00824978370423578,0.00649936333050278,0.000952921155242376,0.0251754471421599
"KL112","Southern Asia",0.0567025801218549,0.0555632857792363,0.0304374383346743,0.0894938486037521
"KL112","Western Africa",0.00938712223422517,0.00637413560767326,0.000518261024653586,0.0362679173106132
"KL113","Eastern Africa",0.001670099077396,0.00102060584913137,3.70178590053211e-05,0.00690684952624442
"KL113","Southern Africa",0.00071249987964061,0.000247940281518535,4.01792736374289e-06,0.00441222679354939
"KL113","Southern Asia",0.00103142282792141,0.000469069328459172,9.00904259249537e-06,0.00547571692902051
"KL113","Western Africa",0.00128481708814277,0.00040065398037547,6.12532018039865e-06,0.00839913960763238
"KL114","Eastern Africa",0.000821470737382945,0.000385591706960171,8.70426930010995e-06,0.00406640132075957
"KL114","Southern Africa",0.000722935353212707,0.000257942876594421,3.91728978886329e-06,0.00448494474399098
"KL114","Southern Asia",0.00228869214710466,0.00136592971912661,3.89435947462787e-05,0.00983779704124383
"KL114","Western Africa",0.0013317003396929,0.000413674050058232,6.46582232819031e-06,0.00857137472504677
"KL116","Eastern Africa",0.00223333437078802,0.00161212553280574,0.000163429019758491,0.00795590300705223
"KL116","Southern Africa",0.00256507311323733,0.0015196352529683,9.14283204365507e-05,0.0108230319397997
"KL116","Southern Asia",0.00302774143250697,0.00212219270814645,0.000179344825580891,0.0109147763808096
"KL116","Western Africa",0.0568759667694019,0.0518144402509307,0.0142280534391483,0.125595906389903
"KL117","Eastern Africa",0.00512299773327621,0.00430271391354379,0.00078038507853301,0.0139328507793436
"KL117","Southern Africa",0.00207010232503239,0.00114135747054504,6.98581426176656e-05,0.00923567434706475
"KL117","Southern Asia",0.00722775476295703,0.00600624939877942,0.00109522502788202,0.020173692106909
"KL117","Western Africa",0.00390374991132498,0.00202886726080543,0.000125442524773782,0.0189540909142513
"KL118","Eastern Africa",0.00383815308340566,0.00308186463204812,0.000366405143762084,0.0117536391183072
"KL118","Southern Africa",0.00113440379197586,0.000496159442823431,1.75433578515862e-05,0.00607059173635068
"KL118","Southern Asia",0.00157329710558075,0.000886075446785375,3.88656002864643e-05,0.00705511351385131
"KL118","Western Africa",0.00204229372850117,0.000839277164677024,3.10805947174848e-05,0.0113082601830959
"KL12","Eastern Africa",0.00145859925382894,0.000929169555735102,5.72065846275294e-05,0.00594287443708932
"KL12","Southern Africa",0.00338371395295407,0.0021049965794201,0.000127101532156228,0.0140543545425508
"KL12","Southern Asia",0.00366804118867087,0.00269152928309997,0.000257722927786973,0.0126047053011396
"KL12","Western Africa",0.00272392645534373,0.00121829779426349,5.1272511190489e-05,0.0147563891278751
"KL122","Eastern Africa",0.0223715992421871,0.021474550919536,0.010100756666506,0.0389996888196299
"KL122","Southern Africa",0.0137699428756233,0.0118212352895164,0.00251492157527983,0.0354337981852587
"KL122","Southern Asia",0.0146960839574138,0.0134407705032988,0.00400577443114526,0.0326921510898122
"KL122","Western Africa",0.030997406242567,0.0263775642741643,0.00547899215103638,0.0825009037421028
"KL123","Eastern Africa",0.00168316694855706,0.00103655827816685,3.13246629531462e-05,0.00677976040852274
"KL123","Southern Africa",0.000729690286531608,0.000241129754031237,4.39220593935016e-06,0.00451759536245574
"KL123","Southern Asia",0.00103955282889,0.000469389249584348,9.14758187576075e-06,0.00554057154903772
"KL123","Western Africa",0.00131223824412211,0.000401350823592115,5.68193262342158e-06,0.00839646194934784
"KL124","Eastern Africa",0.00297473462119762,0.00229744265093714,0.000279345724069912,0.00933159299489714
"KL124","Southern Africa",0.0016890367470987,0.000877859014639525,4.57191154343844e-05,0.0081555748963024
"KL124","Southern Asia",0.0066152889375948,0.00543491907060102,0.000827181326664535,0.0190518439923598
"KL124","Western Africa",0.00323259576568818,0.00154552818555311,7.26681284435103e-05,0.016963382468757
"KL125","Eastern Africa",0.00146130299627193,0.000911234072101143,5.38770840815863e-05,0.0059702748635702
"KL125","Southern Africa",0.00336598090774786,0.00209366250832211,0.000125163224783694,0.0135934889443239
"KL125","Southern Asia",0.0037181442215043,0.00268446572220429,0.000227265364379437,0.0129214893108746
"KL125","Western Africa",0.00274916133066171,0.00122597144716485,4.99263862726832e-05,0.0149450688866598
"KL127","Eastern Africa",0.00327380641284363,0.00259046789677188,0.000349954996630001,0.0101271070427289
"KL127","Southern Africa",0.00203753278889382,0.0011241242658534,6.40490384601714e-05,0.00958191106591356
"KL127","Southern Asia",0.00454739465322756,0.00348451785963669,0.00044629479735767,0.0143183482417484
"KL127","Western Africa",0.00887418491705071,0.00564769620977801,0.000422516529441145,0.0356754889151777
"KL128","Eastern Africa",0.00149668353673522,0.000940955810471299,5.6278582089381e-05,0.00616199450416626
"KL128","Southern Africa",0.00152733508884569,0.000751610813158752,3.42382663443025e-05,0.00753647087889893
"KL128","Southern Asia",0.00907383860290169,0.00778285076484121,0.00152356268262638,0.023782159019404
"KL128","Western Africa",0.00287225331065148,0.00132514814056769,5.72891364626074e-05,0.0151949657628793
"KL13","Eastern Africa",0.00487981675489136,0.00413319779458398,0.00074342599383436,0.013554279607514
