"locus","mean","median","lower","upper","subgroup"
"KL10",0.0261940438354862,0.0257636463059829,0.0156119605437959,0.0393297526742985,"Global"
"KL102",0.0943622828956288,0.094016864886957,0.0740939762928014,0.116840198442078,"Global"
"KL104",0.0101892613759051,0.0097364506747515,0.00408339168719509,0.0189642143809955,"Global"
"KL105",0.00437244098530329,0.00389492202661958,0.000844612458817155,0.0106275327243955,"Global"
"KL106",0.00432643066980286,0.00386126986795426,0.00092629329428967,0.0103280602402879,"Global"
"KL108",0.0115931763651109,0.011164807364047,0.00508330789454315,0.0207196117476231,"Global"
"KL109",0.00290617780547631,0.00244376311716605,0.000355016543150616,0.00804301009613864,"Global"
"KL110",0.00579389246625624,0.00533018563479182,0.00155474851835289,0.0126888164544776,"Global"
"KL111",0.0042973994958999,0.00386028601446344,0.000888415979297389,0.0101692947007731,"Global"
"KL112",0.0245819998627086,0.0242094931921863,0.014399329412135,0.03726049264733,"Global"
"KL113",0.00146362165057436,0.00103795573292613,3.73888285691008e-05,0.00528356149600687,"Global"
"KL114",0.00144391025586926,0.0010050621404283,4.17541175200118e-05,0.00525550962629859,"Global"
"KL116",0.00723381937625554,0.00680581006593564,0.0024222791692287,0.0144614290145377,"Global"
"KL117",0.00580070247444887,0.00531882791306844,0.00160361164150058,0.0124624937804886,"Global"
"KL118",0.00289153041998699,0.0024250140059279,0.000355352655157598,0.00793089668699567,"Global"
"KL12",0.00288646482160934,0.00241476351849011,0.000349713037616133,0.00807120669223404,"Global"
"KL122",0.0187546685376415,0.0183533173365344,0.00983513980072822,0.0301804870338547,"Global"
"KL123",0.00143976405499655,0.00101423254504581,3.42735754632007e-05,0.00523397858576165,"Global"
"KL124",0.00143872604156081,0.000990088360118043,3.79425751829988e-05,0.00521657259710037,"Global"
"KL125",0.00287794199686396,0.00240333050430898,0.000351058893215998,0.00805378242631539,"Global"
"KL127",0.00435784832594579,0.00389517552220695,0.00088738650773495,0.0105271527001318,"Global"
"KL128",0.00291122347881443,0.0024315783576697,0.000365166269991707,0.00800374776213886,"Global"
"KL13",0.00439737861749035,0.00389078069671252,0.000877821030194409,0.0106648620550236,"Global"
"KL136",0.00869914016932826,0.00827865093921156,0.00330387313977476,0.0166705706053661,"Global"
"KL137",0.00145458998547545,0.00101151646870518,3.72105072516128e-05,0.00527312492073044,"Global"
"KL139",0.00144627350237808,0.00100599203040154,3.16275117119178e-05,0.00524172159170657,"Global"
"KL14",0.0072044976706486,0.00671024671286726,0.00239996321698551,0.0145389001468899,"Global"
"KL141",0.00143276773264351,0.00100563905233466,3.71863036112827e-05,0.00519318387076271,"Global"
"KL142",0.004369693360803,0.00389418277292274,0.000886581155756696,0.0105565254175965,"Global"
"KL143",0.00146003637369425,0.00100113735281295,3.67039037686629e-05,0.00537634182678516,"Global"
"KL144",0.00143205068056452,0.000982618686247322,3.80052569052365e-05,0.00523427750681553,"Global"
"KL145",0.0014462106470308,0.000998846975127686,3.49735831516708e-05,0.005367230546389,"Global"
"KL146",0.00289301807841094,0.00245188143971487,0.000329813265561503,0.00804318945329158,"Global"
"KL149",0.0231551218833538,0.0228029200911138,0.0134944850505291,0.0350073271095452,"Global"
"KL15",0.0419630904233317,0.0415593921455361,0.0285241950411039,0.0581136615499258,"Global"
"KL151",0.00724077313325169,0.0067687067990837,0.00233257736317026,0.0148502355770074,"Global"
"KL155",0.00437400916090348,0.00388560943832999,0.000881783909652119,0.0104281569746473,"Global"
"KL157",0.00143355605510477,0.0010149918754781,3.94722003213346e-05,0.00513113326231032,"Global"
"KL158",0.00143148180180107,0.000995893324431821,3.30688548870792e-05,0.00532243691430797,"Global"
"KL16",0.0174532623174325,0.0170240157950729,0.00927035109213566,0.0282565989598085,"Global"
"KL163",0.00143590770629082,0.000995743797474294,3.52387451061093e-05,0.00532598843760667,"Global"
"KL169",0.00288955838917035,0.00246513591944853,0.000382321460564501,0.0077615671352414,"Global"
"KL17",0.0245920293675944,0.024104693348115,0.0143026407835036,0.0376704844760396,"Global"
"KL179",0.00146028039350878,0.0010272188945759,3.94095586035799e-05,0.0053323987158808,"Global"
"KL18",0.0072445470680858,0.00676870102391072,0.00235993663434062,0.014866628651347,"Global"
"KL180",0.00289025988634462,0.00243267890304502,0.000355810187950186,0.00794972422018804,"Global"
"KL19",0.0145915003789709,0.0141250075273445,0.00708325478163571,0.0247103819235734,"Global"
"KL2",0.101139444971065,0.100730682402842,0.0801524277715598,0.123916058510913,"Global"
"KL20",0.00720621121342181,0.00675552199627447,0.00232345925580724,0.0147218587643336,"Global"
"KL21",0.00143973635147476,0.00100598005542452,3.479620578721e-05,0.0053618991361775,"Global"
"KL22",0.00145827410335798,0.00101339253249733,3.99852165375298e-05,0.0053957666553471,"Global"
"KL23",0.027592409671349,0.0271733189043233,0.0166907870308257,0.0408095511985021,"Global"
"KL24",0.0231258152747399,0.0226596128865552,0.0133822756210411,0.035488530806606,"Global"
"KL25",0.0911915334563683,0.0909610983681444,0.0712104296929138,0.113293723318535,"Global"
"KL27",0.00289454780844783,0.00241392961674931,0.000352148431307831,0.00818515180035711,"Global"
"KL28",0.0159124413347244,0.0154701320623409,0.00815652085183215,0.026076463292592,"Global"
"KL3",0.0159680944225156,0.0155081759776252,0.0080627346038996,0.0265427681503472,"Global"
"KL30",0.036131671078858,0.0357016113990164,0.0234621816471985,0.0516364079524768,"Global"
"KL31",0.00290385370978633,0.00244842635656036,0.000357249032831114,0.00793039704664381,"Global"
"KL34",0.00287209751228285,0.00243695312500563,0.000348852931371586,0.00796277950153016,"Global"
"KL35",0.00289279113309769,0.00242418594668352,0.000352772166021449,0.00821977013577657,"Global"
"KL36",0.00291010926195178,0.00244676799693616,0.000338249749468979,0.00814729061352061,"Global"
"KL38",0.0115881855696023,0.0111504415487379,0.00486982012106507,0.0207766919028465,"Global"
"KL39",0.0231053496430785,0.0227140395086668,0.0133727435680311,0.035365456350978,"Global"
"KL43",0.00434557617126008,0.00382839840684726,0.000926655613868456,0.0105249005733481,"Global"
"KL45",0.00144477892701593,0.00102621844159474,3.77444873919446e-05,0.00531901756917835,"Global"
"KL46",0.00290729453748492,0.00243436686253347,0.000335756894435269,0.00822641462387344,"Global"
"KL47",0.00439854508729694,0.0039021284510208,0.000938253475097554,0.0105713006920774,"Global"
