"locus","mean","median","lower","upper","subgroup"
"KL10",0.0280019970988645,0.0275583869620026,0.0171374352481807,0.0412963643517814,"Global"
"KL102",0.0839728157021002,0.0835930153264482,0.0645695406662948,0.10552787121554,"Global"
"KL104",0.00883364937207777,0.00831808965773724,0.00320912558240837,0.0173252077187871,"Global"
"KL105",0.00149605727747177,0.00103968274793698,3.6454239611765e-05,0.00556830006760354,"Global"
"KL106",0.0029262194780583,0.00245532875995904,0.00035929601288826,0.00821775971869156,"Global"
"KL108",0.011756705442665,0.0112937119646762,0.00506540686657836,0.0210751950369185,"Global"
"KL109",0.00146151145636528,0.0010167799569896,3.65762831523377e-05,0.00530958099400048,"Global"
"KL11",0.00148193560642305,0.00104469867991155,4.16744611070042e-05,0.00543568436647123,"Global"
"KL110",0.00443429325067475,0.00397418818089918,0.000914817046914992,0.0107283167179432,"Global"
"KL111",0.00294237289501818,0.00249716616289951,0.000368528811015689,0.00821624673067782,"Global"
"KL112",0.0250247011578923,0.024496617152959,0.0147447935138735,0.0379064791589735,"Global"
"KL113",0.00146660676118289,0.000992714738689577,3.59298488163606e-05,0.0057371442274893,"Global"
"KL114",0.00148482378317299,0.00101815584862331,3.93421538072924e-05,0.00563154157019428,"Global"
"KL116",0.00737537313822119,0.00694191142314634,0.00249799169473864,0.0148687978891009,"Global"
"KL117",0.00590090237555002,0.00541632630044296,0.00157297945947797,0.0128012500056872,"Global"
"KL12",0.00293876767747096,0.00248768108355069,0.000393626541342412,0.00801712597175127,"Global"
"KL122",0.01622796461727,0.0158189349805201,0.00821729846858488,0.0267697344921651,"Global"
"KL124",0.00442637317602779,0.00394024587651203,0.000936000988346521,0.0104902490867643,"Global"
"KL125",0.00294699627355374,0.00247739327632557,0.000367884789874527,0.00809243249296302,"Global"
"KL127",0.00436751145616773,0.00392258710236415,0.000900763164896209,0.0103685370911401,"Global"
"KL128",0.00443284456218947,0.00397348760326416,0.000960766210678507,0.0104208811026889,"Global"
"KL13",0.00439683249127837,0.00395394689333786,0.000900287480850603,0.0105731427599663,"Global"
"KL131",0.00295791869144493,0.00247665398695038,0.000367291086655551,0.00822308548914377,"Global"
"KL136",0.0118040421702386,0.0113787178238116,0.00514963757473011,0.0208596387249233,"Global"
"KL137",0.00148510276282399,0.00104577795168987,3.80684070250825e-05,0.00538028680629499,"Global"
"KL14",0.00736992776335335,0.00684453180882173,0.00241875789651624,0.0150892907236928,"Global"
"KL140",0.00147018057926004,0.0010065793693424,3.56578739391044e-05,0.00552371708853371,"Global"
"KL141",0.00146615765791159,0.00102548476349116,4.27324442819303e-05,0.00534289400154416,"Global"
"KL142",0.00440620496131761,0.00393135087196068,0.000927088103919589,0.0105401359963071,"Global"
"KL144",0.00147421885080253,0.00103161873175563,3.54609072690494e-05,0.00537185276719257,"Global"
"KL145",0.00148344001174665,0.00102622947847345,3.9007615336089e-05,0.00540049064115206,"Global"
"KL146",0.00293825732320985,0.00243645712632532,0.000358571187729647,0.00826099141943142,"Global"
"KL149",0.0249957987735756,0.0246130824337335,0.014897087774534,0.0374561528185995,"Global"
"KL15",0.0531261941079527,0.052765417642069,0.0378831392836957,0.0708336028039371,"Global"
"KL151",0.00593821546186018,0.00544875060081651,0.0016443618172014,0.0129717490761919,"Global"
"KL155",0.0058875838054971,0.00540876964572876,0.00158791784237983,0.0129605900171265,"Global"
"KL157",0.00150095965523695,0.00103693691786152,3.65540710031275e-05,0.00549864217152451,"Global"
"KL158",0.00149077604699725,0.00102393463296528,4.12368565247537e-05,0.00544119277197283,"Global"
"KL16",0.0118048965089405,0.0113198450895356,0.00502821608200451,0.0212248848774039,"Global"
"KL169",0.00294716027671433,0.00245323958796712,0.000357349310060409,0.00814798015010547,"Global"
"KL17",0.0294208578853431,0.0289513740227726,0.0184059748610695,0.0428927989233192,"Global"
"KL171",0.00146912363313027,0.00102373961675663,3.95474736355424e-05,0.00534065257139861,"Global"
"KL179",0.00147924916882082,0.00101844354128586,3.4380007903848e-05,0.00551084063807717,"Global"
"KL18",0.00292409276907738,0.00246211525946218,0.000333018849275282,0.0082151442084177,"Global"
"KL180",0.00147740761153329,0.00104055465686661,3.76377332305466e-05,0.00541580475094725,"Global"
"KL183",0.00145905717114806,0.00102674577246817,3.97544003841979e-05,0.00538810673507627,"Global"
"KL186",0.00146243822359415,0.00101128870148754,3.96430664562105e-05,0.0053338181531275,"Global"
"KL19",0.0176547757552293,0.0171989934623551,0.00916791798209633,0.0289222208592884,"Global"
"KL2",0.0869596712724598,0.0866506445532917,0.0670176017300927,0.109270467453865,"Global"
"KL20",0.00587496526924087,0.00539466105543814,0.00165036628063734,0.012811192017843,"Global"
"KL21",0.00293482111923197,0.00247939248211016,0.000360981648085806,0.00817859939947455,"Global"
"KL22",0.00148103749803274,0.00102612517371374,3.463873105718e-05,0.00536719281752062,"Global"
"KL23",0.02197407820786,0.021591556106081,0.0125151973131005,0.0337501449883787,"Global"
"KL24",0.0251145439549269,0.0246586988671282,0.0146180523251944,0.0382853413056669,"Global"
"KL25",0.0853523133511232,0.0849993812514864,0.0662708770873604,0.106306232018405,"Global"
"KL27",0.00296910697611348,0.00250213886863121,0.000343258128881241,0.00816328206665505,"Global"
"KL28",0.0147871812736099,0.0143929663374403,0.00717816477556505,0.0250514709298859,"Global"
"KL3",0.0147188024142203,0.0142809703774389,0.00713061734401013,0.0250111123303742,"Global"
"KL30",0.0368115978576856,0.0364487441955484,0.0241255330532833,0.0517974701276723,"Global"
"KL31",0.00296403807755311,0.00252651909255007,0.000358350304260277,0.00805734155265679,"Global"
"KL34",0.002945139730716,0.00248703289616912,0.000356854178731337,0.00804345547352888,"Global"
"KL35",0.00293507036196894,0.00245824055417187,0.000356151921731024,0.00816880422502683,"Global"
"KL36",0.00588500110901842,0.0054097239129435,0.0016111470289593,0.0129237901124739,"Global"
"KL38",0.0131904336203714,0.0127408573265643,0.00592260440929683,0.023130972876658,"Global"
"KL39",0.0176141811433522,0.0171427544735629,0.00912113781536764,0.0285786629212219,"Global"
"KL43",0.0029409927082014,0.00246935146813703,0.000352511592241075,0.00832154186327987,"Global"
"KL45",0.00148320589800554,0.00101716981006536,3.57882666325731e-05,0.00556141391118567,"Global"
"KL46",0.00147922956363435,0.00101940998968601,3.77008416610773e-05,0.00544751371855012,"Global"
"KL47",0.00443714761354208,0.00397981606505116,0.000883549407320006,0.0108069435336908,"Global"
"KL48",0.0207073809684647,0.020232254736694,0.0113883095096108,0.0326920360923503,"Global"
"KL49",0.00295453414885342,0.00246649130131093,0.00037116893665247,0.00840249377001309,"Global"
"KL51",0.0280130745141068,0.027566988737614,0.0170613350171542,0.0415182056840594,"Global"
"KL52",0.0147071796394969,0.0141970605498441,0.00710536752353641,0.0253642660781524,"Global"
"KL53",0.00588528149443007,0.00541814700425611,0.00162432391990147,0.0127729077295417,"Global"
"KL54",0.0132706627497888,0.0128393894810234,0.00606175847313069,0.0231300060087451,"Global"
"KL55",0.00296015614261772,0.00247828380328983,0.000340517927550842,0.00839719192265867,"Global"
"KL57",0.00733009656349361,0.00687833166918008,0.00242019771709396,0.0147681578137707,"Global"
"KL61",0.00146346922403627,0.00102549436736567,4.16705079220396e-05,0.00535014343101508,"Global"
"KL62",0.0470624459927706,0.046681844830464,0.0325071111734093,0.0638533253897756,"Global"
"KL64",0.0206384805251766,0.0201726318929617,0.0114434277931244,0.032519849704449,"Global"
"KL67",0.00294274807294668,0.00246924458127761,0.000355929674158318,0.00825839198160597,"Global"
"KL7",0.00298896540733855,0.0025064040594587,0.0003648413411622,0.00829338820975918,"Global"
"KL8",0.0132514989883962,0.0127711776347009,0.00618635958380679,0.0229811417161604,"Global"
"KL81",0.0147524003759067,0.014275048926873,0.00704273736423934,0.0248769563221231,"Global"
"KL9",0.016093405201997,0.0156236252617033,0.00816596240681356,0.0268366772508316,"Global"
