"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0247299787343189,0.0235036405251433,0.00980044697895259,0.0467549430956736
"KL10","Southern Africa",0.0139371939391026,0.0120432993622991,0.00273317863376152,0.0352113137130963
"KL10","Southern Asia",0.0421131905406441,0.0409835496773346,0.0212036360099935,0.0697700059398299
"KL10","Western Africa",0.0214300848168033,0.017152764062362,0.00260559359724336,0.0645410079687874
"KL102","Eastern Africa",0.102995429036969,0.102197005254255,0.0683531468099149,0.142672880685439
"KL102","Southern Africa",0.134170828613968,0.132590576796308,0.0853696329664394,0.191570429890945
"KL102","Southern Asia",0.0263104719369931,0.0250769743582125,0.0103702326009929,0.0490921991713967
"KL102","Western Africa",0.106033070067727,0.101779851528568,0.0418788931961688,0.195152603473765
"KL104","Eastern Africa",0.01379778266493,0.0124655905035932,0.00365634501914278,0.0312125198076032
"KL104","Southern Africa",0.00275045217662289,0.00170051457587074,0.000116990532170074,0.0114894451803164
"KL104","Southern Asia",0.00843108327408886,0.00724847600518581,0.00154537556115504,0.022306304138736
"KL104","Western Africa",0.00548095823880021,0.00307426478311956,0.000186485603080569,0.0246967007315222
"KL105","Eastern Africa",0.000959637138373888,0.000406807248798422,7.7305934397107e-06,0.00510678465394293
"KL105","Southern Africa",0.000787437841077841,0.000289795546141028,4.45798097232245e-06,0.00465391935371867
"KL105","Southern Asia",0.00252188907761272,0.00155164202604717,4.352097455987e-05,0.0106976886262756
"KL105","Western Africa",0.00146489020084222,0.000475047140580354,6.99499883735314e-06,0.0092989412600823
"KL106","Eastern Africa",0.00514114684859891,0.00403450242066405,0.000460487846963683,0.0161089528477867
"KL106","Southern Africa",0.00131073999698214,0.000632819309772838,2.12202581372708e-05,0.00677063258319566
"KL106","Southern Asia",0.00179634330766191,0.00104768045558834,4.96268953372237e-05,0.00773823732866422
"KL106","Western Africa",0.00242205905758878,0.00107157421408213,3.55360569501151e-05,0.013391623857595
"KL108","Eastern Africa",0.0219208087246868,0.0207054244148368,0.0080493386513837,0.042969262713374
"KL108","Southern Africa",0.00652746833115022,0.00495432923936181,0.00066482641511875,0.0209102423243515
"KL108","Southern Asia",0.0040001833743177,0.00300125056802582,0.000348281861933881,0.0133406155973475
"KL108","Western Africa",0.0142945060377206,0.0104935834460112,0.00117844343149615,0.0494589324509919
"KL109","Eastern Africa",0.000926329192154466,0.000406357088899919,7.59117549906138e-06,0.00500149915726603
"KL109","Southern Africa",0.000783912115590963,0.00027677222902588,4.5092302437747e-06,0.00454843871108578
"KL109","Southern Asia",0.00244996537339226,0.00149483216609741,4.06250211750856e-05,0.0101498013573204
"KL109","Western Africa",0.00149742268148293,0.000473538396574035,6.99599988227991e-06,0.00949847397763455
"KL11","Eastern Africa",0.000952161204835547,0.000411419099349654,7.22335818675283e-06,0.00522645144906405
"KL11","Southern Africa",0.000828365187609211,0.000289897594964479,4.45651627942945e-06,0.00503893509729156
"KL11","Southern Asia",0.00246319561046092,0.00152134101917267,4.66936685363853e-05,0.0102611492672773
"KL11","Western Africa",0.00145852548072658,0.000474188172945211,7.96316685900081e-06,0.00913967796391145
"KL110","Eastern Africa",0.00414194290423396,0.00314973621767943,0.000348948547024644,0.0135687180998877
"KL110","Southern Africa",0.00446469086675145,0.00309601687852959,0.000283014697489935,0.016417194076431
"KL110","Southern Asia",0.0047805260251004,0.00371309487684447,0.000472648274795705,0.0153493633334642
"KL110","Western Africa",0.00417139124700021,0.00214176818295539,0.000112401569836023,0.0198690282536986
"KL111","Eastern Africa",0.00317622302979375,0.00221771292324683,0.000180601610209295,0.0115803834163676
"KL111","Southern Africa",0.00143040171073941,0.00069215024439917,3.0651834468903e-05,0.00732187572424451
"KL111","Southern Asia",0.00373483025411328,0.00268938032573857,0.000231269250239715,0.0132322257552029
"KL111","Western Africa",0.00272600305929305,0.00121107928647959,4.52581359431413e-05,0.0146134338808079
"KL112","Eastern Africa",0.00941279922637823,0.00823833639657008,0.00186863582134575,0.0235037947917335
"KL112","Southern Africa",0.00765780764399307,0.00608559257068403,0.00088260770713314,0.0234868806698809
"KL112","Southern Asia",0.0563754861028876,0.0550708860109156,0.0308791289081887,0.0889352222139663
"KL112","Western Africa",0.00886992259161542,0.00582297964240362,0.000483193077741004,0.0348281512942629
