"locus","mean","median","lower","upper","subgroup"
"KL10",0.0251029730168925,0.0245593357837447,0.0149040101175866,0.0380326900277467,"Global"
"KL102",0.0856652927746767,0.0853392006802008,0.0659066483357672,0.107094936939634,"Global"
"KL104",0.00893903209380346,0.00848837954449978,0.00335635275607268,0.0170906275374608,"Global"
"KL105",0.00441463423299078,0.00395545987987023,0.000929456396297104,0.0105273415063386,"Global"
"KL106",0.00298279475047953,0.00251917251549998,0.000365702491941453,0.00827357199286167,"Global"
"KL108",0.0103112867312755,0.00985479934806079,0.0041441902895345,0.0190352639602442,"Global"
"KL109",0.00293175048242708,0.00246875286859709,0.000361953175796229,0.0080432505329593,"Global"
"KL11",0.00145965543980811,0.00103132817829153,3.95219238810896e-05,0.00524938807647198,"Global"
"KL110",0.00742354273455891,0.00694457677548336,0.00246850597718982,0.0150563543716214,"Global"
"KL111",0.0044261981925246,0.00394392584003565,0.000941607191207573,0.010758466216078,"Global"
"KL112",0.0266544178143223,0.0261875989418285,0.0159045183715112,0.0394972032468842,"Global"
"KL113",0.00147616255611764,0.00102189020817773,3.8897951909619e-05,0.00541534538883687,"Global"
"KL114",0.00148127951837133,0.00102620762051331,4.22585606606812e-05,0.00550245380511894,"Global"
"KL116",0.00736646917362816,0.00690829273562757,0.00241486914407193,0.0146597755840781,"Global"
"KL117",0.00445816318906575,0.00397382359926069,0.000943481635238967,0.0106218949392274,"Global"
"KL118",0.00294723790545829,0.00247379123538252,0.000358535022066692,0.00818717185344034,"Global"
"KL12",0.00295286348416516,0.00248444424698703,0.000354436429369831,0.0081575036593671,"Global"
"KL122",0.0206785344951728,0.0203040594595811,0.0114749135213628,0.0323406854880275,"Global"
"KL123",0.00148092847719548,0.00101999686630547,3.77831949620014e-05,0.00543381307183463,"Global"
"KL124",0.00443379481428001,0.00399681249974591,0.000902479960730121,0.0104810979654739,"Global"
"KL125",0.00295960507758559,0.00251809283331256,0.000342115990420841,0.00802093868130979,"Global"
"KL127",0.00440134720080904,0.00394918098367445,0.000924318645864984,0.0104102471625026,"Global"
"KL128",0.00441379417504489,0.00392733999694377,0.000902982042326519,0.0106267027360778,"Global"
"KL13",0.00150621358357079,0.00103796154682195,3.79248817955257e-05,0.00565399140823053,"Global"
"KL131",0.00292776885306753,0.00248502399454083,0.000362264484436498,0.00805588452714896,"Global"
"KL136",0.011864663031932,0.0114081963341584,0.00516830103259621,0.0210657225956665,"Global"
"KL137",0.00146876888276601,0.00101507102919748,3.84880262633218e-05,0.00540165927601137,"Global"
"KL139",0.00146522517309343,0.00101953781528674,3.87866848095165e-05,0.00538284646829463,"Global"
"KL14",0.00587939187520123,0.00537078685147338,0.00160132562818775,0.0128776501956617,"Global"
"KL140",0.00146089813050457,0.00101849309847096,3.73450698880182e-05,0.00538813966170116,"Global"
"KL141",0.00295568714973201,0.00245427362390554,0.000353123478315425,0.00823746410388573,"Global"
"KL143",0.00149522556465346,0.00105396302074182,3.95834395614972e-05,0.00552166040843697,"Global"
"KL144",0.00148900975023919,0.0010369128306715,4.12531651873966e-05,0.00547666665110027,"Global"
"KL145",0.0014829342298884,0.00102013457845331,3.88411949505514e-05,0.00544146384733822,"Global"
"KL146",0.00297610796302174,0.00249857215746662,0.000350706083836124,0.00835417949167185,"Global"
"KL149",0.0251110644877378,0.0246605788134431,0.0148823931901812,0.0375580425656432,"Global"
"KL15",0.0546886054875349,0.0542267475815463,0.0389003637999829,0.0729057479326598,"Global"
"KL151",0.00743111375325199,0.00693758150030559,0.00241856956721072,0.0152999919771766,"Global"
"KL155",0.00588322691232122,0.0054351341398702,0.00168073293448454,0.0126954411023875,"Global"
"KL157",0.00147424407337362,0.0010223264714596,3.44304058412689e-05,0.00537598652577796,"Global"
"KL158",0.00148042812994669,0.00101924707105096,3.39086401096686e-05,0.00554018563903918,"Global"
"KL16",0.0118075071695989,0.0113205244568401,0.00509778080112422,0.0214303569263348,"Global"
"KL163",0.00147261633869734,0.00100508514935532,3.48033439431633e-05,0.00547700392686097,"Global"
"KL169",0.00296334096616145,0.00253125100768526,0.00035219615445238,0.00799130631612465,"Global"
"KL17",0.0250854217762969,0.0245255400144002,0.0147776365117639,0.0380978167948008,"Global"
"KL171",0.00148679989545565,0.00102419459866999,3.52669634538909e-05,0.00547080413541726,"Global"
"KL179",0.00147349560895479,0.00102035458025807,3.68346166801975e-05,0.00546383597875378,"Global"
"KL18",0.0073943769076774,0.00692363120074261,0.00242273430461549,0.0149689055679233,"Global"
"KL180",0.00148875726586831,0.00102519638934737,3.65462482206084e-05,0.00552775400182605,"Global"
"KL183",0.00149026603955232,0.00103830172404975,3.8179500606667e-05,0.00541781467813751,"Global"
"KL186",0.00146591274940589,0.00102542913813386,3.81132229662992e-05,0.00530474554015628,"Global"
"KL19",0.014764350208457,0.0142804959016999,0.00707543485955553,0.0249097500939353,"Global"
"KL2",0.0738260530030159,0.0734456361517923,0.0555407439715293,0.0945158466642039,"Global"
"KL20",0.00739051798240898,0.00692743644394543,0.00238774713118361,0.0151966721008525,"Global"
"KL21",0.00294237828729586,0.00247748030952018,0.000364730173030884,0.00809846174975401,"Global"
"KL22",0.00148091268089196,0.00105445716151908,3.98931956916391e-05,0.0053122227578714,"Global"
"KL23",0.0235918115616834,0.0231698920704517,0.0136666908465786,0.0361364240247921,"Global"
"KL24",0.0265745545054996,0.0260876209478441,0.0157892753572405,0.0398463425208393,"Global"
"KL25",0.0841553398370964,0.0837161953358488,0.0648021534528148,0.105247553412592,"Global"
"KL27",0.00587650083396,0.00541991856452211,0.00159210805219749,0.0127275377032743,"Global"
"KL28",0.0132813443639085,0.0128270362373151,0.00619646104775631,0.022787345204865,"Global"
"KL3",0.0207918249468332,0.0203716535390564,0.0114927818818879,0.0325990171702646,"Global"
"KL30",0.0236402298087387,0.0232350313893212,0.0137545842635368,0.0358035214304322,"Global"
"KL31",0.00290975997718565,0.00239571675735266,0.000336734883413145,0.00839027736190819,"Global"
"KL34",0.00298198715195546,0.00250627147112669,0.000352955355896128,0.00821603968592035,"Global"
"KL35",0.00146642833527272,0.00100092594323486,3.80640202244077e-05,0.00553325230635264,"Global"
"KL36",0.00595088269490256,0.00546917213198057,0.00160081980410637,0.0130160103220856,"Global"
"KL38",0.0147487844128865,0.0143230646451055,0.007169746622969,0.0249428980863476,"Global"
"KL39",0.0237489281953756,0.0232826246896669,0.0137674868020859,0.0363545661225775,"Global"
"KL43",0.00148751493060739,0.00101989678665043,3.60214589659039e-05,0.00559940848658226,"Global"
"KL46",0.0029271558431829,0.00246011560884563,0.000371619523092266,0.00803249481674699,"Global"
