"locus","mean","median","lower","upper","subgroup"
"KL10",0.0270306674319198,0.0266811768378753,0.0169157298228625,0.0394551414573562,"Global"
"KL102",0.0887352126926809,0.0883663952551287,0.069510963372616,0.109252861567923,"Global"
"KL104",0.00901701143213644,0.00858049792462227,0.00366520325410838,0.0166719461031573,"Global"
"KL105",0.00387167565659594,0.00346353577730717,0.00080853166414195,0.00918018088272308,"Global"
"KL106",0.0038373131287768,0.00345537880198925,0.000795892407408699,0.00919966714746509,"Global"
"KL108",0.0102292233199112,0.00985465496609595,0.00438303827901215,0.0183669201942364,"Global"
"KL109",0.00259618466780987,0.00217608493850949,0.000312883246571102,0.00718286866520574,"Global"
"KL11",0.0012825142683534,0.000893303291358533,3.05490166683225e-05,0.00476490414538795,"Global"
"KL110",0.00639134115580706,0.00597017620959673,0.00208747976664405,0.0129487331344027,"Global"
"KL111",0.00514485232283872,0.0047390304329324,0.0014107446012638,0.0111186921512621,"Global"
"KL112",0.0244278570190178,0.0240279336700617,0.0151416966366171,0.0360382459486205,"Global"
"KL113",0.00130265079227368,0.000907503259236337,3.0156783527762e-05,0.0048217151305772,"Global"
"KL114",0.00128150771890212,0.00090258962379822,3.22614274264227e-05,0.00475772256531901,"Global"
"KL116",0.00643109515054405,0.00600044304306758,0.00215480421124156,0.0130265366645439,"Global"
"KL117",0.00509733720551838,0.00466723713995541,0.00136015098734186,0.011215670134985,"Global"
"KL118",0.00256507945257076,0.00217325893627257,0.000318290664567424,0.00714776917532926,"Global"
"KL12",0.00255555046719938,0.00216834800150009,0.000301424159666261,0.00709592218090794,"Global"
"KL122",0.0180749195289224,0.0177241975094594,0.00979783818778265,0.0286168663922098,"Global"
"KL123",0.00128443382379025,0.000907535315250294,3.46854524843161e-05,0.00475156611728804,"Global"
"KL124",0.00387110822873045,0.00344527001264767,0.000798298582180129,0.00930301445890289,"Global"
"KL125",0.00258861867277793,0.00218105357325407,0.000322707705925693,0.00715744296609123,"Global"
"KL127",0.00387898943370943,0.00345465529846789,0.000789270442459527,0.00946965217692481,"Global"
"KL128",0.00385748136837203,0.00344237856718606,0.000842280246195759,0.00912382743730573,"Global"
"KL13",0.00383876943381576,0.00342801963269799,0.000800648766738047,0.00923392151930846,"Global"
"KL131",0.00257965052600093,0.00215350450916792,0.000301649265012469,0.00716596852477538,"Global"
"KL136",0.0103089063545207,0.00987296757685059,0.00454760655723495,0.018508148328863,"Global"
"KL137",0.00129262033921053,0.000901475942709944,3.5940707918292e-05,0.00473440247859636,"Global"
"KL139",0.00129175230983956,0.00089318663281078,3.11467245217002e-05,0.00491454806884219,"Global"
"KL14",0.00638807364053196,0.00595415623595084,0.00212982095528779,0.0128924511239584,"Global"
"KL140",0.0012847112657085,0.000885133191366712,3.53386146990122e-05,0.00460127233352588,"Global"
"KL141",0.0025663566158591,0.00215616078566545,0.000313597102865848,0.00706934667566987,"Global"
"KL142",0.00386935263251662,0.00347004076851989,0.000822984138590419,0.00903873316842219,"Global"
