"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0238063904059873,0.022928471095175,0.0108197135937483,0.041838206064081
"KL10","Southern Africa",0.0138672859251272,0.0119871511503236,0.00275118273678461,0.0357733970096347
"KL10","Southern Asia",0.0416526128901154,0.0404999017183857,0.020453126463528,0.0701576801272336
"KL10","Western Africa",0.0213653796685633,0.017044346932379,0.00267874524178681,0.0645072072614005
"KL102","Eastern Africa",0.108561870090001,0.107763992491232,0.077448653352367,0.143771135805566
"KL102","Southern Africa",0.133784782425145,0.132164353387811,0.0850325226823751,0.190495211717343
"KL102","Southern Asia",0.0263819880300841,0.0251964728567029,0.010438702549646,0.0495775828935019
"KL102","Western Africa",0.105866598773208,0.101161365501556,0.0430031030040609,0.195220009961763
"KL104","Eastern Africa",0.0129694738071891,0.0120037904274769,0.00426120674932137,0.0267572320024562
"KL104","Southern Africa",0.00268534127535653,0.00169319535577661,0.000126246795412213,0.0109270407390744
"KL104","Southern Asia",0.008258378852382,0.00702053992170882,0.00136661001527022,0.0223618101124476
"KL104","Western Africa",0.00523883337820819,0.0030562076813791,0.000208177804607024,0.0234114401470063
"KL105","Eastern Africa",0.0048374443632628,0.0039971614042882,0.000672708240508391,0.0137510061912764
"KL105","Southern Africa",0.0016906068580005,0.00089067206453369,4.77184380789029e-05,0.00825680606407499
"KL105","Southern Asia",0.00405601420481601,0.00303154059843637,0.000346413277652964,0.0133628032161858
"KL105","Western Africa",0.00312948027188305,0.00155413185715557,7.74676935204136e-05,0.0158132871872712
"KL106","Eastern Africa",0.00640038598369102,0.00557243390377022,0.0010972938362036,0.0164953518065763
"KL106","Southern Africa",0.00141931512929349,0.000720044889365932,3.35328702345543e-05,0.00714798620879693
"KL106","Southern Asia",0.00192683566727918,0.00116905023711834,7.05805936915366e-05,0.00813536183564281
"KL106","Western Africa",0.00273670896829521,0.00123461545635431,5.03110439831305e-05,0.0144853084956987
"KL108","Eastern Africa",0.0160102687307632,0.0151282010040328,0.00582776582848556,0.0313346310114996
"KL108","Southern Africa",0.00609021075045368,0.00459639411021254,0.000553034514996279,0.0201776714187609
"KL108","Southern Asia",0.00376547318830612,0.00282109398234329,0.000303700666184372,0.0127159886802709
"KL108","Western Africa",0.0132257057606676,0.00942270597340962,0.00105699832760478,0.0473867758378052
"KL109","Eastern Africa",0.00260655858556572,0.00193309302106674,0.000166026455187064,0.00909480055819773
"KL109","Southern Africa",0.00129654536006543,0.000636261412361547,2.61117729980496e-05,0.00645207086633107
"KL109","Southern Asia",0.00346408903650102,0.00244600955272126,0.000204262571796465,0.012465862476904
"KL109","Western Africa",0.00243936582806131,0.00107555428819302,4.25411017984429e-05,0.0131411582629848
"KL11","Eastern Africa",0.000861104886153608,0.00040848223238986,7.50047358885322e-06,0.00439555059822678
"KL11","Southern Africa",0.000738066533650816,0.000263694824390473,4.52287739126208e-06,0.00446072236743146
"KL11","Southern Asia",0.00224658173114321,0.00137469568461329,3.89339457901551e-05,0.00939561105533418
"KL11","Western Africa",0.00130807312541861,0.000430968240266788,6.10882883635195e-06,0.00792081875701235
"KL110","Eastern Africa",0.00799381086591203,0.00711741816149774,0.00181348418932518,0.0189082925445066
"KL110","Southern Africa",0.00504686845472373,0.00364794301228816,0.000380079301784508,0.0176064272106708
"KL110","Southern Asia",0.00528388534826748,0.00417647858588903,0.000592717225299421,0.0160655442389043
"KL110","Western Africa",0.00487693921921031,0.00282491579669379,0.000180164792993402,0.0219488464676074
"KL111","Eastern Africa",0.00725794774761332,0.00638333461039524,0.00148636998553771,0.0178877792474573
"KL111","Southern Africa",0.00192654787644519,0.00108874984905125,6.8586937499044e-05,0.00863132478639502
"KL111","Southern Asia",0.00447553845916905,0.00350105408997658,0.000427670494938401,0.0142034233662713
"KL111","Western Africa",0.00377949666426038,0.00194275694274682,0.000100078510563259,0.018847897359914
"KL112","Eastern Africa",0.0123612228321091,0.0115033542890665,0.00401462671480008,0.0253342412991637
"KL112","Southern Africa",0.00793935733315839,0.00633170607712666,0.000983801572883451,0.0239779787587087
"KL112","Southern Asia",0.056362876985775,0.0551641113200995,0.0310252415827906,0.0884660908669009
"KL112","Western Africa",0.00936290810336557,0.0063667535759303,0.000594488566218021,0.0356201695359697
"KL113","Eastern Africa",0.00173083160274718,0.00104775763939792,2.84225541185975e-05,0.00714825272566737
"KL113","Southern Africa",0.000727903807097925,0.000251807432187433,3.39615128983124e-06,0.00445146142651865
