"locus","mean","median","lower","upper","subgroup"
"KL10",0.0264591533014162,0.0261012757843446,0.0163518900646484,0.0387117624722969,"Global"
"KL102",0.0914641119648109,0.0911469769452104,0.0721011695507643,0.112996577125294,"Global"
"KL104",0.00930695916224177,0.00888605691466487,0.00380864563419171,0.0172303049528949,"Global"
"KL105",0.0039836770641313,0.00352649533503616,0.00081154127819924,0.00960109979263489,"Global"
"KL106",0.00402889701995129,0.00357445694214432,0.000813428535629071,0.00980503661180953,"Global"
"KL108",0.0105532127571118,0.0101071263643723,0.00461033916280475,0.0190410011431714,"Global"
"KL109",0.00264268736133245,0.00224369020812373,0.000325306591496764,0.00730097947015155,"Global"
"KL11",0.00132819944681476,0.000908837265947972,3.29407864182446e-05,0.00494602400119229,"Global"
"KL110",0.00668770380842671,0.00623344167513926,0.00220629581006504,0.0136777634225568,"Global"
"KL111",0.00533462960702076,0.00492396133825486,0.00150205466289847,0.0116170067142618,"Global"
"KL112",0.023943234151636,0.0235125346029521,0.0141762375290636,0.0359576934473991,"Global"
"KL113",0.00133340163727353,0.000942211370277797,3.18189755597257e-05,0.00492045671452336,"Global"
"KL114",0.00132792115786516,0.00092741889931774,3.20163430134429e-05,0.00484090577161136,"Global"
"KL116",0.006583909998618,0.00616171935418586,0.00220686148777415,0.0132114802069676,"Global"
"KL117",0.00526939368526001,0.00485283826864149,0.00146657392073974,0.0115236213051361,"Global"
"KL118",0.00266227157071027,0.00224901707601428,0.000339501787889642,0.00732896870357258,"Global"
"KL12",0.00133704869080503,0.000935117464058208,3.51311126439757e-05,0.00492721039714965,"Global"
"KL122",0.0198745910022765,0.0194354151020766,0.0113707250987629,0.0311755487326961,"Global"
"KL123",0.00133324092984979,0.000924134710746447,3.59121007884947e-05,0.00495668314488187,"Global"
"KL124",0.00396380939442857,0.00353240768544049,0.000851361256506138,0.00944110757005737,"Global"
"KL125",0.00133532656422255,0.000922477796591097,3.49858404856827e-05,0.00487538783112293,"Global"
"KL127",0.00265243162943508,0.00222318092292851,0.000329216879419909,0.00730245818836099,"Global"
"KL128",0.0039820771608636,0.00354663876505918,0.000826069589743601,0.00965243182843708,"Global"
"KL13",0.00400535112302364,0.0035788446804569,0.000843572141306554,0.00956074108295303,"Global"
"KL131",0.0026346057052436,0.00223888034481182,0.00032943380101709,0.00726693654573056,"Global"
"KL136",0.00928149779203845,0.00884958010433368,0.00387275837634625,0.0171701152796716,"Global"
"KL137",0.00132007363149146,0.000936716030842855,4.00200322556892e-05,0.00474949564295845,"Global"
"KL139",0.00133115404814213,0.000925907940888514,3.48830021161678e-05,0.00497979408002235,"Global"
"KL14",0.0066368715259199,0.00622235927297971,0.0021464279008759,0.0135898928300921,"Global"
"KL140",0.00132000238445671,0.000908835518011796,3.51389884918641e-05,0.00483696553908677,"Global"
"KL141",0.00264873065212375,0.00223594307125059,0.000333625541572721,0.00732673046175955,"Global"
"KL142",0.00397366291297499,0.0035374683405271,0.000819115302946288,0.0096009693766048,"Global"
"KL143",0.00132443118293838,0.00091575074741764,3.08350624318215e-05,0.00486375901675654,"Global"
"KL144",0.00133158109514079,0.000935104250970576,3.1045443364449e-05,0.00485058048354706,"Global"
"KL145",0.00133237647188363,0.000941404336050847,3.29489001168427e-05,0.00486956935672007,"Global"
"KL146",0.00266471299026881,0.00225200941014929,0.000323762858828396,0.00722763326275183,"Global"
"KL149",0.0225560958928415,0.0221753588608955,0.0134006204145582,0.0339234860092497,"Global"
"KL15",0.0517269321968792,0.0513758818741352,0.0375295972352833,0.068145942407073,"Global"
"KL151",0.00667819060538394,0.00621491856733938,0.00217887563082406,0.0136843520834758,"Global"
"KL155",0.00398437512175326,0.00353118203868012,0.000815989546213216,0.00961351503346494,"Global"
"KL157",0.00132743221742987,0.000926685412105941,3.18685190561477e-05,0.00492895234548971,"Global"
"KL158",0.00132303309570795,0.000915384123805029,3.2011178792816e-05,0.00491743254710669,"Global"
"KL16",0.0132086258061928,0.0127922675973277,0.00637965943136807,0.0222774936064925,"Global"
