"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0227827736464058,0.0219188404361872,0.0104226027749927,0.0406058166159214
"KL10","Southern Africa",0.0137527068792233,0.0118117807968337,0.00258252135578827,0.0351216875061836
"KL10","Southern Asia",0.0446010167062506,0.0432045955111087,0.0208719834318801,0.0762822979067009
"KL10","Western Africa",0.0210153407029968,0.016479915872431,0.00245633035307873,0.0644433998863794
"KL102","Eastern Africa",0.104177165617005,0.103284316935519,0.073811098468463,0.138481207987899
"KL102","Southern Africa",0.134788682618721,0.133302687008057,0.0858160010091767,0.19218592642542
"KL102","Southern Asia",0.0304774444769438,0.0287953584473373,0.0120138825298677,0.0578544835516808
"KL102","Western Africa",0.105809245256252,0.101168599706012,0.042792884258698,0.192424209876197
"KL104","Eastern Africa",0.0127204975516781,0.0118219865565151,0.00423414788311522,0.0262476189682573
"KL104","Southern Africa",0.00262700218960171,0.00155620820668307,9.72522838464155e-05,0.0116809043995948
"KL104","Southern Asia",0.0094285689271686,0.00805562117118705,0.00153077982519029,0.0255482029365302
"KL104","Western Africa",0.00524675222792141,0.00292382546353017,0.000152842115110902,0.0251424241717223
"KL105","Eastern Africa",0.00478935253291804,0.00396787236330188,0.000681119839674006,0.0136026490071767
"KL105","Southern Africa",0.00165023945499055,0.000851191484780417,4.06425010911407e-05,0.0079164106388833
"KL105","Southern Asia",0.00453094783588685,0.003312220618321,0.000334866167824938,0.0155527732203757
"KL105","Western Africa",0.00327403039702526,0.00151979650149367,6.45077573083721e-05,0.0170836111245158
"KL106","Eastern Africa",0.00650154108794147,0.00559785319440761,0.00115739902945749,0.0167127989939689
"KL106","Southern Africa",0.00139705374236756,0.000654816807099541,2.41405406115589e-05,0.006942209218271
"KL106","Southern Asia",0.00194566328231012,0.00110962725030072,5.32093192175053e-05,0.00894803847219857
"KL106","Western Africa",0.00268780029175139,0.0011224957658255,3.98460026898814e-05,0.0149855754511394
