"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.0247198484565904,0.0238094363032759,0.0111766392026001,0.0431614721947164
"KL10","Southern Africa",0.0137279535412079,0.0119283559419237,0.00270381619250008,0.0345823063924317
"KL10","Southern Asia",0.0419945430721444,0.0406333276659581,0.0210863941590611,0.0700680491700451
"KL10","Western Africa",0.0212382097038674,0.0170753783538331,0.00272383965572392,0.0638735299587606
"KL102","Eastern Africa",0.0835122321982625,0.0826316159661631,0.056393200162767,0.115582698671149
"KL102","Southern Africa",0.133750686861746,0.13188004772031,0.0855393593795161,0.190276148360387
"KL102","Southern Asia",0.0260717668974794,0.0248870077593784,0.0101485190219231,0.0488586624809216
"KL102","Western Africa",0.104739588915544,0.100090078075972,0.0420752940039017,0.193536217779907
"KL104","Eastern Africa",0.0135610253069764,0.012542183633014,0.0042680501019661,0.0285879752749995
"KL104","Southern Africa",0.002632109909233,0.00162108341279265,0.000118346084421392,0.0107767348875275
"KL104","Southern Asia",0.00834905831685879,0.00717430140602775,0.00136815547347881,0.022043141654172
"KL104","Western Africa",0.00536711683554894,0.0030611076451349,0.000197004678698573,0.0244508059031003
"KL105","Eastern Africa",0.00497219799562383,0.00409012840300527,0.000685219936611211,0.0142175958290171
"KL105","Southern Africa",0.00168577320353774,0.000882039780151304,4.4331810853002e-05,0.00830627967865664
"KL105","Southern Asia",0.00409250527686422,0.00303510305759953,0.000320686340747105,0.0140607124147201
"KL105","Western Africa",0.00314596672794603,0.0015184717722638,7.64186298971148e-05,0.0157457188003752
"KL106","Eastern Africa",0.00673574706223791,0.0058149086871749,0.00115456733399889,0.0175644098648436
"KL106","Southern Africa",0.00143827877342978,0.000713696440491762,3.27164808038651e-05,0.00749286851217896
"KL106","Southern Asia",0.00195139886287488,0.0011723194736194,6.73139740830425e-05,0.00822860882300811
"KL106","Western Africa",0.00270426886145953,0.00121581123152554,5.47735188627115e-05,0.0144051989589017
"KL108","Eastern Africa",0.0169684299638322,0.0160240838978819,0.00606720285286842,0.0332620304714998
"KL108","Southern Africa",0.00619774254738106,0.0046974433686207,0.000573866893138831,0.02065500596253
"KL108","Southern Asia",0.00373978849360245,0.00277629491975384,0.00029830683657702,0.0125421321735968
"KL108","Western Africa",0.0132982752175817,0.0095949422043108,0.00107418368472186,0.0472486447884502
"KL109","Eastern Africa",0.00266386075592866,0.00193117986847368,0.000170772033338343,0.0093801754658826
"KL109","Southern Africa",0.00128116638923596,0.000611098360741327,2.51549518553031e-05,0.0064571093970583
"KL109","Southern Asia",0.0034700257255401,0.00242731440799392,0.000201936559329245,0.012625539942259
