"locus","mean","median","lower","upper","subgroup"
"KL10",0.014078103162567,0.0138802390981808,0.00919859635289305,0.0199252798141571,"Global"
"KL102",0.18386842644539,0.183740390875326,0.166626758974033,0.201458372508607,"Global"
"KL104",0.0319966053120814,0.0318618350822166,0.0245430042015915,0.0402825196731697,"Global"
"KL105",0.00216380282455,0.00197534518121008,0.000601262100218408,0.00475130275669638,"Global"
"KL106",0.00162120541601121,0.00143530139426773,0.000340587978882483,0.00386190243719039,"Global"
"KL108",0.0222265657745087,0.0220364556051145,0.0161282919566275,0.0292873184437779,"Global"
"KL109",0.00108684698455874,0.000926417409462917,0.000132433086311083,0.00295010502010786,"Global"
"KL11",0.000541898713166824,0.000381238919186178,1.41638211392697e-05,0.00197254217906341,"Global"
"KL110",0.00379281712896945,0.00360980313767758,0.0015111169177282,0.00718314438908663,"Global"
"KL111",0.00219973035683176,0.00201444713244683,0.000612218963796038,0.00484630886186869,"Global"
"KL112",0.0146851674578051,0.0145401437092875,0.00969487935748195,0.0205056663415107,"Global"
"KL113",0.000539318002599299,0.000379913534826316,1.60057445696503e-05,0.0019921071669974,"Global"
"KL114",0.000537735226241902,0.000373842842679779,1.43280169742471e-05,0.00199161040308719,"Global"
"KL116",0.00326536806908975,0.00310353851553766,0.00121456559217237,0.00622591669449101,"Global"
"KL117",0.00326332319037234,0.00310735588093203,0.00119791449488839,0.00630091019842599,"Global"
"KL118",0.0010822953274717,0.000911139893344341,0.000134444762120639,0.00298746956378928,"Global"
"KL12",0.00108143586692171,0.000910419586222897,0.000131712907244338,0.00294685535259132,"Global"
"KL122",0.0151679024229183,0.0150082551269115,0.0101369142310849,0.0211338039933615,"Global"
"KL123",0.000545445591874078,0.000382442290581723,1.38309581289715e-05,0.00197976205987118,"Global"
"KL124",0.00162169800388096,0.00144635377539038,0.000339810990025354,0.0039080641051445,"Global"
"KL125",0.0016380869065163,0.00146527566510814,0.000350124465267213,0.00394102654259233,"Global"
"KL127",0.00594333458118212,0.0057601778461079,0.00298526474849374,0.00991042340823036,"Global"
"KL128",0.0016369586354196,0.00145941051743954,0.00033034657462281,0.00400318387912952,"Global"
"KL13",0.00161719969235796,0.00144605118071016,0.000351938479552038,0.00382988581219114,"Global"
"KL131",0.00108900312117821,0.000910525624479449,0.000130840522991755,0.00305194203193935,"Global"
"KL136",0.00596144654217446,0.00578606793365829,0.00298757740424309,0.00992814987235093,"Global"
"KL137",0.000547043360378618,0.00038264684516616,1.59500383648886e-05,0.00196938071145228,"Global"
"KL139",0.000546455203933572,0.000375241429217932,1.1761849817148e-05,0.00202381463684834,"Global"
"KL14",0.00270223138600885,0.00251702233332108,0.000886724244077154,0.00556689935372269,"Global"
"KL140",0.000547999458709738,0.000382565890446601,1.37804885681888e-05,0.00204883935334472,"Global"
"KL141",0.00108438768188597,0.000908092145834903,0.0001283095552004,0.00302891699532706,"Global"
"KL142",0.00161490424987837,0.00144805746067366,0.000334109266721643,0.00385929819912689,"Global"
"KL143",0.00108790775970416,0.000916326195879513,0.000129736690101989,0.00305455504062462,"Global"
"KL144",0.000536983043906092,0.000377408976694851,1.51454898204093e-05,0.00194915060699611,"Global"
"KL146",0.00107835854370991,0.000909984476314637,0.000127207503712457,0.00297148237961173,"Global"
"KL149",0.0271479710691322,0.0269935292059183,0.0206394518236802,0.0343150954565204,"Global"
"KL15",0.0916190637052548,0.0914504007743311,0.0796397127250471,0.104422067845077,"Global"
"KL151",0.00597536495270519,0.00578862642082824,0.00301380613223313,0.0100441213024352,"Global"
"KL155",0.00216874695430771,0.00199056555093425,0.000610532297460866,0.00473117552122775,"Global"
"KL157",0.0157552934682641,0.0155773588652645,0.0106241922009874,0.021891115404426,"Global"
"KL158",0.000546341670033644,0.000381221155789216,1.46789157055872e-05,0.00202356774794581,"Global"
"KL16",0.00977476928640549,0.00959602844290154,0.00587891827413833,0.0146798221757073,"Global"
"KL163",0.00054440946506532,0.0003738214360671,1.33612477143855e-05,0.0020198331483608,"Global"
