"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00847249316924332,0.00819943789525192,0.00399530464706957,0.0146776325940569
"KL10","Southern Africa",0.0119903680066828,0.0106628792099413,0.00267917333489373,0.028802257290577
"KL10","Southern Asia",0.0287138536914076,0.0280442484724565,0.0156459474388904,0.0460526851469786
"KL10","Western Africa",0.0140745391226029,0.0106982487392774,0.00108666211820946,0.046695030821161
"KL102","Eastern Africa",0.247563794016168,0.247502831153298,0.222567400385824,0.273292653993031
"KL102","Southern Africa",0.129367527908533,0.128494033163301,0.0900988227806381,0.174404167093181
"KL102","Southern Asia",0.067867551451927,0.0672671148619698,0.0468862985794815,0.0922548401532802
"KL102","Western Africa",0.132354130456354,0.129355895237168,0.0672649217054551,0.21459656183698
"KL104","Eastern Africa",0.0535695326417609,0.0533107739547185,0.0409375099417893,0.0675640154430747
"KL104","Southern Africa",0.00122103302273292,0.000566557632132367,1.23196682652562e-05,0.00633874786669368
"KL104","Southern Asia",0.00121165920957107,0.000705380210048332,2.62461405615022e-05,0.00528642594906522
"KL104","Western Africa",0.0029953897253192,0.00122389432517177,2.39982604636757e-05,0.0167513362894075
"KL105","Eastern Africa",0.00175102403548145,0.00147583774604375,0.000243648166747319,0.00476897638427527
"KL105","Southern Africa",0.000840643686147718,0.000317235847109489,5.74306009612093e-06,0.00495133719188402
"KL105","Southern Asia",0.00389214950082425,0.00320756354720325,0.000483869785823245,0.0110291302823064
"KL105","Western Africa",0.00199046644233936,0.000665159393211037,1.25390439678706e-05,0.0121707570166096
"KL106","Eastern Africa",0.00229046983443863,0.00200937948690823,0.000425333245104669,0.00571705853078112
"KL106","Southern Africa",0.000545172799963798,0.000151244436735776,1.93826378432768e-06,0.00364697231726744
"KL106","Southern Asia",0.000636773717689472,0.000271872227018064,4.64512287181959e-06,0.00346518051407871
"KL106","Western Africa",0.0012744465626872,0.000304580496970584,3.14831709954754e-06,0.00884561838263853
"KL108","Eastern Africa",0.0354846948981307,0.0351846106978353,0.0253492576250504,0.0471551729678597
"KL108","Southern Africa",0.00422242465411298,0.00314393309683686,0.000291102326144371,0.0139409997542592
"KL108","Southern Asia",0.00160050600027135,0.00107562153205092,6.66053388869396e-05,0.00614096630398187
"KL108","Western Africa",0.011613707654471,0.00822829011272614,0.000629652178401152,0.0405572470965978
"KL109","Eastern Africa",0.000874040917708345,0.000627622139428456,4.55825929562077e-05,0.00307729500250057
"KL109","Southern Africa",0.00058793685962397,0.000179529619698114,2.33007516391087e-06,0.00378909895580255
"KL109","Southern Asia",0.00182606945029817,0.00125776563260616,8.1229370188367e-05,0.00658645407172875
"KL109","Western Africa",0.00131858781809144,0.000360060124726981,4.92870437146519e-06,0.00874570653732691
"KL11","Eastern Africa",0.000227455568582168,8.47218917546622e-05,8.11338516171504e-07,0.0013235838261864
"KL11","Southern Africa",0.00034400168978311,6.64986052191883e-05,4.20649586390516e-07,0.00254354445619176
"KL11","Southern Asia",0.0013700222287336,0.00082415398957774,2.10291650565007e-05,0.00572182123987516
"KL11","Western Africa",0.000752598659053922,0.000129321311778315,8.57548100148694e-07,0.00571555801275783
"KL110","Eastern Africa",0.00284628559404214,0.00255108071634252,0.000663956878277484,0.0067428747745458
"KL110","Southern Africa",0.00677110028449583,0.00548463119552145,0.000820317162760791,0.0196523477151964
"KL110","Southern Asia",0.00456336819845006,0.00387569404475488,0.000694025794241833,0.0121202651331295
"KL110","Western Africa",0.00338705816994098,0.0015221525643819,3.74663498725256e-05,0.0180402885036501
"KL111","Eastern Africa",0.00253980291689169,0.00223604228041938,0.000515453415955438,0.00626170227471857
"KL111","Southern Africa",0.00078447542700304,0.000296955545788427,5.72197386415305e-06,0.0046867384930397
"KL111","Southern Asia",0.00218399689229169,0.00158092373625961,0.000132609370043665,0.00763056278010048
"KL111","Western Africa",0.00188737283036323,0.000614497840949549,1.01372036948432e-05,0.011682722034481
"KL112","Eastern Africa",0.00391048298554043,0.00362837733764237,0.00119325661873905,0.00827698977123439
"KL112","Southern Africa",0.00433862937262645,0.00321077995809167,0.000306761680696935,0.0147262996279144
"KL112","Southern Asia",0.0478914907546571,0.0472644046219679,0.0300678241229158,0.069072672203826
"KL112","Western Africa",0.00459934037623785,0.0023320311503169,7.30017967309127e-05,0.0221085344985022
"KL113","Eastern Africa",0.000627612860781215,0.000399880273816353,1.17938194185329e-05,0.00256131324900844
"KL113","Southern Africa",0.000321691431425365,5.8902600388e-05,3.34570795884343e-07,0.0024702639430293
"KL113","Southern Asia",0.000414714171214549,0.000126113852437661,1.01388279627117e-06,0.00260844671389796
"KL113","Western Africa",0.000699461406613941,0.000110582458309331,6.63302608015795e-07,0.00550370405950674
