"locus","subgroup","mean","median","lower","upper"
"KL10","Eastern Africa",0.00853350583102016,0.00820114059835325,0.00397787977575693,0.0148105945519632
"KL10","Southern Africa",0.0121822290838212,0.0109847213631449,0.00275491832453708,0.0285980394358465
"KL10","Southern Asia",0.0323924825748955,0.0316191872118327,0.0177943807428834,0.0512756979872982
"KL10","Western Africa",0.0145889088700264,0.0112824069933247,0.0011487870927257,0.0473199659126079
"KL102","Eastern Africa",0.247820944988506,0.247564111995281,0.222621541094984,0.274485982732976
"KL102","Southern Africa",0.129490530723161,0.128455899220271,0.0903831447093842,0.174936317287134
"KL102","Southern Asia",0.0715381055027945,0.0708892861815859,0.0493506022506788,0.0975545754283604
"KL102","Western Africa",0.13222270673331,0.128304622737975,0.0674133435958913,0.216993039659342
"KL104","Eastern Africa",0.0539808765107471,0.0537269486765957,0.0414875542847607,0.0679194355733485
"KL104","Southern Africa",0.00180785079815454,0.00100955875708882,3.68452696865577e-05,0.00811423288942722
"KL104","Southern Asia",0.0115342778474377,0.0107582949403464,0.00394177877650257,0.0236201698146931
"KL104","Western Africa",0.00468911546561685,0.00231208993372888,6.48862452025545e-05,0.023137926497252
"KL105","Eastern Africa",0.00144771915868175,0.00117778919777891,0.000144101194087563,0.00435400488200097
"KL105","Southern Africa",0.000478636805834167,0.00012211338223334,1.14586558091292e-06,0.00325643089731518
"KL105","Southern Asia",0.000571469442469096,0.000217517915850814,3.14926132079809e-06,0.00320185447648968
"KL105","Western Africa",0.00104960423708742,0.000238040404103476,2.41037839054444e-06,0.00734554615097102
"KL106","Eastern Africa",0.00228391190662285,0.00200315390067844,0.000426404376760328,0.0056154257999864
"KL106","Southern Africa",0.00055413067552286,0.000160292708397066,1.9144827835799e-06,0.00366133563603689
"KL106","Southern Asia",0.000641903107681203,0.000270480375482565,4.54783820406976e-06,0.00351793512154257
"KL106","Western Africa",0.00127723783197202,0.000313702855354961,3.33743620477129e-06,0.00894149517305112
"KL108","Eastern Africa",0.0355270574673415,0.0352368274452351,0.0253772698247875,0.0472862436915621
"KL108","Southern Africa",0.00432637366987407,0.00324592844165796,0.000295968739419708,0.0144231443377244
"KL108","Southern Asia",0.00160551990508704,0.00106342295948805,6.1193608450836e-05,0.00622669392017017
"KL108","Western Africa",0.0118304929932052,0.00853963400294036,0.000697719809035204,0.040947534106389
"KL109","Eastern Africa",0.000645704315290331,0.000403893498685043,1.15384757958791e-05,0.00262471954862201
"KL109","Southern Africa",0.000327115689560603,6.10338170179269e-05,3.42758838750457e-07,0.00249875352167948
"KL109","Southern Asia",0.000408498062817171,0.000117631543311824,8.88350884574535e-07,0.0025776726787912
"KL109","Western Africa",0.000724405895696364,0.000116646273445897,6.16284163393411e-07,0.00563351575923925
"KL11","Eastern Africa",0.000235935902624809,8.81785500188804e-05,8.95528134097948e-07,0.00135934413404421
"KL11","Southern Africa",0.000352549302501105,7.10359134418346e-05,4.39371543186489e-07,0.00256384139937145
"KL11","Southern Asia",0.00139389432191831,0.000826336681684819,2.1345309667809e-05,0.00600370193332101
"KL11","Western Africa",0.000753264152185408,0.000132363367248782,7.69550467077488e-07,0.00578030181052547
"KL110","Eastern Africa",0.00287584349580334,0.00257630963085726,0.000688947081484357,0.00668358033075702
"KL110","Southern Africa",0.00681392378786935,0.00559023962177272,0.000769917725287742,0.0195595496579385
"KL110","Southern Asia",0.00477163018240184,0.00406328793586601,0.000740021029958201,0.0127399200267724
"KL110","Western Africa",0.00351472983466835,0.00158790400284994,4.37796205056703e-05,0.0179874360776982
"KL111","Eastern Africa",0.0025225363280758,0.0022355368683652,0.000524646685175485,0.00619806233276231
"KL111","Southern Africa",0.000811638209836483,0.000292414001580091,5.70050225963257e-06,0.0047864003322137
