"locus","mean","median","lower","upper","subgroup"
"KL10",0.0192704492181905,0.0190572868058676,0.0131891894631721,0.0265735096831358,"Global"
"KL102",0.198891480047836,0.198782941751267,0.180434576513543,0.217611604407588,"Global"
"KL104",0.0385139592372495,0.0382471741505839,0.0298020217068921,0.0484866758615672,"Global"
"KL105",0.0024183472806187,0.00222469726044931,0.000655538909776851,0.005328606599176,"Global"
"KL106",0.00120745738608341,0.00102546912988054,0.000149680804509598,0.00332995777799372,"Global"
"KL108",0.00120615398780435,0.00101378348190622,0.00014353955342598,0.00339483290534786,"Global"
"KL109",0.00119465566256977,0.00101104359426542,0.000150112522058072,0.00324857160597571,"Global"
"KL11",0.000603221469513584,0.000415720110414404,1.39472162296413e-05,0.00227432101233585,"Global"
"KL110",0.00423042928830013,0.00403234387090171,0.00168420397124346,0.00788075674865025,"Global"
"KL111",0.00240517915461232,0.00219874357308897,0.000678607374934614,0.00524111468838455,"Global"
"KL112",0.00663466772038231,0.00643089786793365,0.00326448784442667,0.0111291552403101,"Global"
"KL113",0.000603242028126328,0.000407594531950521,1.4180494253635e-05,0.0023017188675311,"Global"
"KL114",0.000601001541601284,0.0004199598041525,1.67298013551677e-05,0.00220233025833446,"Global"
"KL117",0.00120504849661918,0.0010184670394141,0.00014094838324915,0.00334317455811147,"Global"
"KL118",0.00121169793144649,0.00101849169107591,0.000147488619520955,0.00332339761073657,"Global"
"KL12",0.000594535248470216,0.00040788541730596,1.66212448761515e-05,0.0021970351939987,"Global"
"KL122",0.0139055878718259,0.0137064398262568,0.00885724894773791,0.0200803328976559,"Global"
"KL123",0.000594262282268379,0.000411259260856784,1.3507402502239e-05,0.00218975105942156,"Global"
"KL124",0.00180731427416362,0.00161208421645578,0.000368049069368363,0.00432764603504852,"Global"
"KL125",0.00180523488598326,0.00161099953526606,0.000371867537735572,0.00434941934638959,"Global"
"KL127",0.00664597598815617,0.00645722859719102,0.00339635711516839,0.0110767738288385,"Global"
"KL128",0.000606377655052956,0.000420328457253893,1.41972091600708e-05,0.00225468912921707,"Global"
