"locus","mean","median","lower","upper","subgroup"
"KL10",0.0167398168406785,0.0165496596882295,0.01126848683411,0.0232439290720562,"Global"
"KL102",0.18291177534994,0.18280791629184,0.165514180108224,0.200676400878027,"Global"
"KL104",0.0368661112932244,0.0366888631101975,0.0285809926210435,0.0460694786538135,"Global"
"KL105",0.00231582739175637,0.00212234860799508,0.000655898108202065,0.00510435460239654,"Global"
"KL106",0.00173831861947513,0.00155386926368071,0.000349884749298595,0.0042163706452256,"Global"
"KL108",0.0236295265889096,0.023476840332555,0.0170844230407195,0.031182550502312,"Global"
"KL109",0.00114344671484806,0.000958969064014385,0.000135059910423331,0.00322863335905105,"Global"
"KL11",0.000578891313649412,0.000403400323185699,1.47432846360399e-05,0.00214101889853559,"Global"
"KL110",0.00286351988782025,0.00267860095622183,0.000931165692948486,0.00589319116161022,"Global"
"KL111",0.00229306236442154,0.00211498522351959,0.000616910365250623,0.00498393526344784,"Global"
"KL112",0.0162008844896273,0.0160565475617454,0.0108591755293907,0.0226372974268018,"Global"
"KL113",0.000584772582391034,0.000402980508885381,1.5706775548899e-05,0.00217687893790011,"Global"
"KL114",0.000568159122914659,0.000394220835502124,1.47326451604307e-05,0.00212695312774831,"Global"
"KL116",0.00344147898175326,0.00327112943277219,0.00126410353156603,0.00664225381098574,"Global"
"KL117",0.00347674339103764,0.003293951159649,0.00129223695828722,0.00673013878054856,"Global"
"KL118",0.00115895129933678,0.000969714262299051,0.000132739716237065,0.00321864802616003,"Global"
"KL12",0.00114364543958512,0.000953416235288804,0.000138170834532473,0.00321534208506517,"Global"
"KL122",0.0155604854202787,0.0154153954404032,0.0102068121176981,0.0219177766108834,"Global"
"KL123",0.000577921665824752,0.00039174250202059,1.40560501857666e-05,0.00216787484813974,"Global"
"KL124",0.00173223670173422,0.00153796099095735,0.000364054036918693,0.00412721482430816,"Global"
"KL125",0.00116318805444496,0.000981431176852975,0.000139499584599063,0.00324529567089111,"Global"
"KL127",0.00633202717207888,0.00612218888471827,0.00317420901634251,0.0106376449940525,"Global"
"KL128",0.00173098878178575,0.00154428916829981,0.000361427443959224,0.00411668017849413,"Global"
"KL13",0.00172799759411627,0.00153752624440011,0.000358709540477516,0.00417943814891011,"Global"
"KL131",0.00114552531079129,0.000960789621659124,0.000139020799330825,0.00312645602876343,"Global"
"KL136",0.00577900086896951,0.00558516191431989,0.00274483390469982,0.00988242091969913,"Global"
"KL137",0.000571738126832971,0.000406397395581316,1.38183264189126e-05,0.00205145142178698,"Global"
"KL139",0.000575782633280606,0.000396971156894362,1.53982221116225e-05,0.00211097337413223,"Global"
"KL14",0.00290756339434931,0.00270798098744983,0.000960296698441477,0.00593148161786893,"Global"
"KL140",0.000578174774729381,0.000396576558334116,1.49477126603653e-05,0.0021429391752855,"Global"
"KL141",0.00115250716399036,0.000969045877579683,0.000140464954549855,0.00319131848435326,"Global"
"KL142",0.00173458114610196,0.00154876342611696,0.000373223214217349,0.00409640753290368,"Global"
"KL143",0.00115432820780226,0.000986368137179802,0.000141235977319099,0.00316994953150354,"Global"
"KL144",0.000586780981033114,0.000406530747276262,1.50088595671056e-05,0.00219430398764771,"Global"
"KL145",0.00345230466080216,0.00327030581724718,0.00127875422550996,0.00667128108947491,"Global"
"KL146",0.000580232355442473,0.000399930028631243,1.47751771243546e-05,0.00214990306580699,"Global"
"KL149",0.0115119917540417,0.0113774740265392,0.00724589357074406,0.0166527481528628,"Global"
"KL15",0.100364951820983,0.10014419104705,0.0868526105953433,0.114298321338384,"Global"
"KL151",0.00113931205635752,0.000942806762901261,0.000141539005270722,0.0031930291653098,"Global"
"KL155",0.00230885333370054,0.00210849630549932,0.000613766653624213,0.00505470220224611,"Global"
"KL157",0.0166968333583213,0.0165319304419058,0.0112495765562638,0.0232262037151452,"Global"
"KL16",0.00978375259924444,0.00962728874453163,0.00570333288846321,0.0149102631170675,"Global"
"KL163",0.000578619557658547,0.000394272970921859,1.24748011233098e-05,0.00218749865131144,"Global"
"KL169",0.0011604660205622,0.000978005698945237,0.000136252543543029,0.00324285059749612,"Global"
"KL17",0.0178780247534295,0.0177029163476824,0.0121936210531638,0.0245314134704334,"Global"
"KL171",0.00116089648630098,0.000983034129200754,0.000139495083487778,0.00320498943877103,"Global"
"KL179",0.00057911642268931,0.00040309034438127,1.64401496073772e-05,0.00213399773897455,"Global"
"KL18",0.00288433157669105,0.00268208515685344,0.000944300258406953,0.0059831330655371,"Global"
"KL180",0.002871384642708,0.0026992536334289,0.000947063997921148,0.00575034066110667,"Global"
"KL183",0.000578946648909667,0.000403542818984318,1.75931755169227e-05,0.00210177343755526,"Global"
"KL186",0.000578274066192137,0.000396378848540487,1.4341616465365e-05,0.00212328410268301,"Global"
"KL19",0.0132536602328614,0.013083256340956,0.0083386640096576,0.0193361891995444,"Global"
"KL2",0.125091239912409,0.124909582435574,0.110717465689981,0.140199121815169,"Global"
"KL20",0.00288740454170186,0.00269980172356423,0.000937839972675037,0.00589668844066921,"Global"
"KL21",0.00115288095319263,0.000974459746727909,0.000135448655807536,0.00320798184992265,"Global"
"KL22",0.00057884137142961,0.000400834890779338,1.33125058247639e-05,0.00216123810604334,"Global"
"KL23",0.0265952125664799,0.0264336846252993,0.0196398815372439,0.0344894417693361,"Global"
"KL24",0.0155801911920539,0.0153733380577208,0.0103712402848114,0.0219029113643255,"Global"
"KL25",0.0449306184186744,0.0448302772638191,0.0357806028312953,0.0547482465605337,"Global"
"KL27",0.0023134023026034,0.00215024199166708,0.000649379009653049,0.00502315652439859,"Global"
"KL28",0.0150092699770378,0.0148538848458417,0.00987690034732651,0.0212047690872657,"Global"
"KL3",0.00983788529981981,0.00964603885910047,0.00574240775501773,0.0149241840523396,"Global"
"KL30",0.0288529507786273,0.0286369743262927,0.021739335699018,0.0373465765688788,"Global"
"KL31",0.00174655252524979,0.00154667117441682,0.000364384822687345,0.00419515247103804,"Global"
"KL34",0.00116105483971656,0.00096364566674673,0.000137206313999541,0.00325199874258926,"Global"
"KL35",0.00114921369985826,0.000959939144411664,0.000141078410923217,0.003204665861339,"Global"
"KL36",0.00519054347135707,0.00502326250084571,0.00242074876779455,0.00893379782024761,"Global"
"KL38",0.00636931407484292,0.00614687635872359,0.0031657592435139,0.0107577140302286,"Global"
"KL39",0.0138438793794145,0.0136551378483408,0.0088677375018853,0.0198647988477484,"Global"
"KL43",0.00172826188242235,0.00155996475894283,0.000328914435010163,0.00411890852800797,"Global"
"KL45",0.000574181654660122,0.000398885823050818,1.65965231631975e-05,0.00210792853835114,"Global"
"KL46",0.00114561222752957,0.000949295688261927,0.000133351323667702,0.0032651159545531,"Global"
"KL47",0.00229241929095615,0.00210601084138478,0.000635551591805996,0.00496776186143843,"Global"
"KL48",0.0161567627212919,0.0159761563679399,0.0107981985193636,0.0226084712036737,"Global"
"KL49",0.00290334614731736,0.00271200016987077,0.000924393936519853,0.00587998320411448,"Global"
"KL51",0.0132258924198998,0.0130560666479193,0.0083809507204749,0.0191045652639498,"Global"
"KL52",0.00747792058055762,0.00728710577937073,0.00402876082761282,0.0120802851486994,"Global"
"KL53",0.00461728216221267,0.00443585768684567,0.00210469055132287,0.00816654103507438,"Global"
